name,bbox,score,order_pre,order_final
ava_obj_0_490102.jpg,"[0, 48, 384, 432]",1,1,0
ava_obj_0_490102.jpg,"[256, 96, 640, 480]",0,0,0
ava_obj_0_490102.jpg,"[48, 0, 528, 480]",1,2,0
ava_obj_0_490102.jpg,"[352, 96, 640, 384]",0,0,0
ava_obj_0_490102.jpg,"[352, 0, 640, 288]",0,0,0
ava_obj_0_490102.jpg,"[209, 9, 593, 393]",0,0,0
ava_obj_0_490102.jpg,"[0, 48, 512, 432]",1,1,0
ava_obj_0_490102.jpg,"[256, 0, 640, 288]",0,0,0
ava_obj_0_490102.jpg,"[128, 96, 640, 480]",0,0,0
ava_obj_0_490102.jpg,"[0, 96, 384, 384]",3,2,2
ava_obj_0_490102.jpg,"[48, 144, 432, 432]",2,3,3
ava_obj_0_490102.jpg,"[111, 23, 495, 311]",0,0,0
ava_obj_0_490102.jpg,"[0, 0, 360, 480]",1,2,0
ava_obj_0_490102.jpg,"[352, 0, 640, 384]",0,0,0
ava_obj_0_490102.jpg,"[96, 48, 384, 432]",1,1,0
ava_obj_0_490102.jpg,"[126, 3, 471, 463]",0,0,0
ava_obj_0_490102.jpg,"[223, 7, 568, 467]",0,0,0
ava_obj_0_490102.jpg,"[282, 13, 627, 473]",0,0,0
ava_obj_0_490102.jpg,"[0, 48, 640, 408]",4,2,1
ava_obj_0_490102.jpg,"[128, 0, 640, 288]",0,0,0
ava_obj_0_490102.jpg,"[256, 48, 640, 264]",0,0,0
ava_obj_0_490102.jpg,"[48, 144, 560, 432]",1,1,0
ava_obj_0_490102.jpg,"[105, 107, 553, 359]",0,0,0
ava_obj_0_490102.jpg,"[4, 239, 388, 455]",0,0,0
ava_obj_0_736005.jpg,"[0, 0, 430, 430]",1,2,0
ava_obj_0_736005.jpg,"[0, 210, 430, 640]",0,0,0
ava_obj_0_736005.jpg,"[43, 86, 301, 344]",1,1,0
ava_obj_0_736005.jpg,"[98, 145, 356, 403]",0,0,0
ava_obj_0_736005.jpg,"[147, 211, 405, 469]",0,0,0
ava_obj_0_736005.jpg,"[48, 363, 306, 621]",0,0,0
ava_obj_0_736005.jpg,"[0, 0, 430, 322]",3,2,2
ava_obj_0_736005.jpg,"[0, 86, 430, 408]",0,0,0
ava_obj_0_736005.jpg,"[0, 318, 430, 640]",0,0,0
ava_obj_0_736005.jpg,"[43, 86, 301, 279]",1,1,0
ava_obj_0_736005.jpg,"[70, 368, 328, 561]",0,0,0
ava_obj_0_736005.jpg,"[5, 129, 306, 354]",0,0,0
ava_obj_0_736005.jpg,"[0, 67, 430, 640]",0,0,0
ava_obj_0_736005.jpg,"[86, 0, 430, 458]",2,1,3
ava_obj_0_736005.jpg,"[172, 0, 430, 344]",4,2,1
ava_obj_0_736005.jpg,"[43, 43, 301, 387]",0,0,0
ava_obj_0_736005.jpg,"[5, 181, 263, 525]",0,0,0
ava_obj_0_736005.jpg,"[96, 234, 397, 635]",0,0,0
ava_obj_0_736005.jpg,"[0, 86, 430, 327]",0,0,0
ava_obj_0_736005.jpg,"[0, 0, 430, 241]",1,3,0
ava_obj_0_736005.jpg,"[43, 129, 301, 274]",1,1,0
ava_obj_0_736005.jpg,"[0, 172, 430, 413]",0,0,0
ava_obj_0_736005.jpg,"[2, 32, 260, 177]",0,0,0
ava_obj_0_736005.jpg,"[148, 215, 406, 360]",0,0,0
ava_obj_0_569325.jpg,"[153, 0, 563, 410]",0,0,0
ava_obj_0_569325.jpg,"[0, 0, 513, 513]",4,3,1
ava_obj_0_569325.jpg,"[333, 51, 640, 358]",0,0,0
ava_obj_0_569325.jpg,"[204, 51, 511, 358]",0,0,0
ava_obj_0_569325.jpg,"[111, 76, 495, 460]",1,1,0
ava_obj_0_569325.jpg,"[67, 14, 451, 398]",3,2,2
ava_obj_0_569325.jpg,"[51, 0, 563, 384]",1,3,0
ava_obj_0_569325.jpg,"[204, 102, 588, 390]",0,0,0
ava_obj_0_569325.jpg,"[204, 204, 588, 492]",0,0,0
ava_obj_0_569325.jpg,"[102, 129, 614, 513]",1,1,0
ava_obj_0_569325.jpg,"[102, 102, 486, 390]",1,2,0
ava_obj_0_569325.jpg,"[70, 174, 454, 462]",1,4,0
ava_obj_0_569325.jpg,"[153, 0, 537, 513]",1,2,0
ava_obj_0_569325.jpg,"[102, 0, 409, 410]",1,1,0
ava_obj_0_569325.jpg,"[0, 0, 384, 513]",1,3,0
ava_obj_0_569325.jpg,"[333, 102, 640, 512]",0,0,0
ava_obj_0_569325.jpg,"[306, 0, 613, 410]",0,0,0
ava_obj_0_569325.jpg,"[241, 0, 625, 512]",0,0,0
ava_obj_0_569325.jpg,"[0, 0, 640, 360]",1,1,0
ava_obj_0_569325.jpg,"[51, 102, 563, 390]",2,2,3
ava_obj_0_569325.jpg,"[0, 153, 640, 513]",1,3,0
ava_obj_0_569325.jpg,"[204, 153, 588, 369]",0,0,0
ava_obj_0_569325.jpg,"[205, 23, 589, 239]",0,0,0
ava_obj_0_569325.jpg,"[86, 160, 470, 376]",0,0,0
ava_obj_0_533201.jpg,"[240, 96, 624, 480]",0,0,0
ava_obj_0_533201.jpg,"[288, 192, 576, 480]",0,0,0
ava_obj_0_533201.jpg,"[240, 144, 528, 432]",1,2,0
ava_obj_0_533201.jpg,"[288, 96, 576, 384]",0,0,0
ava_obj_0_533201.jpg,"[106, 93, 490, 477]",2,1,3
ava_obj_0_533201.jpg,"[57, 2, 441, 386]",0,0,0
ava_obj_0_533201.jpg,"[128, 96, 640, 480]",3,2,2
ava_obj_0_533201.jpg,"[256, 144, 640, 432]",0,0,0
ava_obj_0_533201.jpg,"[144, 192, 528, 480]",1,1,0
ava_obj_0_533201.jpg,"[256, 48, 640, 336]",0,0,0
ava_obj_0_533201.jpg,"[25, 41, 473, 377]",0,0,0
ava_obj_0_533201.jpg,"[127, 28, 511, 316]",0,0,0
ava_obj_0_533201.jpg,"[288, 96, 576, 480]",1,2,0
ava_obj_0_533201.jpg,"[336, 144, 551, 432]",0,0,0
ava_obj_0_533201.jpg,"[288, 192, 503, 480]",0,0,0
ava_obj_0_533201.jpg,"[288, 96, 503, 384]",0,0,0
ava_obj_0_533201.jpg,"[178, 1, 523, 461]",1,1,0
ava_obj_0_533201.jpg,"[95, 10, 440, 470]",0,0,0
ava_obj_0_533201.jpg,"[0, 96, 640, 456]",4,2,1
ava_obj_0_533201.jpg,"[128, 192, 640, 480]",1,1,0
ava_obj_0_533201.jpg,"[192, 144, 576, 360]",0,0,0
ava_obj_0_533201.jpg,"[256, 192, 640, 408]",0,0,0
ava_obj_0_533201.jpg,"[224, 69, 608, 285]",0,0,0
ava_obj_0_533201.jpg,"[150, 215, 534, 431]",0,0,0
ava_obj_0_1341.jpg,"[0, 0, 427, 427]",4,1,1
ava_obj_0_1341.jpg,"[84, 0, 340, 256]",1,3,0
ava_obj_0_1341.jpg,"[42, 126, 383, 467]",0,0,0
ava_obj_0_1341.jpg,"[0, 168, 427, 595]",0,0,0
ava_obj_0_1341.jpg,"[42, 30, 298, 286]",0,0,0
ava_obj_0_1341.jpg,"[44, 252, 300, 508]",0,0,0
ava_obj_0_1341.jpg,"[0, 0, 427, 320]",1,1,0
ava_obj_0_1341.jpg,"[0, 84, 427, 404]",1,2,0
ava_obj_0_1341.jpg,"[0, 210, 427, 530]",0,0,0
ava_obj_0_1341.jpg,"[84, 0, 340, 192]",0,0,0
ava_obj_0_1341.jpg,"[42, 168, 383, 424]",0,0,0
ava_obj_0_1341.jpg,"[156, 95, 412, 287]",0,0,0
ava_obj_0_1341.jpg,"[0, 0, 427, 569]",2,2,3
ava_obj_0_1341.jpg,"[84, 0, 340, 341]",3,1,2
ava_obj_0_1341.jpg,"[92, 100, 348, 441]",0,0,0
ava_obj_0_1341.jpg,"[152, 269, 408, 610]",0,0,0
ava_obj_0_1341.jpg,"[72, 296, 328, 637]",0,0,0
ava_obj_0_1341.jpg,"[67, 163, 323, 504]",0,0,0
ava_obj_0_1341.jpg,"[0, 0, 427, 240]",1,2,0
ava_obj_0_1341.jpg,"[0, 84, 427, 324]",1,1,0
ava_obj_0_1341.jpg,"[0, 0, 256, 144]",0,0,0
ava_obj_0_1341.jpg,"[0, 210, 427, 450]",0,0,0
ava_obj_0_1341.jpg,"[84, 0, 340, 144]",0,0,0
ava_obj_0_1341.jpg,"[5, 65, 261, 209]",0,0,0
