name,bbox,score,order_pre,order_final
ava_obj_0_883097.jpg,"[106, 0, 638, 532]",0,0,0
ava_obj_0_883097.jpg,"[106, 0, 425, 319]",0,0,0
ava_obj_0_883097.jpg,"[265, 212, 584, 531]",0,0,0
ava_obj_0_883097.jpg,"[265, 0, 690, 425]",0,0,0
ava_obj_0_883097.jpg,"[0, 159, 319, 478]",1,1,0
ava_obj_0_883097.jpg,"[14, 26, 494, 506]",1,2,0
ava_obj_0_883097.jpg,"[0, 0, 709, 532]",2,1,3
ava_obj_0_883097.jpg,"[212, 212, 637, 531]",0,0,0
ava_obj_0_883097.jpg,"[106, 0, 531, 319]",0,0,0
ava_obj_0_883097.jpg,"[233, 0, 800, 425]",1,2,0
ava_obj_0_883097.jpg,"[197, 113, 677, 473]",0,0,0
ava_obj_0_883097.jpg,"[64, 83, 544, 443]",0,0,0
ava_obj_0_883097.jpg,"[265, 0, 664, 532]",1,1,0
ava_obj_0_883097.jpg,"[106, 0, 345, 319]",0,0,0
ava_obj_0_883097.jpg,"[0, 159, 239, 478]",0,0,0
ava_obj_0_883097.jpg,"[53, 53, 292, 372]",0,0,0
ava_obj_0_883097.jpg,"[0, 53, 319, 478]",0,0,0
ava_obj_0_883097.jpg,"[98, 1, 486, 518]",1,2,0
ava_obj_0_883097.jpg,"[0, 0, 640, 360]",3,1,2
ava_obj_0_883097.jpg,"[159, 212, 639, 482]",0,0,0
ava_obj_0_883097.jpg,"[159, 0, 639, 270]",0,0,0
ava_obj_0_883097.jpg,"[0, 0, 480, 270]",0,0,0
ava_obj_0_883097.jpg,"[212, 262, 692, 532]",0,0,0
ava_obj_0_883097.jpg,"[15, 151, 655, 511]",4,2,1
ava_obj_1_709010.jpg,"[0, 0, 624, 624]",1,1,0
ava_obj_1_709010.jpg,"[124, 62, 498, 436]",1,2,0
ava_obj_1_709010.jpg,"[58, 123, 432, 497]",0,0,0
ava_obj_1_709010.jpg,"[159, 201, 533, 575]",0,0,0
ava_obj_1_709010.jpg,"[47, 37, 421, 411]",0,0,0
ava_obj_1_709010.jpg,"[87, 240, 461, 614]",0,0,0
ava_obj_1_709010.jpg,"[0, 0, 624, 468]",1,1,0
ava_obj_1_709010.jpg,"[0, 124, 624, 592]",2,2,3
ava_obj_1_709010.jpg,"[124, 124, 498, 404]",0,0,0
ava_obj_1_709010.jpg,"[186, 186, 560, 466]",0,0,0
ava_obj_1_709010.jpg,"[152, 351, 526, 631]",0,0,0
ava_obj_1_709010.jpg,"[139, 273, 513, 553]",0,0,0
ava_obj_1_709010.jpg,"[62, 0, 542, 640]",4,1,1
ava_obj_1_709010.jpg,"[0, 0, 384, 512]",0,0,0
