name,bbox,score,order_pre,order_final
ava_obj_0_579326.jpg,"[0, 320, 384, 704]",1,5,0
ava_obj_0_579326.jpg,"[0, 208, 512, 720]",1,3,0
ava_obj_0_579326.jpg,"[128, 320, 512, 704]",1,1,0
ava_obj_0_579326.jpg,"[64, 256, 448, 640]",1,4,0
ava_obj_0_579326.jpg,"[256, 0, 640, 384]",0,0,0
ava_obj_0_579326.jpg,"[132, 85, 516, 469]",1,2,0
ava_obj_0_579326.jpg,"[0, 320, 512, 704]",1,2,0
ava_obj_0_579326.jpg,"[0, 384, 384, 672]",3,1,2
ava_obj_0_579326.jpg,"[192, 0, 576, 288]",0,0,0
ava_obj_0_579326.jpg,"[64, 0, 448, 288]",0,0,0
ava_obj_0_579326.jpg,"[223, 250, 607, 538]",0,0,0
ava_obj_0_579326.jpg,"[176, 104, 624, 440]",0,0,0
ava_obj_0_579326.jpg,"[0, 288, 324, 720]",2,2,3
ava_obj_0_579326.jpg,"[0, 0, 540, 720]",4,4,1
ava_obj_0_579326.jpg,"[128, 288, 452, 720]",1,5,0
ava_obj_0_579326.jpg,"[64, 192, 388, 624]",1,1,0
ava_obj_0_579326.jpg,"[199, 7, 583, 519]",0,0,0
ava_obj_0_579326.jpg,"[39, 48, 423, 560]",1,3,0
ava_obj_0_579326.jpg,"[0, 384, 512, 672]",1,2,0
ava_obj_0_579326.jpg,"[64, 0, 576, 288]",0,0,0
ava_obj_0_579326.jpg,"[128, 0, 512, 216]",0,0,0
ava_obj_0_579326.jpg,"[256, 0, 640, 216]",0,0,0
ava_obj_0_579326.jpg,"[0, 384, 384, 600]",1,1,0
ava_obj_0_579326.jpg,"[92, 122, 476, 338]",0,0,0
ava_obj_0_518714.jpg,"[0, 86, 439, 525]",0,0,0
ava_obj_0_518714.jpg,"[0, 43, 351, 394]",1,2,0
ava_obj_0_518714.jpg,"[0, 215, 351, 566]",3,1,2
ava_obj_0_518714.jpg,"[88, 43, 439, 394]",0,0,0
ava_obj_0_518714.jpg,"[86, 258, 349, 521]",0,0,0
ava_obj_0_518714.jpg,"[167, 129, 430, 392]",0,0,0
ava_obj_0_518714.jpg,"[0, 0, 439, 329]",0,0,0
ava_obj_0_518714.jpg,"[0, 276, 439, 605]",1,1,0
ava_obj_0_518714.jpg,"[0, 86, 439, 415]",0,0,0
ava_obj_0_518714.jpg,"[0, 258, 351, 521]",0,0,0
ava_obj_0_518714.jpg,"[0, 172, 439, 501]",0,0,0
ava_obj_0_518714.jpg,"[54, 331, 317, 528]",1,2,0
ava_obj_0_518714.jpg,"[0, 86, 351, 554]",2,1,3
ava_obj_0_518714.jpg,"[88, 86, 439, 554]",4,2,1
ava_obj_0_518714.jpg,"[86, 172, 349, 523]",0,0,0
ava_obj_0_518714.jpg,"[0, 129, 263, 480]",0,0,0
ava_obj_0_518714.jpg,"[176, 86, 439, 437]",0,0,0
ava_obj_0_518714.jpg,"[11, 231, 274, 581]",0,0,0
ava_obj_0_518714.jpg,"[0, 359, 439, 605]",1,1,0
ava_obj_0_518714.jpg,"[0, 344, 351, 541]",0,0,0
ava_obj_0_518714.jpg,"[0, 258, 439, 504]",0,0,0
ava_obj_0_518714.jpg,"[0, 344, 263, 492]",0,0,0
ava_obj_0_518714.jpg,"[86, 387, 349, 535]",1,2,0
ava_obj_0_518714.jpg,"[73, 311, 336, 458]",0,0,0
ava_obj_0_579339.jpg,"[183, 0, 640, 457]",4,1,1
ava_obj_0_579339.jpg,"[45, 0, 502, 457]",0,0,0
ava_obj_0_579339.jpg,"[135, 90, 409, 364]",0,0,0
