name,bbox,score,order_pre,order_final
ava_obj_0_5029.jpg,"[144, 0, 624, 480]",4,2,1
ava_obj_0_5029.jpg,"[96, 0, 480, 384]",1,1,0
ava_obj_0_5029.jpg,"[0, 96, 384, 480]",0,0,0
ava_obj_0_5029.jpg,"[94, 88, 478, 472]",1,4,0
ava_obj_0_5029.jpg,"[36, 44, 420, 428]",1,5,0
ava_obj_0_5029.jpg,"[162, 23, 546, 407]",1,3,0
ava_obj_0_5029.jpg,"[0, 96, 512, 480]",1,2,0
ava_obj_0_5029.jpg,"[128, 48, 640, 432]",1,3,0
ava_obj_0_5029.jpg,"[144, 48, 528, 336]",0,0,0
ava_obj_0_5029.jpg,"[127, 187, 511, 475]",1,1,0
ava_obj_0_5029.jpg,"[195, 106, 579, 394]",0,0,0
ava_obj_0_5029.jpg,"[248, 36, 632, 324]",0,0,0
ava_obj_0_5029.jpg,"[0, 0, 360, 480]",0,0,0
ava_obj_0_5029.jpg,"[280, 0, 640, 480]",0,0,0
ava_obj_0_5029.jpg,"[96, 0, 456, 480]",2,1,3
ava_obj_0_5029.jpg,"[197, 5, 542, 465]",0,0,0
ava_obj_0_5029.jpg,"[52, 8, 397, 468]",0,0,0
ava_obj_0_5029.jpg,"[137, 8, 482, 468]",1,2,0
ava_obj_0_5029.jpg,"[0, 48, 640, 408]",1,3,0
ava_obj_0_5029.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_5029.jpg,"[48, 144, 560, 432]",1,2,0
ava_obj_0_5029.jpg,"[146, 39, 530, 255]",0,0,0
ava_obj_0_5029.jpg,"[109, 161, 493, 377]",3,1,2
ava_obj_0_5029.jpg,"[114, 220, 562, 472]",0,0,0
ava_obj_0_543436.jpg,"[0, 168, 426, 594]",1,1,0
ava_obj_0_543436.jpg,"[42, 126, 382, 466]",1,2,0
ava_obj_0_543436.jpg,"[171, 126, 426, 381]",0,0,0
ava_obj_0_543436.jpg,"[42, 294, 382, 634]",0,0,0
ava_obj_0_543436.jpg,"[0, 252, 255, 507]",0,0,0
ava_obj_0_543436.jpg,"[18, 28, 316, 326]",0,0,0
ava_obj_0_543436.jpg,"[0, 210, 340, 465]",1,2,0
ava_obj_0_543436.jpg,"[0, 126, 426, 445]",1,1,0
ava_obj_0_543436.jpg,"[171, 126, 426, 317]",0,0,0
ava_obj_0_543436.jpg,"[84, 210, 339, 401]",0,0,0
ava_obj_0_543436.jpg,"[86, 84, 426, 339]",0,0,0
ava_obj_0_543436.jpg,"[5, 111, 345, 366]",0,0,0
ava_obj_0_543436.jpg,"[0, 42, 426, 610]",4,2,1
ava_obj_0_543436.jpg,"[0, 186, 340, 640]",0,0,0
ava_obj_0_543436.jpg,"[0, 252, 255, 592]",3,3,2
ava_obj_0_543436.jpg,"[84, 252, 339, 592]",0,0,0
ava_obj_0_543436.jpg,"[96, 27, 351, 367]",0,0,0
ava_obj_0_543436.jpg,"[64, 142, 362, 539]",2,1,3
ava_obj_0_543436.jpg,"[86, 126, 426, 317]",1,2,0
ava_obj_0_543436.jpg,"[0, 210, 340, 401]",1,1,0
ava_obj_0_543436.jpg,"[126, 210, 381, 353]",0,0,0
ava_obj_0_543436.jpg,"[0, 0, 255, 143]",0,0,0
ava_obj_0_543436.jpg,"[171, 126, 426, 269]",0,0,0
ava_obj_0_543436.jpg,"[34, 69, 289, 212]",0,0,0
ava_obj_0_5105.jpg,"[0, 0, 480, 480]",3,1,2
ava_obj_0_5105.jpg,"[48, 0, 336, 288]",0,0,0
ava_obj_0_5105.jpg,"[256, 48, 640, 432]",0,0,0
ava_obj_0_5105.jpg,"[192, 0, 576, 384]",0,0,0
ava_obj_0_5105.jpg,"[116, 56, 500, 440]",1,2,0
ava_obj_0_5105.jpg,"[40, 31, 424, 415]",1,3,0
ava_obj_0_5105.jpg,"[0, 0, 640, 480]",1,3,0
ava_obj_0_5105.jpg,"[0, 0, 384, 288]",0,0,0
ava_obj_0_5105.jpg,"[256, 48, 640, 336]",0,0,0
ava_obj_0_5105.jpg,"[139, 121, 587, 457]",1,2,0
ava_obj_0_5105.jpg,"[100, 38, 484, 326]",1,4,0
ava_obj_0_5105.jpg,"[182, 70, 566, 358]",1,1,0
ava_obj_0_5105.jpg,"[0, 0, 360, 480]",1,1,0
ava_obj_0_5105.jpg,"[280, 0, 640, 480]",0,0,0
ava_obj_0_5105.jpg,"[96, 0, 456, 480]",1,2,0
ava_obj_0_5105.jpg,"[0, 0, 215, 288]",0,0,0
ava_obj_0_5105.jpg,"[192, 19, 537, 479]",0,0,0
ava_obj_0_5105.jpg,"[56, 16, 401, 476]",2,3,3
ava_obj_0_5105.jpg,"[0, 48, 640, 408]",4,1,1
ava_obj_0_5105.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_5105.jpg,"[0, 0, 384, 216]",0,0,0
ava_obj_0_5105.jpg,"[83, 209, 531, 461]",1,2,0
ava_obj_0_5105.jpg,"[156, 25, 540, 241]",0,0,0
ava_obj_0_5105.jpg,"[52, 50, 436, 266]",0,0,0
ava_obj_0_523420.jpg,"[133, 0, 533, 400]",1,2,0
ava_obj_0_523420.jpg,"[40, 0, 360, 320]",0,0,0
ava_obj_0_523420.jpg,"[120, 80, 440, 400]",1,3,0
ava_obj_0_523420.jpg,"[5, 61, 324, 380]",0,0,0
ava_obj_0_523420.jpg,"[182, 26, 501, 345]",0,0,0
ava_obj_0_523420.jpg,"[81, 47, 400, 366]",1,1,0
ava_obj_0_523420.jpg,"[0, 0, 533, 399]",2,2,3
ava_obj_0_523420.jpg,"[214, 160, 533, 399]",0,0,0
ava_obj_0_523420.jpg,"[80, 120, 399, 359]",0,0,0
ava_obj_0_523420.jpg,"[109, 62, 428, 301]",4,3,1
ava_obj_0_523420.jpg,"[185, 95, 504, 334]",1,1,0
ava_obj_0_523420.jpg,"[20, 6, 339, 245]",1,4,0
ava_obj_0_523420.jpg,"[40, 0, 340, 400]",0,0,0
ava_obj_0_523420.jpg,"[233, 0, 533, 400]",1,3,0
ava_obj_0_523420.jpg,"[0, 0, 240, 320]",0,0,0
ava_obj_0_523420.jpg,"[120, 0, 420, 400]",1,1,0
ava_obj_0_523420.jpg,"[177, 14, 464, 396]",1,2,0
ava_obj_0_523420.jpg,"[0, 14, 287, 396]",0,0,0
ava_obj_0_523420.jpg,"[0, 0, 533, 299]",1,3,0
ava_obj_0_523420.jpg,"[0, 101, 533, 400]",0,0,0
ava_obj_0_523420.jpg,"[200, 221, 519, 400]",0,0,0
