name,bbox,score,order_pre,order_final
ava_obj_1_698497.jpg,"[0, 55, 665, 720]",0,0,0
ava_obj_1_698497.jpg,"[132, 0, 664, 532]",0,0,0
ava_obj_1_698497.jpg,"[198, 198, 597, 597]",1,1,0
ava_obj_1_698497.jpg,"[132, 132, 531, 531]",0,0,0
ava_obj_1_698497.jpg,"[55, 54, 454, 453]",0,0,0
ava_obj_1_698497.jpg,"[71, 213, 470, 612]",1,2,0
ava_obj_1_698497.jpg,"[0, 132, 665, 630]",1,1,0
ava_obj_1_698497.jpg,"[133, 264, 665, 663]",3,2,2
ava_obj_1_698497.jpg,"[0, 0, 665, 498]",0,0,0
ava_obj_1_698497.jpg,"[198, 264, 597, 563]",0,0,0
ava_obj_1_698497.jpg,"[207, 370, 606, 669]",0,0,0
ava_obj_1_698497.jpg,"[125, 114, 590, 462]",0,0,0
ava_obj_1_698497.jpg,"[125, 0, 665, 720]",2,2,3
ava_obj_1_698497.jpg,"[66, 132, 498, 708]",0,0,0
ava_obj_1_698497.jpg,"[198, 132, 521, 564]",0,0,0
ava_obj_1_698497.jpg,"[264, 288, 587, 720]",4,1,1
ava_obj_1_698497.jpg,"[226, 19, 625, 551]",0,0,0
ava_obj_1_698497.jpg,"[64, 34, 463, 566]",0,0,0
ava_obj_1_698497.jpg,"[0, 264, 665, 638]",1,1,0
ava_obj_1_698497.jpg,"[0, 132, 665, 506]",1,2,0
ava_obj_1_698497.jpg,"[198, 264, 597, 488]",0,0,0
ava_obj_1_698497.jpg,"[132, 396, 664, 695]",0,0,0
ava_obj_1_698497.jpg,"[216, 326, 615, 550]",0,0,0
ava_obj_1_698497.jpg,"[75, 65, 474, 289]",0,0,0
ava_obj_1_897781.jpg,"[55, 0, 614, 559]",1,1,0
ava_obj_1_897781.jpg,"[0, 55, 447, 502]",0,0,0
ava_obj_1_897781.jpg,"[110, 165, 445, 500]",0,0,0
ava_obj_1_897781.jpg,"[220, 55, 667, 502]",0,0,0
ava_obj_1_897781.jpg,"[319, 9, 799, 489]",0,0,0
ava_obj_1_897781.jpg,"[39, 77, 519, 557]",4,2,1
ava_obj_1_897781.jpg,"[0, 0, 745, 559]",3,1,2
ava_obj_1_897781.jpg,"[110, 110, 557, 445]",1,2,0
ava_obj_1_897781.jpg,"[55, 165, 502, 500]",0,0,0
ava_obj_1_897781.jpg,"[233, 61, 713, 421]",0,0,0
