name,bbox,score,order_pre,order_final
ava_obj_1_4873.jpg,"[96, 0, 576, 480]",3,1,2
ava_obj_1_4873.jpg,"[96, 0, 384, 288]",0,0,0
ava_obj_1_4873.jpg,"[352, 192, 640, 480]",0,0,0
ava_obj_1_4873.jpg,"[48, 48, 432, 432]",0,0,0
ava_obj_1_4873.jpg,"[208, 46, 592, 430]",0,0,0
ava_obj_1_4873.jpg,"[123, 69, 507, 453]",2,2,3
ava_obj_1_4873.jpg,"[0, 0, 640, 480]",1,1,0
ava_obj_1_4873.jpg,"[48, 0, 432, 288]",0,0,0
ava_obj_1_4873.jpg,"[96, 48, 480, 336]",0,0,0
ava_obj_1_4873.jpg,"[117, 115, 565, 451]",0,0,0
ava_obj_1_4873.jpg,"[9, 73, 457, 409]",1,2,0
ava_obj_1_4873.jpg,"[179, 4, 627, 340]",0,0,0
ava_obj_1_4873.jpg,"[384, 192, 599, 480]",0,0,0
ava_obj_1_4873.jpg,"[96, 0, 456, 480]",4,1,1
ava_obj_1_4873.jpg,"[144, 0, 359, 288]",0,0,0
ava_obj_1_4873.jpg,"[192, 0, 552, 480]",1,2,0
ava_obj_1_4873.jpg,"[192, 144, 407, 432]",0,0,0
ava_obj_1_4873.jpg,"[1, 14, 346, 474]",1,3,0
ava_obj_1_4873.jpg,"[0, 0, 512, 288]",1,1,0
ava_obj_1_4873.jpg,"[0, 120, 640, 480]",0,0,0
ava_obj_1_4873.jpg,"[128, 48, 640, 336]",1,2,0
ava_obj_1_4873.jpg,"[48, 0, 432, 216]",0,0,0
ava_obj_1_4873.jpg,"[79, 117, 463, 333]",0,0,0
ava_obj_1_4873.jpg,"[105, 223, 489, 439]",0,0,0
ava_obj_1_717147.jpg,"[0, 0, 344, 344]",1,2,0
ava_obj_1_717147.jpg,"[43, 43, 301, 301]",0,0,0
ava_obj_1_717147.jpg,"[129, 43, 473, 387]",0,0,0
ava_obj_1_717147.jpg,"[0, 87, 344, 431]",1,1,0
ava_obj_1_717147.jpg,"[212, 19, 596, 403]",0,0,0
ava_obj_1_717147.jpg,"[50, 2, 434, 386]",0,0,0
ava_obj_1_717147.jpg,"[0, 0, 459, 344]",1,2,0
ava_obj_1_717147.jpg,"[0, 43, 344, 301]",0,0,0
ava_obj_1_717147.jpg,"[43, 86, 387, 344]",3,3,2
ava_obj_1_717147.jpg,"[0, 87, 459, 431]",0,0,0
ava_obj_1_717147.jpg,"[0, 129, 344, 387]",1,1,0
ava_obj_1_717147.jpg,"[189, 27, 637, 363]",0,0,0
ava_obj_1_717147.jpg,"[0, 0, 323, 431]",1,2,0
ava_obj_1_717147.jpg,"[86, 43, 344, 387]",1,1,0
ava_obj_1_717147.jpg,"[43, 43, 236, 301]",0,0,0
ava_obj_1_717147.jpg,"[172, 43, 430, 387]",0,0,0
ava_obj_1_717147.jpg,"[239, 5, 550, 419]",0,0,0
ava_obj_1_717147.jpg,"[313, 15, 624, 429]",0,0,0
ava_obj_1_717147.jpg,"[0, 43, 384, 259]",0,0,0
ava_obj_1_717147.jpg,"[0, 43, 512, 331]",0,0,0
ava_obj_1_717147.jpg,"[0, 129, 384, 345]",2,2,3
ava_obj_1_717147.jpg,"[0, 129, 512, 417]",4,1,1
ava_obj_1_717147.jpg,"[86, 86, 470, 302]",0,0,0
ava_obj_1_717147.jpg,"[82, 8, 530, 260]",0,0,0
ava_obj_0_807224.jpg,"[333, 153, 640, 460]",0,0,0
ava_obj_0_807224.jpg,"[204, 51, 614, 461]",1,4,0
ava_obj_0_807224.jpg,"[51, 0, 564, 513]",1,3,0
ava_obj_0_807224.jpg,"[255, 102, 562, 409]",0,0,0
ava_obj_0_807224.jpg,"[134, 23, 518, 407]",1,1,0
ava_obj_0_807224.jpg,"[91, 115, 475, 499]",1,2,0
ava_obj_0_807224.jpg,"[128, 102, 640, 486]",1,1,0
ava_obj_0_807224.jpg,"[256, 153, 640, 441]",0,0,0
ava_obj_0_807224.jpg,"[128, 0, 640, 384]",1,3,0
ava_obj_0_807224.jpg,"[153, 102, 537, 390]",4,4,1
ava_obj_0_807224.jpg,"[33, 217, 417, 505]",0,0,0
ava_obj_0_807224.jpg,"[221, 48, 605, 336]",1,2,0
ava_obj_0_807224.jpg,"[306, 51, 613, 461]",0,0,0
ava_obj_0_807224.jpg,"[357, 153, 587, 460]",0,0,0
ava_obj_0_807224.jpg,"[410, 102, 640, 409]",0,0,0
ava_obj_0_807224.jpg,"[193, 0, 577, 512]",1,1,0
ava_obj_0_807224.jpg,"[33, 0, 417, 512]",1,3,0
ava_obj_0_807224.jpg,"[114, 0, 498, 512]",1,2,0
ava_obj_0_807224.jpg,"[0, 102, 640, 462]",3,3,2
ava_obj_0_807224.jpg,"[128, 51, 640, 339]",1,2,0
ava_obj_0_807224.jpg,"[153, 102, 537, 318]",2,1,3
ava_obj_0_807224.jpg,"[255, 153, 639, 369]",0,0,0
ava_obj_0_807224.jpg,"[128, 204, 640, 492]",0,0,0
ava_obj_0_807224.jpg,"[233, 257, 617, 473]",0,0,0
ava_obj_2_573514.jpg,"[0, 0, 493, 493]",4,1,1
ava_obj_2_573514.jpg,"[196, 49, 491, 344]",1,2,0
ava_obj_2_573514.jpg,"[0, 49, 295, 344]",0,0,0
ava_obj_2_573514.jpg,"[167, 266, 462, 561]",0,0,0
ava_obj_2_573514.jpg,"[53, 336, 348, 631]",0,0,0
ava_obj_2_573514.jpg,"[31, 118, 326, 413]",1,3,0
ava_obj_2_573514.jpg,"[0, 49, 493, 418]",3,1,2
ava_obj_2_573514.jpg,"[49, 0, 443, 295]",1,2,0
ava_obj_2_573514.jpg,"[198, 98, 493, 319]",0,0,0
ava_obj_2_573514.jpg,"[49, 49, 344, 270]",0,0,0
ava_obj_2_573514.jpg,"[88, 152, 433, 410]",0,0,0
ava_obj_2_573514.jpg,"[9, 167, 354, 425]",0,0,0
ava_obj_2_573514.jpg,"[49, 0, 433, 512]",2,1,3
ava_obj_2_573514.jpg,"[196, 0, 484, 384]",1,2,0
ava_obj_2_573514.jpg,"[0, 49, 288, 433]",0,0,0
ava_obj_2_573514.jpg,"[196, 98, 484, 482]",0,0,0
ava_obj_2_573514.jpg,"[98, 0, 386, 384]",0,0,0
ava_obj_2_573514.jpg,"[1, 142, 346, 602]",0,0,0
ava_obj_2_573514.jpg,"[0, 49, 493, 326]",1,1,0
ava_obj_2_573514.jpg,"[198, 98, 493, 264]",0,0,0
ava_obj_2_573514.jpg,"[49, 0, 443, 221]",0,0,0
ava_obj_2_573514.jpg,"[49, 98, 344, 264]",0,0,0
ava_obj_2_573514.jpg,"[20, 126, 414, 347]",1,2,0
ava_obj_2_573514.jpg,"[126, 213, 471, 407]",0,0,0
ava_obj_1_492447.jpg,"[192, 0, 480, 288]",3,2,2
ava_obj_1_492447.jpg,"[96, 48, 480, 432]",1,3,0
ava_obj_1_492447.jpg,"[144, 48, 432, 336]",1,1,0
ava_obj_1_492447.jpg,"[97, 192, 481, 576]",0,0,0
ava_obj_1_492447.jpg,"[192, 96, 480, 384]",0,0,0
ava_obj_1_492447.jpg,"[4, 245, 292, 533]",0,0,0
ava_obj_1_492447.jpg,"[193, 48, 481, 264]",2,3,3
ava_obj_1_492447.jpg,"[97, 0, 481, 288]",4,2,1
ava_obj_1_492447.jpg,"[144, 0, 432, 216]",0,0,0
ava_obj_1_492447.jpg,"[0, 48, 481, 408]",1,1,0
ava_obj_1_492447.jpg,"[97, 240, 481, 528]",0,0,0
