name,bbox,score,order_pre,order_final
ava_obj_2_596654.jpg,"[0, 107, 533, 640]",1,1,0
ava_obj_2_596654.jpg,"[214, 106, 533, 425]",1,2,0
ava_obj_2_596654.jpg,"[0, 0, 426, 426]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 319, 319]",0,0,0
ava_obj_2_596654.jpg,"[40, 136, 413, 509]",0,0,0
ava_obj_2_596654.jpg,"[156, 299, 475, 618]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 533, 399]",3,2,2
ava_obj_2_596654.jpg,"[0, 106, 533, 505]",1,1,0
ava_obj_2_596654.jpg,"[214, 106, 533, 345]",0,0,0
ava_obj_2_596654.jpg,"[0, 212, 533, 611]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 319, 239]",0,0,0
ava_obj_2_596654.jpg,"[25, 135, 344, 374]",0,0,0
ava_obj_2_596654.jpg,"[53, 0, 533, 640]",4,1,1
ava_obj_2_596654.jpg,"[0, 0, 384, 512]",0,0,0
ava_obj_2_596654.jpg,"[245, 106, 533, 490]",1,2,0
ava_obj_2_596654.jpg,"[0, 0, 288, 384]",0,0,0
ava_obj_2_596654.jpg,"[245, 0, 533, 384]",0,0,0
ava_obj_2_596654.jpg,"[82, 131, 401, 556]",0,0,0
ava_obj_2_596654.jpg,"[0, 0, 533, 299]",2,1,3
ava_obj_2_596654.jpg,"[0, 106, 533, 405]",0,0,0
ava_obj_2_596654.jpg,"[214, 106, 533, 285]",1,2,0
ava_obj_2_596654.jpg,"[214, 159, 533, 338]",0,0,0
ava_obj_2_596654.jpg,"[43, 250, 469, 489]",0,0,0
ava_obj_2_596654.jpg,"[133, 305, 452, 484]",0,0,0
ava_obj_1_750317.jpg,"[0, 86, 431, 517]",3,1,2
ava_obj_1_750317.jpg,"[43, 43, 387, 387]",1,2,0
ava_obj_1_750317.jpg,"[86, 86, 344, 344]",0,0,0
ava_obj_1_750317.jpg,"[123, 41, 381, 299]",0,0,0
ava_obj_1_750317.jpg,"[149, 285, 407, 543]",0,0,0
ava_obj_1_750317.jpg,"[153, 152, 411, 410]",0,0,0
ava_obj_1_750317.jpg,"[0, 86, 431, 409]",1,2,0
ava_obj_1_750317.jpg,"[0, 172, 431, 495]",2,1,3
ava_obj_1_750317.jpg,"[0, 0, 431, 323]",0,0,0
ava_obj_1_750317.jpg,"[53, 220, 311, 413]",0,0,0
ava_obj_1_750317.jpg,"[109, 57, 410, 282]",0,0,0
ava_obj_1_750317.jpg,"[55, 262, 356, 487]",0,0,0
ava_obj_1_750317.jpg,"[0, 43, 431, 617]",4,1,1
ava_obj_1_750317.jpg,"[0, 0, 344, 459]",1,2,0
ava_obj_1_750317.jpg,"[86, 172, 344, 516]",0,0,0
ava_obj_1_750317.jpg,"[43, 129, 301, 473]",0,0,0
ava_obj_1_750317.jpg,"[89, 52, 347, 396]",0,0,0
ava_obj_1_750317.jpg,"[169, 289, 427, 633]",0,0,0
ava_obj_1_750317.jpg,"[0, 129, 431, 371]",1,1,0
ava_obj_1_750317.jpg,"[129, 172, 387, 317]",0,0,0
ava_obj_1_750317.jpg,"[0, 215, 431, 457]",1,2,0
ava_obj_1_750317.jpg,"[34, 365, 378, 558]",0,0,0
ava_obj_1_750317.jpg,"[149, 46, 407, 191]",0,0,0
ava_obj_1_750317.jpg,"[123, 423, 424, 592]",0,0,0
ava_obj_1_665142.jpg,"[192, 96, 576, 480]",1,1,0
ava_obj_1_665142.jpg,"[240, 96, 528, 384]",0,0,0
ava_obj_1_665142.jpg,"[240, 0, 720, 480]",0,0,0
ava_obj_1_665142.jpg,"[192, 144, 480, 432]",0,0,0
ava_obj_1_665142.jpg,"[48, 37, 480, 469]",0,0,0
ava_obj_1_665142.jpg,"[157, 1, 589, 433]",1,2,0
ava_obj_1_665142.jpg,"[208, 96, 720, 480]",0,0,0
ava_obj_1_665142.jpg,"[192, 96, 576, 384]",4,1,1
ava_obj_1_665142.jpg,"[144, 0, 656, 384]",1,2,0
ava_obj_1_665142.jpg,"[288, 144, 672, 432]",0,0,0
ava_obj_1_665142.jpg,"[48, 48, 560, 432]",0,0,0
ava_obj_1_665142.jpg,"[33, 142, 465, 466]",0,0,0
ava_obj_1_665142.jpg,"[240, 96, 528, 480]",1,2,0
ava_obj_1_665142.jpg,"[288, 96, 504, 384]",0,0,0
ava_obj_1_665142.jpg,"[144, 0, 504, 480]",0,0,0
ava_obj_1_665142.jpg,"[240, 144, 456, 432]",0,0,0
ava_obj_1_665142.jpg,"[279, 5, 628, 470]",1,1,0
ava_obj_1_665142.jpg,"[48, 3, 397, 468]",0,0,0
ava_obj_1_665142.jpg,"[144, 144, 576, 387]",3,2,2
ava_obj_1_665142.jpg,"[96, 96, 672, 420]",2,1,3
ava_obj_1_665142.jpg,"[0, 0, 720, 405]",0,0,0
ava_obj_1_665142.jpg,"[285, 169, 717, 412]",0,0,0
ava_obj_1_665142.jpg,"[166, 16, 598, 259]",0,0,0
ava_obj_1_665142.jpg,"[264, 222, 696, 465]",0,0,0
ava_obj_1_916390.jpg,"[128, 0, 768, 640]",3,1,2
ava_obj_1_916390.jpg,"[288, 64, 800, 576]",0,0,0
ava_obj_1_916390.jpg,"[64, 64, 576, 576]",1,2,0
ava_obj_1_916390.jpg,"[64, 0, 448, 384]",0,0,0
ava_obj_1_916390.jpg,"[226, 5, 706, 485]",0,0,0
ava_obj_1_916390.jpg,"[193, 129, 673, 609]",0,0,0
ava_obj_1_916390.jpg,"[160, 64, 800, 544]",4,1,1
ava_obj_1_916390.jpg,"[0, 0, 640, 480]",0,0,0
ava_obj_1_916390.jpg,"[192, 64, 672, 424]",1,2,0
ava_obj_1_916390.jpg,"[0, 64, 480, 424]",0,0,0
ava_obj_1_916390.jpg,"[320, 64, 800, 424]",0,0,0
ava_obj_1_916390.jpg,"[55, 164, 615, 584]",0,0,0
ava_obj_1_916390.jpg,"[192, 0, 672, 640]",2,1,3
ava_obj_1_916390.jpg,"[320, 0, 800, 640]",0,0,0
ava_obj_1_916390.jpg,"[64, 0, 544, 640]",1,2,0
ava_obj_1_916390.jpg,"[7, 56, 439, 632]",0,0,0
ava_obj_1_916390.jpg,"[149, 44, 581, 620]",0,0,0
ava_obj_1_916390.jpg,"[282, 31, 714, 607]",0,0,0
ava_obj_1_916390.jpg,"[0, 64, 800, 514]",1,1,0
ava_obj_1_916390.jpg,"[160, 0, 800, 360]",0,0,0
ava_obj_1_916390.jpg,"[320, 64, 800, 334]",0,0,0
ava_obj_1_916390.jpg,"[0, 64, 480, 334]",0,0,0
ava_obj_1_916390.jpg,"[128, 192, 768, 552]",0,0,0
ava_obj_1_916390.jpg,"[156, 86, 636, 356]",1,2,0
ava_obj_2_544273.jpg,"[42, 0, 468, 427]",1,1,0
ava_obj_2_544273.jpg,"[0, 86, 341, 427]",1,2,0
ava_obj_2_544273.jpg,"[168, 0, 594, 427]",0,0,0
ava_obj_2_544273.jpg,"[0, 0, 341, 341]",0,0,0
ava_obj_2_544273.jpg,"[84, 84, 340, 340]",0,0,0
ava_obj_2_544273.jpg,"[115, 38, 499, 422]",0,0,0
ava_obj_2_544273.jpg,"[71, 0, 640, 427]",4,1,1
ava_obj_2_544273.jpg,"[0, 86, 455, 427]",0,0,0
ava_obj_2_544273.jpg,"[0, 0, 455, 341]",0,0,0
ava_obj_2_544273.jpg,"[0, 84, 341, 340]",0,0,0
ava_obj_2_544273.jpg,"[84, 42, 425, 298]",1,3,0
ava_obj_2_544273.jpg,"[177, 39, 561, 327]",0,0,0
ava_obj_2_544273.jpg,"[126, 0, 446, 427]",0,0,0
ava_obj_2_544273.jpg,"[0, 0, 320, 427]",0,0,0
ava_obj_2_544273.jpg,"[84, 84, 340, 425]",1,2,0
ava_obj_2_544273.jpg,"[294, 0, 614, 427]",0,0,0
ava_obj_2_544273.jpg,"[207, 12, 518, 426]",0,0,0
ava_obj_2_544273.jpg,"[72, 5, 383, 419]",1,1,0
ava_obj_2_544273.jpg,"[0, 0, 640, 360]",2,2,3
ava_obj_2_544273.jpg,"[0, 84, 512, 372]",0,0,0
ava_obj_2_544273.jpg,"[42, 42, 426, 258]",3,1,2
ava_obj_2_544273.jpg,"[84, 126, 468, 342]",0,0,0
ava_obj_2_544273.jpg,"[115, 38, 563, 290]",0,0,0
ava_obj_2_544273.jpg,"[188, 168, 572, 384]",0,0,0
