name,bbox,score,order_pre,order_final
ava_obj_0_522258.jpg,"[153, 51, 460, 358]",0,0,0
ava_obj_0_522258.jpg,"[51, 0, 358, 307]",0,0,0
ava_obj_0_522258.jpg,"[0, 0, 409, 409]",0,0,0
ava_obj_0_522258.jpg,"[40, 155, 398, 513]",0,0,0
ava_obj_0_522258.jpg,"[149, 142, 507, 500]",1,1,0
ava_obj_0_522258.jpg,"[9, 223, 316, 530]",1,2,0
ava_obj_0_522258.jpg,"[51, 51, 460, 358]",1,2,0
ava_obj_0_522258.jpg,"[153, 102, 460, 332]",0,0,0
ava_obj_0_522258.jpg,"[51, 102, 358, 332]",0,0,0
ava_obj_0_522258.jpg,"[51, 0, 358, 230]",0,0,0
ava_obj_0_522258.jpg,"[131, 400, 438, 630]",0,0,0
ava_obj_0_522258.jpg,"[101, 260, 408, 490]",1,1,0
ava_obj_0_522258.jpg,"[153, 0, 440, 384]",0,0,0
ava_obj_0_522258.jpg,"[51, 0, 435, 512]",0,0,3
ava_obj_0_522258.jpg,"[51, 0, 338, 384]",0,0,0
ava_obj_0_522258.jpg,"[225, 51, 512, 435]",0,0,0
ava_obj_0_522258.jpg,"[153, 102, 440, 486]",3,2,2
ava_obj_0_522258.jpg,"[66, 190, 373, 599]",4,2,1
ava_obj_0_522258.jpg,"[0, 51, 512, 339]",0,0,0
ava_obj_0_522258.jpg,"[51, 0, 460, 230]",0,0,0
ava_obj_0_522258.jpg,"[51, 153, 460, 383]",0,0,0
ava_obj_0_522258.jpg,"[204, 204, 511, 376]",1,1,0
ava_obj_0_522258.jpg,"[204, 153, 511, 325]",0,0,0
ava_obj_0_522258.jpg,"[187, 260, 494, 432]",1,2,0
ava_obj_0_1990.jpg,"[48, 0, 528, 480]",1,1,0
ava_obj_0_1990.jpg,"[240, 48, 624, 432]",1,2,0
ava_obj_0_1990.jpg,"[0, 48, 384, 432]",0,0,0
ava_obj_0_1990.jpg,"[48, 0, 336, 288]",0,0,0
ava_obj_0_1990.jpg,"[172, 94, 556, 478]",0,0,0
ava_obj_0_1990.jpg,"[160, 7, 544, 391]",0,0,0
ava_obj_0_1990.jpg,"[0, 0, 640, 480]",4,2,1
ava_obj_0_1990.jpg,"[0, 96, 384, 384]",0,0,0
ava_obj_0_1990.jpg,"[48, 0, 432, 288]",0,0,0
ava_obj_0_1990.jpg,"[73, 123, 457, 411]",0,0,0
ava_obj_0_1990.jpg,"[171, 89, 619, 425]",3,1,2
ava_obj_0_1990.jpg,"[235, 27, 619, 315]",0,0,0
ava_obj_0_1990.jpg,"[352, 48, 640, 432]",0,0,0
ava_obj_0_1990.jpg,"[96, 0, 384, 384]",0,0,0
ava_obj_0_1990.jpg,"[240, 0, 600, 480]",1,2,0
ava_obj_0_1990.jpg,"[144, 0, 504, 480]",1,1,0
ava_obj_0_1990.jpg,"[14, 14, 359, 474]",0,0,0
ava_obj_0_1990.jpg,"[73, 4, 418, 464]",0,0,0
ava_obj_0_1990.jpg,"[0, 48, 640, 408]",1,1,0
ava_obj_0_1990.jpg,"[0, 144, 512, 432]",2,2,3
ava_obj_0_1990.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_1990.jpg,"[96, 192, 608, 480]",0,0,0
