name,bbox,score,order_pre,order_final
ava_obj_0_914196.jpg,"[265, 159, 585, 479]",0,0,0
ava_obj_0_914196.jpg,"[318, 106, 638, 426]",0,0,0
ava_obj_0_914196.jpg,"[318, 212, 638, 532]",1,2,0
ava_obj_0_914196.jpg,"[265, 106, 692, 533]",0,0,0
ava_obj_0_914196.jpg,"[371, 53, 798, 480]",1,1,0
ava_obj_0_914196.jpg,"[50, 35, 530, 515]",0,0,0
ava_obj_0_914196.jpg,"[212, 159, 639, 479]",2,1,3
ava_obj_0_914196.jpg,"[212, 106, 781, 533]",3,2,2
ava_obj_0_914196.jpg,"[53, 106, 622, 533]",0,0,0
ava_obj_0_914196.jpg,"[106, 212, 533, 532]",0,0,0
ava_obj_0_914196.jpg,"[318, 106, 745, 426]",0,0,0
ava_obj_0_914196.jpg,"[161, 26, 721, 446]",0,0,0
ava_obj_0_914196.jpg,"[265, 106, 585, 533]",0,0,0
ava_obj_0_914196.jpg,"[371, 0, 771, 534]",1,2,0
ava_obj_0_914196.jpg,"[318, 159, 558, 479]",0,0,0
ava_obj_0_914196.jpg,"[371, 212, 611, 532]",0,0,0
ava_obj_0_914196.jpg,"[480, 53, 800, 480]",1,1,0
ava_obj_0_914196.jpg,"[62, 8, 450, 525]",0,0,0
ava_obj_0_914196.jpg,"[159, 212, 639, 482]",0,0,0
ava_obj_0_914196.jpg,"[0, 84, 800, 534]",4,2,1
ava_obj_0_914196.jpg,"[159, 53, 799, 413]",0,0,0
ava_obj_0_914196.jpg,"[265, 159, 745, 429]",1,1,0
ava_obj_0_914196.jpg,"[121, 26, 681, 341]",0,0,0
ava_obj_0_914196.jpg,"[77, 127, 637, 442]",0,0,0
ava_obj_1_835745.jpg,"[176, 88, 532, 444]",0,0,0
ava_obj_1_835745.jpg,"[176, 176, 443, 443]",1,1,0
ava_obj_1_835745.jpg,"[132, 132, 399, 399]",0,0,0
ava_obj_1_835745.jpg,"[88, 90, 444, 446]",1,2,0
ava_obj_1_835745.jpg,"[176, 88, 443, 355]",0,0,0
ava_obj_1_835745.jpg,"[353, 10, 785, 442]",0,0,0
ava_obj_1_835745.jpg,"[176, 179, 532, 446]",1,1,0
ava_obj_1_835745.jpg,"[88, 132, 444, 399]",0,0,0
ava_obj_1_835745.jpg,"[88, 88, 563, 444]",2,2,3
ava_obj_1_835745.jpg,"[176, 88, 532, 355]",0,0,0
ava_obj_1_835745.jpg,"[167, 13, 647, 373]",0,0,0
ava_obj_1_835745.jpg,"[279, 47, 759, 407]",0,0,0
ava_obj_1_835745.jpg,"[220, 0, 554, 446]",0,0,0
ava_obj_1_835745.jpg,"[176, 90, 443, 446]",1,2,0
ava_obj_1_835745.jpg,"[132, 44, 399, 400]",0,0,0
ava_obj_1_835745.jpg,"[176, 132, 376, 399]",1,1,0
ava_obj_1_835745.jpg,"[220, 179, 420, 446]",0,0,0
ava_obj_1_835745.jpg,"[354, 15, 668, 433]",0,0,0
ava_obj_1_835745.jpg,"[44, 179, 519, 446]",3,1,2
ava_obj_1_835745.jpg,"[44, 88, 519, 355]",0,0,0
ava_obj_1_835745.jpg,"[132, 132, 607, 399]",0,0,0
ava_obj_1_835745.jpg,"[0, 90, 634, 446]",4,2,1
ava_obj_1_835745.jpg,"[308, 176, 783, 443]",0,0,0
ava_obj_1_835745.jpg,"[227, 82, 707, 352]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[48, 0, 528, 480]",4,2,1
coco_obj_0_COCO_train2014_000000452532.jpg,"[0, 0, 384, 384]",1,1,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[144, 0, 432, 288]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[192, 96, 576, 480]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[228, 22, 612, 406]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[8, 77, 392, 461]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[0, 0, 640, 480]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[96, 0, 480, 288]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[96, 192, 480, 480]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[134, 83, 582, 419]",1,2,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[240, 157, 624, 445]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[48, 87, 432, 375]",1,1,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[96, 0, 456, 480]",1,2,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[48, 0, 336, 384]",3,1,2
coco_obj_0_COCO_train2014_000000452532.jpg,"[240, 0, 600, 480]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[144, 0, 359, 288]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[192, 0, 480, 384]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[3, 16, 348, 476]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[0, 0, 640, 360]",2,1,3
coco_obj_0_COCO_train2014_000000452532.jpg,"[0, 96, 640, 456]",1,2,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[96, 192, 608, 480]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[0, 0, 384, 216]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[192, 0, 576, 216]",0,0,0
coco_obj_0_COCO_train2014_000000452532.jpg,"[17, 71, 401, 287]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[96, 48, 480, 432]",1,1,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[192, 96, 480, 384]",1,2,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[96, 96, 384, 384]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[52, 254, 436, 638]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[136, 8, 424, 296]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[76, 155, 364, 443]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[96, 96, 480, 384]",1,1,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[0, 0, 480, 360]",3,2,2
coco_obj_0_COCO_train2014_000000271654.jpg,"[192, 96, 480, 311]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[96, 144, 384, 359]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[93, 373, 429, 625]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[186, 419, 474, 635]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[96, 48, 384, 432]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[192, 48, 480, 432]",1,1,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[96, 0, 480, 512]",4,2,1
coco_obj_0_COCO_train2014_000000271654.jpg,"[0, 48, 288, 432]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[144, 144, 432, 528]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[27, 164, 315, 548]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[0, 96, 480, 366]",2,1,3
coco_obj_0_COCO_train2014_000000271654.jpg,"[192, 144, 480, 306]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[96, 240, 384, 402]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[0, 0, 480, 270]",1,2,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[121, 421, 409, 583]",0,0,0
coco_obj_0_COCO_train2014_000000271654.jpg,"[110, 176, 398, 338]",0,0,0
ava_obj_0_3355.jpg,"[0, 192, 288, 480]",1,2,0
ava_obj_0_3355.jpg,"[0, 96, 384, 480]",3,1,2
ava_obj_0_3355.jpg,"[336, 96, 624, 384]",0,0,0
ava_obj_0_3355.jpg,"[336, 192, 624, 480]",0,0,0
ava_obj_0_3355.jpg,"[288, 144, 576, 432]",0,0,0
ava_obj_0_3355.jpg,"[223, 51, 607, 435]",0,0,0
ava_obj_0_3355.jpg,"[0, 144, 384, 432]",1,1,0
ava_obj_0_3355.jpg,"[0, 96, 512, 480]",4,2,1
ava_obj_0_3355.jpg,"[256, 192, 640, 480]",0,0,0
ava_obj_0_3355.jpg,"[256, 48, 640, 336]",0,0,0
ava_obj_0_3355.jpg,"[192, 153, 576, 441]",0,0,0
ava_obj_0_3355.jpg,"[83, 176, 467, 464]",0,0,0
ava_obj_0_3355.jpg,"[0, 96, 288, 480]",1,1,0
ava_obj_0_3355.jpg,"[0, 192, 215, 480]",0,0,0
ava_obj_0_3355.jpg,"[352, 96, 640, 480]",0,0,0
ava_obj_0_3355.jpg,"[425, 192, 640, 480]",0,0,0
ava_obj_0_3355.jpg,"[384, 144, 599, 432]",0,0,0
ava_obj_0_3355.jpg,"[71, 11, 416, 471]",2,2,3
ava_obj_0_3355.jpg,"[0, 240, 384, 456]",0,0,0
ava_obj_0_3355.jpg,"[0, 144, 512, 432]",1,1,0
ava_obj_0_3355.jpg,"[256, 144, 640, 360]",1,2,0
ava_obj_0_3355.jpg,"[0, 144, 384, 360]",0,0,0
ava_obj_0_3355.jpg,"[204, 18, 588, 234]",0,0,0
ava_obj_0_3355.jpg,"[34, 56, 482, 308]",0,0,0
