name,bbox,score,order_pre,order_final
ava_obj_2_755312.jpg,"[0, 94, 479, 573]",2,1,3
ava_obj_2_755312.jpg,"[94, 47, 477, 430]",0,0,0
ava_obj_2_755312.jpg,"[94, 94, 381, 381]",0,0,0
ava_obj_2_755312.jpg,"[0, 337, 383, 720]",1,3,0
ava_obj_2_755312.jpg,"[31, 175, 318, 462]",1,2,0
ava_obj_2_755312.jpg,"[114, 15, 401, 302]",0,0,0
ava_obj_2_755312.jpg,"[94, 94, 477, 381]",0,0,0
ava_obj_2_755312.jpg,"[0, 0, 479, 359]",0,0,0
ava_obj_2_755312.jpg,"[0, 188, 479, 547]",1,1,0
ava_obj_2_755312.jpg,"[0, 141, 383, 428]",0,0,0
ava_obj_2_755312.jpg,"[0, 329, 479, 688]",0,0,0
ava_obj_2_755312.jpg,"[50, 234, 385, 485]",1,2,0
ava_obj_2_755312.jpg,"[0, 0, 479, 638]",4,2,1
ava_obj_2_755312.jpg,"[94, 47, 381, 430]",0,0,0
ava_obj_2_755312.jpg,"[155, 81, 442, 463]",0,0,0
ava_obj_2_755312.jpg,"[86, 161, 373, 543]",1,4,0
ava_obj_2_755312.jpg,"[93, 209, 428, 655]",3,1,2
ava_obj_2_755312.jpg,"[137, 131, 472, 577]",1,3,0
ava_obj_2_755312.jpg,"[0, 94, 479, 363]",0,0,0
ava_obj_2_755312.jpg,"[0, 188, 479, 457]",1,1,0
ava_obj_2_755312.jpg,"[0, 376, 479, 645]",0,0,0
ava_obj_2_755312.jpg,"[42, 305, 425, 520]",1,2,0
ava_obj_2_755312.jpg,"[20, 509, 355, 697]",0,0,0
ava_obj_2_755312.jpg,"[11, 364, 298, 525]",0,0,0
ava_obj_1_801664.jpg,"[0, 0, 426, 427]",0,0,0
ava_obj_1_801664.jpg,"[126, 0, 552, 427]",1,3,0
ava_obj_1_801664.jpg,"[0, 168, 256, 424]",0,0,0
ava_obj_1_801664.jpg,"[236, 13, 620, 397]",0,0,0
ava_obj_1_801664.jpg,"[95, 2, 479, 386]",1,1,0
ava_obj_1_801664.jpg,"[192, 42, 576, 426]",1,2,0
ava_obj_1_801664.jpg,"[0, 0, 569, 427]",1,2,0
ava_obj_1_801664.jpg,"[168, 42, 623, 383]",0,0,0
ava_obj_1_801664.jpg,"[0, 168, 341, 424]",0,0,0
ava_obj_1_801664.jpg,"[52, 41, 436, 329]",2,1,3
ava_obj_1_801664.jpg,"[115, 105, 499, 393]",1,3,0
ava_obj_1_801664.jpg,"[179, 134, 563, 422]",0,0,0
ava_obj_1_801664.jpg,"[168, 0, 488, 427]",1,1,0
ava_obj_1_801664.jpg,"[84, 0, 404, 427]",1,3,0
ava_obj_1_801664.jpg,"[0, 0, 320, 427]",0,0,0
ava_obj_1_801664.jpg,"[252, 0, 572, 427]",0,0,0
ava_obj_1_801664.jpg,"[322, 4, 633, 418]",0,0,0
ava_obj_1_801664.jpg,"[46, 4, 357, 418]",1,2,0
ava_obj_1_801664.jpg,"[0, 42, 640, 402]",0,0,0
ava_obj_1_801664.jpg,"[0, 126, 512, 414]",1,3,0
ava_obj_1_801664.jpg,"[128, 0, 640, 288]",0,0,0
ava_obj_1_801664.jpg,"[0, 168, 384, 384]",0,0,0
ava_obj_1_801664.jpg,"[130, 9, 514, 225]",3,1,2
ava_obj_1_801664.jpg,"[76, 72, 524, 324]",4,2,1
ava_obj_1_658320.jpg,"[88, 0, 440, 352]",0,0,0
ava_obj_1_658320.jpg,"[176, 0, 440, 264]",0,0,0
ava_obj_1_658320.jpg,"[177, 88, 441, 352]",0,0,0
