name,bbox,score,order_pre,order_final
ava_obj_0_945729.jpg,"[250, 0, 654, 404]",1,2,0
ava_obj_0_945729.jpg,"[250, 100, 553, 403]",0,0,0
ava_obj_0_945729.jpg,"[497, 0, 800, 303]",1,1,0
ava_obj_0_945729.jpg,"[100, 50, 504, 454]",0,0,0
ava_obj_0_945729.jpg,"[150, 100, 453, 403]",0,0,0
ava_obj_0_945729.jpg,"[274, 22, 754, 502]",0,0,0
ava_obj_0_945729.jpg,"[261, 0, 800, 404]",1,1,0
ava_obj_0_945729.jpg,"[100, 100, 504, 403]",0,0,0
ava_obj_0_945729.jpg,"[100, 50, 639, 454]",0,0,0
ava_obj_0_945729.jpg,"[396, 0, 800, 303]",2,2,3
ava_obj_0_945729.jpg,"[250, 50, 654, 353]",0,0,0
ava_obj_0_945729.jpg,"[314, 122, 794, 482]",0,0,0
ava_obj_0_945729.jpg,"[300, 0, 603, 404]",1,2,0
ava_obj_0_945729.jpg,"[250, 100, 477, 403]",0,0,0
ava_obj_0_945729.jpg,"[200, 0, 503, 404]",0,0,0
ava_obj_0_945729.jpg,"[100, 0, 479, 506]",0,0,0
ava_obj_0_945729.jpg,"[497, 0, 800, 404]",1,1,0
ava_obj_0_945729.jpg,"[415, 26, 764, 491]",0,0,0
ava_obj_0_945729.jpg,"[150, 0, 790, 360]",4,3,1
ava_obj_0_945729.jpg,"[50, 50, 690, 410]",0,0,0
ava_obj_0_945729.jpg,"[320, 0, 800, 270]",3,1,2
ava_obj_0_945729.jpg,"[100, 100, 580, 370]",0,0,0
ava_obj_0_945729.jpg,"[217, 134, 697, 404]",0,0,0
ava_obj_0_945729.jpg,"[204, 4, 684, 274]",1,2,0
ava_obj_2_512899.jpg,"[0, 0, 346, 346]",0,0,0
ava_obj_2_512899.jpg,"[0, 86, 259, 345]",0,0,0
ava_obj_2_512899.jpg,"[129, 43, 475, 389]",1,1,0
ava_obj_2_512899.jpg,"[43, 43, 302, 302]",0,0,0
ava_obj_2_512899.jpg,"[199, 14, 583, 398]",1,2,0
ava_obj_2_512899.jpg,"[28, 35, 412, 419]",0,0,0
ava_obj_2_512899.jpg,"[0, 0, 461, 346]",1,2,0
ava_obj_2_512899.jpg,"[0, 86, 346, 345]",0,0,0
ava_obj_2_512899.jpg,"[172, 0, 633, 346]",0,0,0
ava_obj_2_512899.jpg,"[133, 25, 517, 313]",0,0,0
ava_obj_2_512899.jpg,"[246, 101, 630, 389]",2,1,3
ava_obj_2_512899.jpg,"[64, 118, 448, 406]",0,0,0
ava_obj_2_512899.jpg,"[0, 43, 259, 389]",0,0,0
ava_obj_2_512899.jpg,"[43, 86, 237, 345]",0,0,0
ava_obj_2_512899.jpg,"[0, 43, 194, 302]",0,0,0
ava_obj_2_512899.jpg,"[86, 43, 280, 302]",0,0,0
ava_obj_2_512899.jpg,"[129, 43, 388, 389]",1,2,0
ava_obj_2_512899.jpg,"[197, 14, 508, 428]",1,1,0
ava_obj_2_512899.jpg,"[0, 0, 640, 360]",4,1,1
ava_obj_2_512899.jpg,"[0, 86, 512, 374]",3,2,2
ava_obj_2_512899.jpg,"[0, 86, 384, 302]",0,0,0
ava_obj_2_512899.jpg,"[20, 175, 404, 391]",0,0,0
