name,bbox,score,order_pre,order_final
ava_obj_1_324447.jpg,"[328, 167, 577, 416]",4,2,1
ava_obj_1_324447.jpg,"[328, 82, 577, 331]",0,0,0
ava_obj_1_324447.jpg,"[287, 123, 536, 372]",0,0,0
ava_obj_1_324447.jpg,"[287, 82, 619, 414]",1,1,0
ava_obj_1_324447.jpg,"[369, 123, 618, 372]",0,0,0
ava_obj_1_324447.jpg,"[3, 13, 387, 397]",0,0,0
ava_obj_1_324447.jpg,"[287, 167, 619, 416]",3,1,2
ava_obj_1_324447.jpg,"[205, 164, 537, 413]",0,0,0
ava_obj_1_324447.jpg,"[197, 82, 640, 414]",1,2,0
ava_obj_1_324447.jpg,"[246, 82, 578, 331]",0,0,0
ava_obj_1_324447.jpg,"[0, 0, 554, 416]",0,0,0
ava_obj_1_324447.jpg,"[141, 28, 589, 364]",0,0,0
ava_obj_1_324447.jpg,"[369, 164, 556, 413]",1,2,0
ava_obj_1_324447.jpg,"[328, 123, 515, 372]",0,0,0
ava_obj_1_324447.jpg,"[328, 84, 577, 416]",2,1,3
ava_obj_1_324447.jpg,"[369, 82, 556, 331]",0,0,0
ava_obj_1_324447.jpg,"[37, 1, 348, 415]",0,0,0
ava_obj_1_324447.jpg,"[225, 1, 536, 415]",0,0,0
ava_obj_1_324447.jpg,"[246, 164, 630, 380]",1,1,0
ava_obj_1_324447.jpg,"[123, 128, 635, 416]",1,2,0
ava_obj_1_324447.jpg,"[164, 200, 548, 416]",0,0,0
ava_obj_1_324447.jpg,"[41, 82, 553, 370]",0,0,0
ava_obj_1_324447.jpg,"[69, 10, 581, 298]",0,0,0
ava_obj_1_324447.jpg,"[51, 37, 435, 253]",0,0,0
ava_obj_0_955655.jpg,"[360, 120, 720, 480]",2,2,3
ava_obj_0_955655.jpg,"[120, 0, 720, 600]",0,0,0
ava_obj_0_955655.jpg,"[320, 120, 800, 600]",0,0,0
ava_obj_0_955655.jpg,"[420, 60, 780, 420]",1,1,0
ava_obj_0_955655.jpg,"[52, 74, 532, 554]",0,0,0
ava_obj_0_955655.jpg,"[285, 11, 765, 491]",0,0,0
ava_obj_0_955655.jpg,"[300, 120, 780, 480]",3,1,2
ava_obj_0_955655.jpg,"[240, 60, 720, 420]",0,0,0
ava_obj_0_955655.jpg,"[160, 0, 800, 480]",0,0,0
ava_obj_0_955655.jpg,"[60, 60, 700, 540]",0,0,0
ava_obj_0_955655.jpg,"[320, 0, 800, 360]",1,2,0
ava_obj_0_955655.jpg,"[140, 234, 620, 594]",0,0,0
ava_obj_0_955655.jpg,"[360, 120, 720, 600]",1,2,0
ava_obj_0_955655.jpg,"[240, 0, 690, 600]",0,0,0
ava_obj_0_955655.jpg,"[420, 120, 690, 480]",0,0,0
ava_obj_0_955655.jpg,"[420, 0, 780, 480]",1,1,0
ava_obj_0_955655.jpg,"[25, 6, 457, 582]",0,0,0
ava_obj_0_955655.jpg,"[127, 23, 559, 599]",0,0,0
ava_obj_0_955655.jpg,"[240, 120, 720, 390]",1,2,0
ava_obj_0_955655.jpg,"[160, 120, 800, 480]",0,0,0
ava_obj_0_955655.jpg,"[60, 60, 700, 420]",0,0,0
ava_obj_0_955655.jpg,"[320, 180, 800, 450]",4,1,1
ava_obj_0_955655.jpg,"[212, 226, 692, 496]",0,0,0
ava_obj_0_955655.jpg,"[307, 298, 787, 568]",0,0,0
ava_obj_0_957161.jpg,"[35, 0, 800, 765]",2,1,3
ava_obj_0_957161.jpg,"[0, 153, 612, 765]",1,2,0
ava_obj_0_957161.jpg,"[152, 304, 611, 763]",0,0,0
ava_obj_0_957161.jpg,"[228, 228, 687, 687]",0,0,0
ava_obj_0_957161.jpg,"[171, 71, 731, 631]",0,0,0
ava_obj_0_957161.jpg,"[37, 41, 517, 521]",0,0,0
ava_obj_0_957161.jpg,"[76, 285, 716, 765]",1,2,0
ava_obj_0_957161.jpg,"[0, 76, 800, 676]",3,1,2
ava_obj_0_957161.jpg,"[320, 0, 800, 360]",0,0,0
ava_obj_0_957161.jpg,"[152, 304, 632, 664]",0,0,0
ava_obj_0_957161.jpg,"[228, 380, 708, 740]",0,0,0
ava_obj_0_957161.jpg,"[36, 312, 516, 672]",0,0,0
ava_obj_0_957161.jpg,"[152, 0, 725, 765]",4,1,1
ava_obj_0_957161.jpg,"[456, 0, 800, 459]",0,0,0
ava_obj_0_957161.jpg,"[0, 0, 573, 765]",1,2,0
ava_obj_0_957161.jpg,"[341, 0, 800, 612]",0,0,0
ava_obj_0_957161.jpg,"[228, 228, 572, 687]",0,0,0
ava_obj_0_957161.jpg,"[275, 117, 755, 757]",0,0,0
ava_obj_0_957161.jpg,"[0, 304, 800, 754]",1,1,0
ava_obj_0_957161.jpg,"[320, 0, 800, 270]",0,0,0
ava_obj_0_957161.jpg,"[160, 0, 800, 360]",0,0,0
ava_obj_0_957161.jpg,"[76, 228, 716, 588]",1,2,0
ava_obj_0_957161.jpg,"[240, 347, 720, 617]",0,0,0
ava_obj_0_957161.jpg,"[243, 269, 723, 539]",0,0,0
ava_obj_1_599344.jpg,"[0, 0, 468, 468]",3,1,2
ava_obj_1_599344.jpg,"[138, 0, 418, 280]",0,0,0
ava_obj_1_599344.jpg,"[94, 266, 468, 640]",0,0,0
ava_obj_1_599344.jpg,"[92, 46, 372, 326]",1,2,0
ava_obj_1_599344.jpg,"[17, 159, 344, 486]",0,0,0
ava_obj_1_599344.jpg,"[93, 213, 373, 493]",0,0,0
ava_obj_1_599344.jpg,"[0, 0, 468, 351]",1,1,0
ava_obj_1_599344.jpg,"[0, 138, 468, 489]",0,0,0
ava_obj_1_599344.jpg,"[0, 289, 468, 640]",0,0,0
ava_obj_1_599344.jpg,"[188, 276, 468, 486]",0,0,0
ava_obj_1_599344.jpg,"[94, 92, 468, 372]",1,2,0
ava_obj_1_599344.jpg,"[56, 250, 383, 495]",0,0,0
ava_obj_1_599344.jpg,"[0, 0, 468, 624]",4,1,1
ava_obj_1_599344.jpg,"[138, 0, 418, 374]",2,2,3
ava_obj_1_599344.jpg,"[92, 46, 372, 420]",0,0,0
ava_obj_1_599344.jpg,"[188, 92, 468, 466]",0,0,0
ava_obj_1_599344.jpg,"[29, 245, 309, 618]",0,0,0
ava_obj_1_599344.jpg,"[20, 119, 300, 492]",0,0,0
ava_obj_1_599344.jpg,"[0, 0, 468, 263]",1,1,0
ava_obj_1_599344.jpg,"[0, 184, 468, 447]",0,0,0
ava_obj_1_599344.jpg,"[0, 92, 468, 355]",1,2,0
ava_obj_1_599344.jpg,"[92, 276, 466, 486]",0,0,0
ava_obj_1_599344.jpg,"[39, 406, 366, 589]",0,0,0
ava_obj_1_599344.jpg,"[71, 255, 351, 412]",0,0,0
ava_obj_0_532807.jpg,"[210, 84, 550, 424]",1,1,0
ava_obj_0_532807.jpg,"[294, 86, 634, 426]",0,0,0
ava_obj_0_532807.jpg,"[294, 126, 549, 381]",0,0,0
ava_obj_0_532807.jpg,"[0, 0, 426, 426]",0,0,0
ava_obj_0_532807.jpg,"[153, 0, 537, 384]",2,2,3
ava_obj_0_532807.jpg,"[101, 35, 485, 419]",0,0,0
ava_obj_0_532807.jpg,"[186, 84, 640, 424]",3,2,2
ava_obj_0_532807.jpg,"[294, 126, 634, 381]",0,0,0
ava_obj_0_532807.jpg,"[210, 84, 550, 339]",4,1,1
ava_obj_0_532807.jpg,"[0, 0, 568, 426]",0,0,0
ava_obj_0_532807.jpg,"[22, 7, 406, 295]",0,0,0
ava_obj_0_532807.jpg,"[75, 76, 459, 364]",0,0,0
ava_obj_0_532807.jpg,"[210, 0, 529, 426]",1,2,0
ava_obj_0_532807.jpg,"[336, 86, 591, 426]",0,0,0
ava_obj_0_532807.jpg,"[294, 42, 549, 382]",1,1,0
ava_obj_0_532807.jpg,"[42, 0, 361, 426]",0,0,0
ava_obj_0_532807.jpg,"[0, 0, 255, 340]",0,0,0
ava_obj_0_532807.jpg,"[127, 1, 438, 415]",0,0,0
ava_obj_0_532807.jpg,"[210, 126, 594, 342]",0,0,0
ava_obj_0_532807.jpg,"[0, 0, 640, 360]",1,2,0
