name,bbox,score,order_pre,order_final
ava_obj_0_354535.jpg,"[84, 0, 424, 340]",3,2,2
ava_obj_0_354535.jpg,"[252, 0, 507, 255]",0,0,0
ava_obj_0_354535.jpg,"[84, 0, 339, 255]",0,0,0
ava_obj_0_354535.jpg,"[168, 0, 423, 255]",0,0,0
ava_obj_0_354535.jpg,"[252, 0, 592, 340]",0,0,0
ava_obj_0_354535.jpg,"[153, 5, 537, 389]",1,1,0
ava_obj_0_354535.jpg,"[84, 0, 424, 255]",1,2,0
ava_obj_0_354535.jpg,"[42, 0, 496, 340]",4,1,1
ava_obj_0_354535.jpg,"[252, 0, 592, 255]",0,0,0
ava_obj_0_354535.jpg,"[186, 0, 640, 340]",0,0,0
ava_obj_0_354535.jpg,"[168, 42, 508, 297]",0,0,0
ava_obj_0_354535.jpg,"[201, 97, 585, 385]",0,0,0
ava_obj_0_354535.jpg,"[84, 0, 275, 255]",0,0,0
ava_obj_0_354535.jpg,"[84, 0, 339, 340]",1,2,0
ava_obj_0_354535.jpg,"[252, 0, 443, 255]",0,0,0
ava_obj_0_354535.jpg,"[336, 0, 527, 255]",0,0,0
ava_obj_0_354535.jpg,"[294, 0, 549, 340]",0,0,0
ava_obj_0_354535.jpg,"[144, 6, 455, 420]",1,1,0
ava_obj_0_354535.jpg,"[0, 0, 512, 288]",1,1,0
ava_obj_0_354535.jpg,"[42, 42, 426, 258]",2,2,3
ava_obj_0_354535.jpg,"[0, 66, 640, 426]",0,0,0
ava_obj_0_354535.jpg,"[126, 84, 510, 300]",0,0,0
ava_obj_0_354535.jpg,"[126, 42, 638, 330]",0,0,0
ava_obj_0_354535.jpg,"[174, 132, 558, 348]",0,0,0
ava_obj_0_779595.jpg,"[294, 168, 550, 424]",0,0,0
ava_obj_0_779595.jpg,"[384, 126, 640, 382]",0,0,0
ava_obj_0_779595.jpg,"[299, 86, 640, 427]",0,0,0
ava_obj_0_779595.jpg,"[210, 171, 466, 427]",0,0,0
ava_obj_0_779595.jpg,"[95, 36, 479, 420]",1,2,0
ava_obj_0_779595.jpg,"[15, 0, 399, 384]",4,1,1
ava_obj_0_779595.jpg,"[294, 168, 635, 424]",0,0,0
ava_obj_0_779595.jpg,"[210, 126, 551, 382]",0,0,0
ava_obj_0_779595.jpg,"[299, 84, 640, 340]",0,0,0
ava_obj_0_779595.jpg,"[185, 84, 640, 425]",0,0,0
ava_obj_0_779595.jpg,"[126, 171, 467, 427]",1,1,0
ava_obj_0_779595.jpg,"[199, 30, 583, 318]",2,2,3
ava_obj_0_779595.jpg,"[294, 168, 486, 424]",0,0,0
ava_obj_0_779595.jpg,"[384, 84, 640, 425]",1,1,0
ava_obj_0_779595.jpg,"[420, 126, 612, 382]",0,0,0
ava_obj_0_779595.jpg,"[448, 171, 640, 427]",0,0,0
ava_obj_0_779595.jpg,"[336, 126, 528, 382]",0,0,0
ava_obj_0_779595.jpg,"[225, 5, 536, 419]",1,2,0
ava_obj_0_779595.jpg,"[256, 210, 640, 426]",0,0,0
ava_obj_0_779595.jpg,"[256, 126, 640, 342]",0,0,0
ava_obj_0_779595.jpg,"[168, 168, 552, 384]",0,0,0
ava_obj_0_779595.jpg,"[128, 139, 640, 427]",1,2,0
ava_obj_0_779595.jpg,"[84, 84, 596, 372]",0,0,0
ava_obj_0_779595.jpg,"[251, 28, 635, 244]",3,1,2
ava_obj_0_848893.jpg,"[220, 54, 548, 382]",2,2,3
ava_obj_0_848893.jpg,"[54, 54, 492, 492]",1,1,0
ava_obj_0_848893.jpg,"[162, 460, 490, 788]",0,0,0
ava_obj_0_848893.jpg,"[162, 108, 490, 436]",0,0,0
ava_obj_0_848893.jpg,"[116, 309, 444, 637]",0,0,0
ava_obj_0_848893.jpg,"[5, 194, 333, 522]",0,0,0
ava_obj_0_848893.jpg,"[110, 460, 548, 788]",1,2,0
