name,bbox,score,order_pre,order_final
ava_obj_0_569971.jpg,"[88, 88, 443, 443]",0,0,0
ava_obj_0_569971.jpg,"[178, 176, 444, 442]",0,0,0
ava_obj_0_569971.jpg,"[0, 176, 355, 531]",1,2,0
ava_obj_0_569971.jpg,"[132, 132, 398, 398]",0,0,0
ava_obj_0_569971.jpg,"[68, 307, 334, 573]",0,0,0
ava_obj_0_569971.jpg,"[127, 220, 393, 486]",1,1,0
ava_obj_0_569971.jpg,"[0, 132, 444, 465]",0,0,0
ava_obj_0_569971.jpg,"[44, 220, 399, 486]",1,2,0
ava_obj_0_569971.jpg,"[178, 220, 444, 419]",1,1,0
ava_obj_0_569971.jpg,"[44, 220, 310, 419]",0,0,0
ava_obj_0_569971.jpg,"[102, 351, 412, 583]",0,0,0
ava_obj_0_569971.jpg,"[113, 128, 379, 327]",0,0,0
ava_obj_0_569971.jpg,"[178, 88, 444, 443]",3,2,2
ava_obj_0_569971.jpg,"[89, 88, 444, 561]",0,0,0
ava_obj_0_569971.jpg,"[88, 88, 354, 443]",0,0,0
ava_obj_0_569971.jpg,"[44, 132, 310, 487]",4,1,1
ava_obj_0_569971.jpg,"[0, 0, 355, 473]",0,0,0
ava_obj_0_569971.jpg,"[28, 53, 294, 407]",0,0,0
ava_obj_0_569971.jpg,"[0, 176, 444, 425]",0,0,0
ava_obj_0_569971.jpg,"[44, 264, 399, 463]",0,0,0
ava_obj_0_569971.jpg,"[44, 264, 310, 413]",1,1,0
ava_obj_0_569971.jpg,"[132, 264, 398, 413]",2,2,3
ava_obj_0_569971.jpg,"[28, 2, 294, 151]",0,0,0
ava_obj_0_569971.jpg,"[141, 488, 407, 637]",0,0,0
ava_obj_0_624989.jpg,"[0, 0, 427, 427]",3,1,2
ava_obj_0_624989.jpg,"[86, 126, 427, 467]",1,2,0
ava_obj_0_624989.jpg,"[126, 126, 382, 382]",0,0,0
ava_obj_0_624989.jpg,"[126, 42, 382, 298]",0,0,0
ava_obj_0_624989.jpg,"[42, 181, 383, 522]",0,0,0
ava_obj_0_624989.jpg,"[133, 328, 389, 584]",0,0,0
ava_obj_0_624989.jpg,"[84, 126, 425, 382]",4,2,1
ava_obj_0_624989.jpg,"[0, 42, 427, 362]",2,1,3
ava_obj_0_624989.jpg,"[86, 0, 427, 256]",0,0,0
ava_obj_0_624989.jpg,"[126, 84, 382, 276]",0,0,0
ava_obj_0_624989.jpg,"[50, 318, 306, 510]",0,0,0
ava_obj_0_624989.jpg,"[134, 39, 390, 231]",0,0,0
ava_obj_0_624989.jpg,"[42, 42, 383, 497]",1,1,0
ava_obj_0_624989.jpg,"[126, 42, 382, 383]",0,0,0
ava_obj_0_624989.jpg,"[42, 42, 298, 383]",1,2,0
ava_obj_0_624989.jpg,"[168, 84, 424, 425]",0,0,0
ava_obj_0_624989.jpg,"[59, 236, 315, 577]",0,0,0
ava_obj_0_624989.jpg,"[4, 134, 260, 475]",0,0,0
ava_obj_0_624989.jpg,"[0, 126, 427, 366]",1,2,0
ava_obj_0_624989.jpg,"[86, 84, 427, 276]",0,0,0
ava_obj_0_624989.jpg,"[0, 0, 427, 240]",0,0,0
ava_obj_0_624989.jpg,"[0, 84, 341, 276]",0,0,0
ava_obj_0_624989.jpg,"[133, 68, 389, 212]",1,1,0
ava_obj_0_624989.jpg,"[110, 222, 366, 366]",0,0,0
ava_obj_1_847864.jpg,"[0, 282, 476, 758]",1,2,0
ava_obj_1_847864.jpg,"[0, 141, 476, 617]",3,1,2
ava_obj_1_847864.jpg,"[47, 420, 427, 800]",0,0,0
ava_obj_1_847864.jpg,"[0, 282, 285, 567]",0,0,0
ava_obj_1_847864.jpg,"[141, 470, 426, 755]",0,0,0
ava_obj_1_847864.jpg,"[13, 370, 298, 655]",0,0,0
ava_obj_1_847864.jpg,"[0, 282, 476, 639]",1,2,0
ava_obj_1_847864.jpg,"[0, 188, 476, 545]",1,1,0
ava_obj_1_847864.jpg,"[96, 470, 476, 755]",0,0,0
ava_obj_1_847864.jpg,"[0, 376, 476, 733]",0,0,0
ava_obj_1_847864.jpg,"[46, 66, 331, 279]",0,0,0
ava_obj_1_847864.jpg,"[87, 37, 420, 286]",0,0,0
ava_obj_1_847864.jpg,"[94, 293, 474, 800]",1,2,0
ava_obj_1_847864.jpg,"[0, 141, 476, 775]",4,1,1
ava_obj_1_847864.jpg,"[141, 282, 426, 662]",0,0,0
ava_obj_1_847864.jpg,"[94, 235, 379, 615]",0,0,0
ava_obj_1_847864.jpg,"[124, 35, 409, 415]",0,0,0
ava_obj_1_847864.jpg,"[103, 359, 388, 739]",0,0,0
ava_obj_1_847864.jpg,"[0, 282, 476, 549]",2,2,3
ava_obj_1_847864.jpg,"[0, 470, 476, 737]",0,0,0
ava_obj_1_847864.jpg,"[0, 376, 476, 643]",0,0,0
ava_obj_1_847864.jpg,"[96, 235, 476, 449]",1,1,0
ava_obj_1_847864.jpg,"[140, 141, 425, 301]",0,0,0
ava_obj_1_847864.jpg,"[84, 35, 369, 195]",0,0,0
ava_obj_1_731651.jpg,"[0, 0, 624, 624]",0,0,0
ava_obj_1_731651.jpg,"[0, 221, 499, 720]",1,1,0
ava_obj_1_731651.jpg,"[0, 310, 374, 684]",3,2,2
ava_obj_1_731651.jpg,"[30, 79, 404, 453]",0,0,0
ava_obj_1_731651.jpg,"[108, 16, 544, 452]",0,0,0
ava_obj_1_731651.jpg,"[241, 26, 615, 400]",0,0,0
ava_obj_1_731651.jpg,"[0, 248, 624, 716]",2,1,3
ava_obj_1_731651.jpg,"[0, 124, 624, 592]",1,2,0
ava_obj_1_731651.jpg,"[0, 0, 624, 468]",0,0,0
ava_obj_1_731651.jpg,"[0, 434, 374, 714]",0,0,0
ava_obj_1_731651.jpg,"[106, 110, 480, 390]",0,0,0
ava_obj_1_731651.jpg,"[81, 162, 517, 489]",0,0,0
ava_obj_1_731651.jpg,"[0, 0, 540, 720]",4,2,1
ava_obj_1_731651.jpg,"[0, 248, 323, 680]",0,0,0
ava_obj_1_731651.jpg,"[186, 0, 618, 576]",0,0,0
ava_obj_1_731651.jpg,"[62, 288, 385, 720]",1,1,0
ava_obj_1_731651.jpg,"[239, 168, 613, 666]",0,0,0
ava_obj_1_731651.jpg,"[151, 203, 525, 701]",0,0,0
ava_obj_1_731651.jpg,"[0, 310, 624, 661]",1,2,0
ava_obj_1_731651.jpg,"[0, 434, 374, 644]",0,0,0
ava_obj_1_731651.jpg,"[0, 186, 624, 537]",1,1,0
ava_obj_1_731651.jpg,"[0, 496, 374, 706]",0,0,0
ava_obj_1_731651.jpg,"[0, 440, 499, 720]",0,0,0
ava_obj_1_731651.jpg,"[35, 12, 409, 222]",0,0,0
ava_obj_1_675959.jpg,"[53, 106, 477, 530]",3,1,2
ava_obj_1_675959.jpg,"[106, 106, 424, 424]",2,2,3
ava_obj_1_675959.jpg,"[53, 159, 371, 477]",0,0,0
ava_obj_1_675959.jpg,"[205, 134, 523, 452]",0,0,0
ava_obj_1_675959.jpg,"[152, 263, 470, 581]",0,0,0
ava_obj_1_675959.jpg,"[96, 330, 414, 648]",0,0,0
ava_obj_1_675959.jpg,"[0, 106, 531, 504]",1,2,0
ava_obj_1_675959.jpg,"[0, 212, 424, 530]",0,0,0
ava_obj_1_675959.jpg,"[53, 159, 371, 397]",0,0,0
ava_obj_1_675959.jpg,"[53, 53, 477, 371]",1,1,0
ava_obj_1_675959.jpg,"[106, 212, 424, 450]",0,0,0
ava_obj_1_675959.jpg,"[210, 453, 528, 691]",0,0,0
ava_obj_1_675959.jpg,"[53, 106, 477, 672]",4,1,1
ava_obj_1_675959.jpg,"[106, 106, 424, 530]",1,2,0
ava_obj_1_675959.jpg,"[0, 106, 318, 530]",0,0,0
ava_obj_1_675959.jpg,"[88, 224, 406, 648]",0,0,0
ava_obj_1_675959.jpg,"[10, 203, 328, 627]",0,0,0
ava_obj_1_675959.jpg,"[73, 2, 391, 426]",0,0,0
ava_obj_1_675959.jpg,"[0, 106, 531, 404]",1,1,0
ava_obj_1_675959.jpg,"[0, 212, 531, 510]",0,0,0
ava_obj_1_675959.jpg,"[53, 159, 371, 338]",1,2,0
ava_obj_1_675959.jpg,"[138, 226, 509, 434]",0,0,0
ava_obj_1_675959.jpg,"[158, 72, 476, 250]",0,0,0
ava_obj_1_675959.jpg,"[118, 359, 436, 537]",0,0,0
