name,bbox,score,order_pre,order_final
ava_obj_0_795586.jpg,"[204, 103, 612, 511]",3,2,2
ava_obj_0_795586.jpg,"[0, 0, 511, 511]",0,0,0
ava_obj_0_795586.jpg,"[306, 102, 612, 408]",0,0,0
ava_obj_0_795586.jpg,"[312, 0, 720, 408]",0,0,0
ava_obj_0_795586.jpg,"[164, 2, 596, 434]",1,1,0
ava_obj_0_795586.jpg,"[281, 64, 713, 496]",0,0,0
ava_obj_0_795586.jpg,"[175, 103, 720, 511]",2,2,3
ava_obj_0_795586.jpg,"[0, 0, 681, 511]",4,1,1
ava_obj_0_795586.jpg,"[204, 102, 612, 408]",0,0,0
ava_obj_0_795586.jpg,"[306, 205, 714, 511]",0,0,0
ava_obj_0_795586.jpg,"[175, 0, 720, 408]",0,0,0
ava_obj_0_795586.jpg,"[90, 54, 522, 378]",0,0,0
ava_obj_0_795586.jpg,"[306, 0, 689, 511]",0,0,0
ava_obj_0_795586.jpg,"[255, 103, 561, 511]",1,2,0
ava_obj_0_795586.jpg,"[153, 0, 536, 511]",1,1,0
ava_obj_0_795586.jpg,"[414, 103, 720, 511]",0,0,0
ava_obj_0_795586.jpg,"[51, 0, 434, 511]",0,0,0
ava_obj_0_795586.jpg,"[2, 22, 351, 487]",0,0,0
ava_obj_0_795586.jpg,"[0, 106, 720, 511]",1,1,0
ava_obj_0_795586.jpg,"[204, 102, 636, 345]",0,0,0
ava_obj_0_795586.jpg,"[51, 51, 627, 375]",1,2,0
ava_obj_0_795586.jpg,"[19, 115, 451, 358]",0,0,0
ava_obj_0_795586.jpg,"[194, 146, 698, 429]",0,0,0
ava_obj_0_795586.jpg,"[82, 5, 514, 248]",0,0,0
ava_obj_1_579375.jpg,"[96, 0, 577, 482]",3,1,2
ava_obj_1_579375.jpg,"[240, 48, 625, 433]",1,2,0
ava_obj_1_579375.jpg,"[192, 48, 481, 337]",0,0,0
ava_obj_1_579375.jpg,"[13, 38, 445, 470]",0,0,0
ava_obj_1_579375.jpg,"[285, 20, 717, 452]",0,0,0
ava_obj_1_579375.jpg,"[72, 2, 504, 434]",0,0,0
ava_obj_1_579375.jpg,"[0, 0, 642, 482]",2,1,3
ava_obj_1_579375.jpg,"[192, 0, 706, 385]",1,2,0
ava_obj_1_579375.jpg,"[144, 48, 529, 337]",0,0,0
ava_obj_1_579375.jpg,"[241, 101, 673, 425]",0,0,0
ava_obj_1_579375.jpg,"[67, 79, 499, 403]",0,0,0
ava_obj_1_579375.jpg,"[119, 140, 551, 464]",0,0,0
ava_obj_1_579375.jpg,"[192, 0, 553, 482]",4,1,1
ava_obj_1_579375.jpg,"[288, 48, 577, 433]",0,0,0
ava_obj_1_579375.jpg,"[96, 0, 457, 482]",1,2,0
ava_obj_1_579375.jpg,"[240, 48, 456, 337]",0,0,0
ava_obj_1_579375.jpg,"[332, 4, 681, 469]",0,0,0
ava_obj_1_579375.jpg,"[8, 4, 357, 469]",0,0,0
ava_obj_1_579375.jpg,"[48, 0, 624, 324]",1,1,0
ava_obj_1_579375.jpg,"[96, 96, 672, 420]",0,0,0
ava_obj_1_579375.jpg,"[96, 0, 528, 243]",1,2,0
ava_obj_1_579375.jpg,"[144, 96, 576, 339]",0,0,0
ava_obj_1_579375.jpg,"[253, 178, 685, 421]",0,0,0
ava_obj_1_579375.jpg,"[50, 188, 554, 471]",0,0,0
ava_obj_1_628674.jpg,"[0, 157, 553, 710]",1,2,0
ava_obj_1_628674.jpg,"[0, 0, 553, 553]",3,1,2
ava_obj_1_628674.jpg,"[0, 330, 331, 661]",0,0,0
ava_obj_1_628674.jpg,"[110, 220, 441, 551]",1,3,0
ava_obj_1_628674.jpg,"[180, 81, 511, 412]",0,0,0
ava_obj_1_628674.jpg,"[51, 79, 382, 410]",0,0,0
ava_obj_1_628674.jpg,"[0, 275, 553, 689]",0,0,0
ava_obj_1_628674.jpg,"[0, 165, 553, 579]",1,1,0
ava_obj_1_628674.jpg,"[0, 0, 553, 414]",0,0,0
ava_obj_1_628674.jpg,"[0, 379, 442, 710]",0,0,0
ava_obj_1_628674.jpg,"[110, 275, 441, 523]",0,0,0
ava_obj_1_628674.jpg,"[41, 225, 372, 473]",1,2,0
ava_obj_1_628674.jpg,"[0, 0, 532, 710]",4,2,1
ava_obj_1_628674.jpg,"[127, 0, 553, 568]",2,1,3
ava_obj_1_628674.jpg,"[220, 0, 539, 426]",0,0,0
ava_obj_1_628674.jpg,"[0, 275, 319, 701]",0,0,0
ava_obj_1_628674.jpg,"[27, 71, 358, 512]",0,0,0
ava_obj_1_628674.jpg,"[62, 168, 393, 609]",0,0,0
ava_obj_1_628674.jpg,"[0, 330, 553, 641]",0,0,0
ava_obj_1_628674.jpg,"[0, 220, 553, 531]",1,1,0
ava_obj_1_628674.jpg,"[0, 0, 553, 311]",0,0,0
ava_obj_1_628674.jpg,"[0, 110, 553, 421]",1,2,0
ava_obj_1_628674.jpg,"[114, 214, 501, 431]",0,0,0
ava_obj_1_628674.jpg,"[67, 320, 509, 568]",0,0,0
ava_obj_1_492627.jpg,"[160, 0, 640, 480]",2,1,3
ava_obj_1_492627.jpg,"[0, 0, 384, 384]",0,0,0
ava_obj_1_492627.jpg,"[0, 48, 288, 336]",0,0,0
ava_obj_1_492627.jpg,"[48, 0, 336, 288]",0,0,0
ava_obj_1_492627.jpg,"[63, 13, 511, 461]",0,0,0
ava_obj_1_492627.jpg,"[175, 41, 559, 425]",1,2,0
ava_obj_1_492627.jpg,"[0, 0, 640, 480]",4,2,1
ava_obj_1_492627.jpg,"[192, 0, 576, 288]",0,0,0
ava_obj_1_492627.jpg,"[0, 0, 384, 288]",0,0,0
ava_obj_1_492627.jpg,"[110, 116, 494, 404]",0,0,0
