name,bbox,score,order_pre,order_final
ava_obj_2_665953.jpg,"[0, 234, 350, 585]",0,0,0
ava_obj_2_665953.jpg,"[290, 234, 640, 585]",0,0,0
ava_obj_2_665953.jpg,"[56, 0, 640, 585]",3,2,2
ava_obj_2_665953.jpg,"[0, 116, 468, 584]",0,0,0
ava_obj_2_665953.jpg,"[116, 234, 466, 585]",1,1,0
ava_obj_2_665953.jpg,"[20, 3, 468, 451]",0,0,0
ava_obj_2_665953.jpg,"[0, 290, 384, 578]",0,0,0
ava_obj_2_665953.jpg,"[256, 297, 640, 585]",0,0,0
ava_obj_2_665953.jpg,"[58, 201, 570, 585]",2,1,3
ava_obj_2_665953.jpg,"[116, 297, 500, 585]",0,0,0
ava_obj_2_665953.jpg,"[14, 187, 462, 523]",4,2,1
ava_obj_2_665953.jpg,"[143, 8, 527, 296]",0,0,0
ava_obj_2_665953.jpg,"[0, 116, 351, 584]",1,2,0
ava_obj_2_665953.jpg,"[58, 234, 321, 585]",0,0,0
ava_obj_2_665953.jpg,"[202, 0, 640, 585]",0,0,0
ava_obj_2_665953.jpg,"[377, 234, 640, 585]",0,0,0
ava_obj_2_665953.jpg,"[290, 232, 553, 583]",0,0,0
ava_obj_2_665953.jpg,"[128, 45, 512, 557]",1,1,0
ava_obj_2_665953.jpg,"[256, 369, 640, 585]",0,0,0
ava_obj_2_665953.jpg,"[0, 348, 384, 564]",0,0,0
ava_obj_2_665953.jpg,"[0, 290, 512, 578]",1,2,0
ava_obj_2_665953.jpg,"[116, 348, 500, 564]",1,1,0
ava_obj_2_665953.jpg,"[3, 112, 387, 328]",0,0,0
ava_obj_2_665953.jpg,"[134, 67, 518, 283]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[0, 0, 384, 384]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[48, 48, 336, 336]",1,2,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[144, 0, 528, 384]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[96, 96, 384, 384]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[144, 48, 432, 336]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[228, 34, 612, 418]",1,1,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[0, 48, 384, 336]",4,2,1
coco_obj_1_COCO_train2014_000000197318.jpg,"[0, 0, 512, 384]",2,1,3
coco_obj_1_COCO_train2014_000000197318.jpg,"[96, 96, 480, 384]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[128, 96, 640, 480]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[168, 131, 552, 419]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[140, 45, 524, 333]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[96, 48, 384, 432]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[0, 0, 360, 480]",1,1,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[144, 0, 432, 384]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[96, 96, 311, 384]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[279, 12, 624, 472]",1,2,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[156, 19, 501, 479]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[0, 48, 512, 336]",1,1,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[0, 96, 384, 312]",3,2,2
coco_obj_1_COCO_train2014_000000197318.jpg,"[96, 96, 608, 384]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[96, 0, 608, 288]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[0, 120, 640, 480]",0,0,0
coco_obj_1_COCO_train2014_000000197318.jpg,"[12, 181, 396, 397]",0,0,0
ava_obj_3_854801.jpg,"[210, 142, 774, 706]",1,1,0
ava_obj_3_854801.jpg,"[0, 140, 564, 704]",0,0,0
ava_obj_3_854801.jpg,"[140, 210, 563, 633]",0,0,0
ava_obj_3_854801.jpg,"[210, 140, 633, 563]",0,0,0
ava_obj_3_854801.jpg,"[172, 34, 732, 594]",3,2,2
ava_obj_3_854801.jpg,"[2, 3, 482, 483]",0,0,0
ava_obj_3_854801.jpg,"[140, 210, 620, 570]",1,2,0
ava_obj_3_854801.jpg,"[140, 140, 780, 620]",4,1,1
ava_obj_3_854801.jpg,"[0, 0, 800, 600]",0,0,0
ava_obj_3_854801.jpg,"[265, 14, 745, 374]",0,0,0
ava_obj_3_854801.jpg,"[275, 317, 755, 677]",0,0,0
ava_obj_3_854801.jpg,"[39, 65, 519, 425]",0,0,0
ava_obj_3_854801.jpg,"[210, 210, 527, 633]",0,0,0
ava_obj_3_854801.jpg,"[210, 140, 633, 704]",2,1,3
ava_obj_3_854801.jpg,"[70, 0, 599, 706]",1,2,0
ava_obj_3_854801.jpg,"[280, 140, 597, 563]",0,0,0
ava_obj_3_854801.jpg,"[305, 49, 785, 689]",0,0,0
ava_obj_3_854801.jpg,"[2, 53, 482, 693]",0,0,0
ava_obj_3_854801.jpg,"[140, 210, 620, 480]",1,2,0
ava_obj_3_854801.jpg,"[70, 210, 710, 570]",1,1,0
ava_obj_3_854801.jpg,"[140, 280, 620, 550]",0,0,0
ava_obj_3_854801.jpg,"[160, 140, 800, 500]",0,0,0
ava_obj_3_854801.jpg,"[166, 37, 646, 307]",0,0,0
ava_obj_3_854801.jpg,"[247, 266, 727, 536]",0,0,0
ava_obj_1_4132.jpg,"[144, 0, 624, 480]",2,2,3
ava_obj_1_4132.jpg,"[48, 96, 432, 480]",1,1,0
ava_obj_1_4132.jpg,"[192, 192, 480, 480]",0,0,0
ava_obj_1_4132.jpg,"[96, 192, 384, 480]",0,0,0
ava_obj_1_4132.jpg,"[98, 4, 482, 388]",0,0,0
ava_obj_1_4132.jpg,"[214, 21, 598, 405]",0,0,0
