name,bbox,score,order_pre,order_final
coco_obj_0_COCO_train2014_000000236279.jpg,"[33, 0, 363, 331]",2,2,3
coco_obj_0_COCO_train2014_000000236279.jpg,"[132, 66, 396, 330]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[0, 33, 264, 297]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[165, 0, 495, 331]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[123, 2, 423, 302]",1,1,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[13, 12, 313, 312]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[0, 0, 441, 331]",4,2,1
coco_obj_0_COCO_train2014_000000236279.jpg,"[132, 33, 485, 297]",1,1,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[66, 33, 330, 231]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[132, 66, 396, 264]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[78, 91, 378, 316]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[5, 87, 305, 312]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[66, 0, 314, 331]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[0, 0, 248, 331]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[132, 0, 380, 331]",1,2,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[231, 0, 479, 331]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[99, 33, 247, 231]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[183, 5, 426, 329]",1,1,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[0, 50, 500, 331]",3,1,2
coco_obj_0_COCO_train2014_000000236279.jpg,"[66, 33, 466, 258]",1,2,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[66, 66, 366, 234]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[126, 40, 426, 208]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[40, 120, 340, 288]",0,0,0
coco_obj_0_COCO_train2014_000000236279.jpg,"[197, 86, 497, 254]",0,0,0
