name,bbox,score,order_pre,order_final
ava_obj_1_799655.jpg,"[46, 0, 512, 466]",4,1,1
ava_obj_1_799655.jpg,"[184, 46, 556, 418]",3,2,2
ava_obj_1_799655.jpg,"[0, 46, 372, 418]",0,0,0
ava_obj_1_799655.jpg,"[240, 29, 660, 449]",0,0,0
ava_obj_1_799655.jpg,"[111, 37, 531, 457]",0,0,0
ava_obj_1_799655.jpg,"[23, 17, 443, 437]",0,0,0
ava_obj_1_799655.jpg,"[0, 0, 621, 466]",1,2,0
ava_obj_1_799655.jpg,"[138, 92, 510, 371]",2,1,3
ava_obj_1_799655.jpg,"[138, 0, 510, 279]",0,0,0
ava_obj_1_799655.jpg,"[198, 82, 618, 397]",0,0,0
ava_obj_1_799655.jpg,"[14, 32, 434, 347]",0,0,0
ava_obj_1_799655.jpg,"[39, 132, 459, 447]",0,0,0
ava_obj_1_799655.jpg,"[138, 0, 487, 466]",1,2,0
ava_obj_1_799655.jpg,"[46, 0, 395, 466]",0,0,0
ava_obj_1_799655.jpg,"[230, 94, 509, 466]",1,1,0
ava_obj_1_799655.jpg,"[230, 0, 509, 372]",0,0,0
ava_obj_1_799655.jpg,"[230, 187, 439, 466]",0,0,0
ava_obj_1_799655.jpg,"[329, 9, 669, 462]",0,0,0
ava_obj_1_799655.jpg,"[0, 46, 700, 439]",0,0,0
ava_obj_1_799655.jpg,"[0, 0, 560, 315]",0,0,0
ava_obj_1_799655.jpg,"[0, 138, 560, 453]",1,2,0
ava_obj_1_799655.jpg,"[92, 138, 512, 374]",1,1,0
ava_obj_1_799655.jpg,"[52, 54, 472, 290]",0,0,0
ava_obj_1_799655.jpg,"[18, 186, 438, 422]",0,0,0
ava_obj_0_950709.jpg,"[155, 0, 615, 461]",0,0,0
ava_obj_0_950709.jpg,"[138, 92, 506, 460]",0,0,0
ava_obj_0_950709.jpg,"[46, 0, 414, 368]",0,0,0
ava_obj_0_950709.jpg,"[24, 87, 393, 456]",1,2,0
ava_obj_0_950709.jpg,"[164, 3, 533, 372]",0,0,0
ava_obj_0_950709.jpg,"[67, 11, 497, 441]",4,1,1
ava_obj_0_950709.jpg,"[0, 0, 614, 461]",2,1,3
ava_obj_0_950709.jpg,"[138, 92, 506, 368]",1,2,0
ava_obj_0_950709.jpg,"[247, 92, 615, 368]",0,0,0
ava_obj_0_950709.jpg,"[0, 46, 368, 322]",0,0,0
ava_obj_0_950709.jpg,"[212, 30, 581, 306]",0,0,0
ava_obj_0_950709.jpg,"[239, 175, 608, 451]",0,0,0
ava_obj_0_950709.jpg,"[138, 0, 483, 461]",3,2,2
ava_obj_0_950709.jpg,"[230, 0, 575, 461]",1,1,0
ava_obj_0_950709.jpg,"[46, 0, 391, 461]",0,0,0
ava_obj_0_950709.jpg,"[184, 92, 391, 368]",0,0,0
ava_obj_0_950709.jpg,"[0, 13, 332, 455]",0,0,0
ava_obj_0_950709.jpg,"[192, 17, 524, 459]",0,0,0
ava_obj_0_950709.jpg,"[0, 46, 615, 391]",1,1,0
ava_obj_0_950709.jpg,"[123, 138, 615, 414]",0,0,0
ava_obj_0_950709.jpg,"[46, 0, 538, 276]",0,0,0
ava_obj_0_950709.jpg,"[228, 135, 597, 342]",1,2,0
ava_obj_0_950709.jpg,"[172, 166, 541, 373]",0,0,0
ava_obj_0_950709.jpg,"[21, 148, 390, 355]",0,0,0
ava_obj_2_929316.jpg,"[370, 0, 746, 377]",1,2,0
ava_obj_2_929316.jpg,"[444, 74, 670, 300]",4,1,1
ava_obj_2_929316.jpg,"[12, 15, 361, 364]",0,0,0
ava_obj_2_929316.jpg,"[122, 8, 471, 357]",0,0,0
ava_obj_2_929316.jpg,"[303, 12, 652, 361]",0,0,0
ava_obj_2_929316.jpg,"[214, 14, 563, 363]",0,0,0
ava_obj_2_929316.jpg,"[296, 0, 798, 377]",1,1,0
ava_obj_2_929316.jpg,"[407, 74, 708, 300]",2,2,3
ava_obj_2_929316.jpg,"[82, 12, 562, 372]",0,0,0
ava_obj_2_929316.jpg,"[211, 1, 691, 361]",0,0,0
ava_obj_2_929316.jpg,"[0, 4, 480, 364]",0,0,0
ava_obj_2_929316.jpg,"[160, 16, 640, 376]",0,0,0
ava_obj_2_929316.jpg,"[444, 0, 726, 377]",0,0,0
ava_obj_2_929316.jpg,"[370, 0, 652, 377]",1,2,0
ava_obj_2_929316.jpg,"[481, 37, 650, 263]",1,1,0
ava_obj_2_929316.jpg,"[518, 0, 800, 377]",0,0,0
ava_obj_2_929316.jpg,"[79, 7, 334, 347]",0,0,0
ava_obj_2_929316.jpg,"[166, 33, 421, 373]",0,0,0
ava_obj_2_929316.jpg,"[130, 0, 800, 377]",0,0,0
ava_obj_2_929316.jpg,"[333, 74, 735, 300]",1,1,0
ava_obj_2_929316.jpg,"[398, 37, 800, 263]",3,2,2
ava_obj_2_929316.jpg,"[333, 0, 735, 226]",0,0,0
ava_obj_2_929316.jpg,"[147, 54, 627, 324]",0,0,0
ava_obj_2_929316.jpg,"[6, 29, 486, 299]",0,0,0
ava_obj_1_678554.jpg,"[168, 0, 594, 426]",0,0,0
ava_obj_1_678554.jpg,"[252, 0, 507, 255]",0,0,0
ava_obj_1_678554.jpg,"[294, 42, 549, 297]",1,2,0
ava_obj_1_678554.jpg,"[98, 22, 482, 406]",0,0,0
ava_obj_1_678554.jpg,"[12, 9, 396, 393]",0,0,0
ava_obj_1_678554.jpg,"[252, 31, 636, 415]",3,1,2
ava_obj_1_678554.jpg,"[126, 42, 580, 382]",1,2,0
ava_obj_1_678554.jpg,"[210, 0, 550, 255]",0,0,0
ava_obj_1_678554.jpg,"[252, 42, 592, 297]",4,1,1
ava_obj_1_678554.jpg,"[45, 82, 429, 370]",0,0,0
ava_obj_1_678554.jpg,"[204, 120, 588, 408]",0,0,0
ava_obj_1_678554.jpg,"[99, 122, 483, 410]",0,0,0
ava_obj_1_678554.jpg,"[252, 42, 507, 382]",0,0,0
ava_obj_1_678554.jpg,"[294, 0, 485, 255]",1,1,0
