name,bbox,score,order_pre,order_final
ava_obj_0_521902.jpg,"[0, 42, 427, 469]",1,4,0
ava_obj_0_521902.jpg,"[0, 168, 256, 424]",3,1,2
ava_obj_0_521902.jpg,"[0, 168, 427, 595]",1,2,0
ava_obj_0_521902.jpg,"[0, 42, 256, 298]",0,0,0
ava_obj_0_521902.jpg,"[95, 96, 351, 352]",0,0,0
ava_obj_0_521902.jpg,"[170, 95, 426, 351]",0,0,0
ava_obj_0_521902.jpg,"[0, 168, 341, 424]",1,3,0
ava_obj_0_521902.jpg,"[0, 126, 256, 318]",0,0,0
ava_obj_0_521902.jpg,"[0, 42, 341, 298]",0,0,0
ava_obj_0_521902.jpg,"[0, 210, 256, 402]",1,1,0
ava_obj_0_521902.jpg,"[56, 176, 312, 368]",4,2,1
ava_obj_0_521902.jpg,"[47, 77, 388, 332]",0,0,0
ava_obj_0_521902.jpg,"[0, 84, 256, 425]",1,3,0
ava_obj_0_521902.jpg,"[0, 71, 427, 640]",1,2,0
ava_obj_0_521902.jpg,"[42, 0, 383, 455]",1,1,0
ava_obj_0_521902.jpg,"[84, 42, 340, 383]",0,0,0
ava_obj_0_521902.jpg,"[74, 250, 330, 591]",2,4,3
ava_obj_0_521902.jpg,"[100, 187, 356, 528]",0,0,0
ava_obj_0_521902.jpg,"[0, 126, 427, 366]",1,2,0
ava_obj_0_521902.jpg,"[0, 126, 256, 270]",0,0,0
ava_obj_0_521902.jpg,"[0, 210, 427, 450]",1,1,0
ava_obj_0_521902.jpg,"[0, 84, 341, 276]",0,0,0
ava_obj_0_521902.jpg,"[0, 168, 256, 312]",0,0,0
ava_obj_0_521902.jpg,"[30, 380, 328, 547]",1,3,0
ava_obj_0_490295.jpg,"[336, 172, 592, 428]",2,1,3
ava_obj_0_490295.jpg,"[84, 0, 512, 428]",0,0,0
ava_obj_0_490295.jpg,"[252, 84, 594, 426]",0,0,0
ava_obj_0_490295.jpg,"[0, 84, 342, 426]",0,0,0
ava_obj_0_490295.jpg,"[252, 168, 508, 424]",1,2,0
ava_obj_0_490295.jpg,"[18, 6, 402, 390]",0,0,0
ava_obj_0_490295.jpg,"[84, 84, 540, 426]",1,2,0
ava_obj_0_490295.jpg,"[252, 168, 594, 424]",4,1,1
ava_obj_0_490295.jpg,"[0, 168, 342, 424]",0,0,0
ava_obj_0_490295.jpg,"[186, 31, 570, 319]",0,0,0
ava_obj_0_490295.jpg,"[65, 64, 449, 352]",0,0,0
ava_obj_0_490295.jpg,"[102, 5, 486, 293]",0,0,0
ava_obj_0_490295.jpg,"[210, 0, 531, 428]",0,0,0
ava_obj_0_490295.jpg,"[319, 0, 640, 428]",1,2,0
ava_obj_0_490295.jpg,"[0, 0, 321, 428]",0,0,0
ava_obj_0_490295.jpg,"[294, 84, 550, 426]",0,0,0
ava_obj_0_490295.jpg,"[336, 168, 528, 424]",1,1,0
ava_obj_0_490295.jpg,"[115, 1, 426, 415]",0,0,0
ava_obj_0_490295.jpg,"[128, 126, 640, 414]",0,0,0
ava_obj_0_490295.jpg,"[0, 140, 512, 428]",0,0,0
ava_obj_0_490295.jpg,"[252, 212, 636, 428]",3,1,2
ava_obj_0_490295.jpg,"[0, 210, 384, 426]",1,2,0
ava_obj_0_490295.jpg,"[126, 168, 510, 384]",0,0,0
ava_obj_0_490295.jpg,"[112, 23, 624, 311]",0,0,0
ava_obj_0_354535.jpg,"[84, 0, 424, 340]",0,0,0
ava_obj_0_354535.jpg,"[252, 0, 507, 255]",1,1,0
ava_obj_0_354535.jpg,"[84, 0, 339, 255]",0,0,0
ava_obj_0_354535.jpg,"[168, 0, 423, 255]",1,2,0
ava_obj_0_354535.jpg,"[252, 0, 592, 340]",0,0,0
ava_obj_0_354535.jpg,"[153, 5, 537, 389]",0,0,0
ava_obj_0_354535.jpg,"[84, 0, 424, 255]",3,2,2
ava_obj_0_354535.jpg,"[42, 0, 496, 340]",0,0,0
ava_obj_0_354535.jpg,"[252, 0, 592, 255]",4,1,1
ava_obj_0_354535.jpg,"[186, 0, 640, 340]",0,0,0
ava_obj_0_354535.jpg,"[168, 42, 508, 297]",0,0,0
ava_obj_0_354535.jpg,"[201, 97, 585, 385]",0,0,0
ava_obj_0_354535.jpg,"[84, 0, 275, 255]",0,0,0
ava_obj_0_354535.jpg,"[84, 0, 339, 340]",1,2,0
ava_obj_0_354535.jpg,"[252, 0, 443, 255]",2,1,3
ava_obj_0_354535.jpg,"[336, 0, 527, 255]",0,0,0
ava_obj_0_354535.jpg,"[294, 0, 549, 340]",0,0,0
ava_obj_0_354535.jpg,"[144, 6, 455, 420]",0,0,0
ava_obj_0_354535.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_354535.jpg,"[42, 42, 426, 258]",1,2,0
ava_obj_0_354535.jpg,"[0, 66, 640, 426]",0,0,0
ava_obj_0_354535.jpg,"[126, 84, 510, 300]",1,1,0
ava_obj_0_354535.jpg,"[126, 42, 638, 330]",0,0,0
ava_obj_0_354535.jpg,"[174, 132, 558, 348]",0,0,0
ava_obj_0_482324.jpg,"[156, 0, 573, 417]",0,0,0
ava_obj_0_482324.jpg,"[312, 52, 625, 365]",1,1,0
ava_obj_0_482324.jpg,"[0, 0, 522, 522]",0,0,0
ava_obj_0_482324.jpg,"[156, 105, 573, 522]",0,0,0
ava_obj_0_482324.jpg,"[260, 0, 573, 313]",1,2,0
ava_obj_0_482324.jpg,"[29, 121, 413, 505]",1,3,0
ava_obj_0_482324.jpg,"[104, 0, 616, 384]",0,0,0
ava_obj_0_482324.jpg,"[104, 104, 616, 488]",0,0,0
ava_obj_0_482324.jpg,"[208, 104, 592, 392]",1,1,0
ava_obj_0_482324.jpg,"[156, 0, 540, 288]",1,2,0
ava_obj_0_482324.jpg,"[208, 234, 592, 522]",0,0,0
ava_obj_0_482324.jpg,"[63, 67, 447, 355]",1,3,0
ava_obj_0_482324.jpg,"[208, 0, 599, 522]",0,0,0
ava_obj_0_482324.jpg,"[312, 0, 625, 417]",1,3,0
ava_obj_0_482324.jpg,"[364, 52, 598, 365]",2,1,3
ava_obj_0_482324.jpg,"[156, 52, 469, 469]",0,0,0
ava_obj_0_482324.jpg,"[312, 0, 546, 313]",3,2,2
ava_obj_0_482324.jpg,"[12, 8, 396, 520]",0,0,0
ava_obj_0_482324.jpg,"[0, 0, 640, 359]",0,0,0
ava_obj_0_482324.jpg,"[208, 0, 592, 215]",4,3,1
ava_obj_0_482324.jpg,"[0, 104, 640, 463]",0,0,0
ava_obj_0_482324.jpg,"[128, 234, 640, 522]",0,0,0
ava_obj_0_482324.jpg,"[208, 260, 592, 475]",1,2,0
ava_obj_0_482324.jpg,"[166, 185, 550, 401]",1,1,0
ava_obj_0_501055.jpg,"[132, 0, 634, 503]",1,4,0
ava_obj_0_501055.jpg,"[0, 0, 502, 503]",1,3,0
ava_obj_0_501055.jpg,"[200, 202, 501, 503]",1,5,0
ava_obj_0_501055.jpg,"[163, 61, 543, 441]",1,2,0
ava_obj_0_501055.jpg,"[217, 111, 597, 491]",1,1,0
ava_obj_0_501055.jpg,"[16, 115, 396, 495]",0,0,0
ava_obj_0_501055.jpg,"[127, 123, 634, 503]",1,5,0
ava_obj_0_501055.jpg,"[0, 0, 634, 475]",1,2,0
ava_obj_0_501055.jpg,"[100, 218, 480, 503]",1,3,0
ava_obj_0_501055.jpg,"[0, 123, 507, 503]",1,4,0
ava_obj_0_501055.jpg,"[200, 218, 580, 503]",4,1,1
ava_obj_0_501055.jpg,"[226, 70, 606, 355]",0,0,0
ava_obj_0_501055.jpg,"[200, 0, 577, 503]",3,5,2
ava_obj_0_501055.jpg,"[0, 0, 377, 503]",0,0,0
ava_obj_0_501055.jpg,"[100, 0, 477, 503]",1,1,0
ava_obj_0_501055.jpg,"[291, 2, 633, 458]",1,3,0
ava_obj_0_501055.jpg,"[170, 17, 512, 473]",1,2,0
ava_obj_0_501055.jpg,"[66, 17, 408, 473]",1,4,0
ava_obj_0_501055.jpg,"[0, 147, 634, 503]",1,3,0
ava_obj_0_501055.jpg,"[100, 100, 607, 385]",1,2,0
ava_obj_0_501055.jpg,"[100, 250, 480, 463]",1,5,0
ava_obj_0_501055.jpg,"[0, 0, 634, 356]",1,4,0
ava_obj_0_501055.jpg,"[166, 79, 546, 292]",0,0,0
ava_obj_0_501055.jpg,"[47, 159, 490, 408]",2,1,3
