name,bbox,score,order_pre,order_final
ava_obj_0_665148.jpg,"[54, 108, 486, 540]",3,3,2
ava_obj_0_665148.jpg,"[216, 270, 540, 593]",0,0,0
ava_obj_0_665148.jpg,"[108, 216, 540, 648]",1,2,0
ava_obj_0_665148.jpg,"[162, 0, 486, 323]",0,0,0
ava_obj_0_665148.jpg,"[52, 36, 430, 414]",1,4,0
ava_obj_0_665148.jpg,"[141, 51, 519, 429]",2,1,3
ava_obj_0_665148.jpg,"[108, 0, 540, 324]",0,0,0
ava_obj_0_665148.jpg,"[0, 108, 540, 513]",1,3,0
ava_obj_0_665148.jpg,"[108, 216, 540, 540]",1,2,0
ava_obj_0_665148.jpg,"[108, 324, 540, 648]",0,0,0
ava_obj_0_665148.jpg,"[82, 428, 460, 711]",1,1,0
ava_obj_0_665148.jpg,"[66, 159, 444, 442]",1,4,0
ava_obj_0_665148.jpg,"[216, 216, 540, 648]",0,0,0
ava_obj_0_665148.jpg,"[54, 0, 486, 576]",4,2,1
ava_obj_0_665148.jpg,"[216, 0, 540, 432]",0,0,0
ava_obj_0_665148.jpg,"[108, 0, 432, 432]",0,0,0
ava_obj_0_665148.jpg,"[0, 288, 324, 720]",1,3,0
ava_obj_0_665148.jpg,"[65, 182, 443, 686]",1,1,0
ava_obj_0_665148.jpg,"[0, 54, 540, 357]",1,3,0
ava_obj_0_665148.jpg,"[0, 216, 540, 519]",1,1,0
ava_obj_0_665148.jpg,"[108, 0, 540, 243]",1,4,0
ava_obj_0_665148.jpg,"[0, 324, 540, 627]",1,2,0
ava_obj_0_665148.jpg,"[151, 304, 475, 486]",0,0,0
ava_obj_0_665148.jpg,"[14, 272, 392, 484]",1,5,0
ava_obj_0_602802.jpg,"[0, 120, 364, 484]",0,0,0
ava_obj_0_602802.jpg,"[0, 0, 364, 364]",0,0,0
ava_obj_0_602802.jpg,"[60, 60, 424, 424]",1,2,0
ava_obj_0_602802.jpg,"[60, 240, 424, 604]",0,0,0
ava_obj_0_602802.jpg,"[0, 122, 486, 608]",1,1,0
ava_obj_0_602802.jpg,"[74, 55, 586, 567]",4,3,1
ava_obj_0_602802.jpg,"[0, 120, 384, 408]",0,0,0
ava_obj_0_602802.jpg,"[0, 120, 512, 504]",1,3,0
ava_obj_0_602802.jpg,"[60, 180, 444, 468]",0,0,0
ava_obj_0_602802.jpg,"[60, 60, 444, 348]",1,2,0
ava_obj_0_602802.jpg,"[120, 120, 504, 408]",2,1,3
ava_obj_0_602802.jpg,"[199, 210, 583, 498]",0,0,0
ava_obj_0_602802.jpg,"[60, 0, 333, 364]",0,0,0
ava_obj_0_602802.jpg,"[0, 60, 273, 424]",0,0,0
ava_obj_0_602802.jpg,"[0, 0, 364, 486]",0,0,0
ava_obj_0_602802.jpg,"[120, 60, 393, 424]",1,2,0
ava_obj_0_602802.jpg,"[0, 122, 364, 608]",0,0,0
ava_obj_0_602802.jpg,"[132, 32, 516, 544]",3,1,2
ava_obj_0_602802.jpg,"[0, 180, 384, 396]",0,0,0
ava_obj_0_602802.jpg,"[0, 120, 512, 408]",1,1,0
ava_obj_0_602802.jpg,"[0, 240, 512, 528]",0,0,0
ava_obj_0_602802.jpg,"[0, 320, 512, 608]",0,0,0
ava_obj_0_602802.jpg,"[97, 174, 545, 426]",1,2,0
ava_obj_0_602802.jpg,"[121, 237, 505, 453]",0,0,0
ava_obj_0_604832.jpg,"[42, 0, 468, 427]",0,0,0
ava_obj_0_604832.jpg,"[384, 0, 640, 256]",3,1,2
ava_obj_0_604832.jpg,"[168, 0, 594, 427]",1,3,0
ava_obj_0_604832.jpg,"[294, 0, 635, 341]",1,2,0
ava_obj_0_604832.jpg,"[126, 0, 382, 256]",0,0,0
ava_obj_0_604832.jpg,"[11, 16, 395, 400]",0,0,0
ava_obj_0_604832.jpg,"[42, 0, 611, 427]",1,2,0
ava_obj_0_604832.jpg,"[294, 0, 635, 256]",1,3,0
ava_obj_0_604832.jpg,"[126, 0, 467, 256]",0,0,0
ava_obj_0_604832.jpg,"[185, 0, 640, 341]",1,1,0
ava_obj_0_604832.jpg,"[0, 0, 455, 341]",0,0,0
ava_obj_0_604832.jpg,"[9, 106, 393, 394]",0,0,0
ava_obj_0_604832.jpg,"[42, 0, 362, 427]",0,0,0
ava_obj_0_604832.jpg,"[448, 0, 640, 256]",1,2,0
ava_obj_0_604832.jpg,"[384, 0, 640, 341]",2,3,3
ava_obj_0_604832.jpg,"[168, 0, 488, 427]",0,0,0
ava_obj_0_604832.jpg,"[252, 0, 572, 427]",0,0,0
ava_obj_0_604832.jpg,"[322, 2, 633, 416]",1,1,0
ava_obj_0_604832.jpg,"[126, 0, 638, 288]",1,1,0
ava_obj_0_604832.jpg,"[0, 67, 640, 427]",0,0,0
ava_obj_0_604832.jpg,"[256, 0, 640, 216]",4,2,1
ava_obj_0_604832.jpg,"[42, 0, 426, 216]",0,0,0
ava_obj_0_604832.jpg,"[42, 42, 554, 330]",0,0,0
ava_obj_0_604832.jpg,"[107, 68, 491, 284]",0,0,0
ava_obj_0_539660.jpg,"[47, 235, 425, 613]",0,0,0
ava_obj_0_539660.jpg,"[0, 47, 473, 520]",1,4,0
ava_obj_0_539660.jpg,"[47, 235, 330, 518]",0,0,0
ava_obj_0_539660.jpg,"[42, 32, 420, 410]",1,1,0
ava_obj_0_539660.jpg,"[133, 126, 416, 409]",1,2,0
ava_obj_0_539660.jpg,"[120, 30, 403, 313]",1,3,0
ava_obj_0_539660.jpg,"[47, 282, 425, 565]",0,0,0
ava_obj_0_539660.jpg,"[0, 141, 473, 495]",3,1,2
ava_obj_0_539660.jpg,"[188, 282, 471, 494]",0,0,0
ava_obj_0_539660.jpg,"[0, 329, 283, 541]",0,0,0
ava_obj_0_539660.jpg,"[127, 132, 410, 344]",2,2,3
ava_obj_0_539660.jpg,"[56, 373, 339, 585]",0,0,0
ava_obj_0_539660.jpg,"[47, 136, 425, 640]",0,0,0
ava_obj_0_539660.jpg,"[47, 188, 330, 566]",1,1,0
ava_obj_0_539660.jpg,"[94, 235, 377, 613]",0,0,0
ava_obj_0_539660.jpg,"[141, 141, 424, 519]",0,0,0
ava_obj_0_539660.jpg,"[0, 235, 283, 613]",0,0,0
ava_obj_0_539660.jpg,"[153, 46, 436, 423]",1,2,0
ava_obj_0_539660.jpg,"[0, 282, 473, 548]",0,0,0
ava_obj_0_539660.jpg,"[47, 376, 425, 588]",0,0,0
ava_obj_0_539660.jpg,"[188, 329, 471, 488]",0,0,0
ava_obj_0_539660.jpg,"[47, 329, 330, 488]",0,0,0
ava_obj_0_539660.jpg,"[45, 427, 328, 586]",4,2,1
ava_obj_0_539660.jpg,"[67, 74, 350, 233]",1,1,0
ava_obj_0_496064.jpg,"[86, 84, 427, 425]",1,1,0
ava_obj_0_496064.jpg,"[84, 0, 425, 341]",3,2,2
ava_obj_0_496064.jpg,"[168, 84, 424, 340]",0,0,0
ava_obj_0_496064.jpg,"[126, 126, 382, 382]",0,0,0
ava_obj_0_496064.jpg,"[0, 84, 341, 425]",1,3,0
ava_obj_0_496064.jpg,"[49, 208, 347, 506]",0,0,0
ava_obj_0_496064.jpg,"[86, 126, 427, 382]",0,0,0
ava_obj_0_496064.jpg,"[0, 42, 427, 362]",2,2,3
ava_obj_0_496064.jpg,"[168, 126, 424, 318]",0,0,0
ava_obj_0_496064.jpg,"[0, 126, 341, 382]",0,0,0
ava_obj_0_496064.jpg,"[42, 0, 383, 255]",1,1,0
ava_obj_0_496064.jpg,"[93, 96, 349, 288]",0,0,0
ava_obj_0_496064.jpg,"[84, 0, 425, 455]",4,2,1
ava_obj_0_496064.jpg,"[0, 42, 427, 611]",1,1,0
ava_obj_0_496064.jpg,"[84, 0, 340, 341]",1,3,0
ava_obj_0_496064.jpg,"[126, 84, 382, 425]",0,0,0
