name,bbox,score,order_pre,order_final
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 0, 450, 450]",3,1,2
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 45, 270, 315]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[45, 0, 315, 270]",2,2,3
coco_obj_2_COCO_train2014_000000299732.jpg,"[180, 0, 450, 270]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[176, 113, 446, 383]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[9, 211, 369, 571]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 0, 450, 337]",1,1,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 90, 450, 427]",1,2,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[180, 0, 450, 202]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 45, 270, 247]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[64, 242, 379, 478]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[56, 76, 371, 312]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 0, 450, 600]",4,1,1
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 0, 270, 360]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[180, 0, 450, 360]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[90, 0, 360, 360]",1,2,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[85, 108, 400, 528]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[158, 185, 428, 545]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 0, 450, 253]",1,1,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 90, 270, 241]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[0, 90, 360, 292]",1,2,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[4, 330, 364, 532]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[171, 159, 441, 310]",0,0,0
coco_obj_2_COCO_train2014_000000299732.jpg,"[57, 386, 372, 563]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[0, 48, 480, 528]",3,1,2
coco_obj_0_COCO_train2014_000000480798.jpg,"[0, 256, 384, 640]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[48, 0, 432, 384]",1,2,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[96, 0, 384, 288]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[10, 147, 346, 483]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[147, 108, 435, 396]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[0, 352, 384, 640]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[96, 0, 384, 215]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[48, 0, 432, 288]",1,2,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[96, 425, 384, 640]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[0, 192, 480, 552]",2,1,3
coco_obj_0_COCO_train2014_000000480798.jpg,"[101, 275, 437, 527]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[0, 0, 480, 640]",4,1,1
coco_obj_0_COCO_train2014_000000480798.jpg,"[96, 0, 384, 384]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[0, 0, 288, 384]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[46, 139, 382, 587]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[149, 43, 437, 427]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[149, 195, 437, 579]",1,2,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[0, 424, 384, 640]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[96, 0, 384, 162]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[48, 0, 432, 216]",1,1,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[96, 478, 384, 640]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[53, 272, 341, 434]",0,0,0
coco_obj_0_COCO_train2014_000000480798.jpg,"[73, 271, 457, 487]",1,2,0
ava_obj_3_854801.jpg,"[210, 142, 774, 706]",0,0,0
ava_obj_3_854801.jpg,"[0, 140, 564, 704]",1,2,0
ava_obj_3_854801.jpg,"[140, 210, 563, 633]",3,1,2
ava_obj_3_854801.jpg,"[210, 140, 633, 563]",0,0,0
ava_obj_3_854801.jpg,"[172, 34, 732, 594]",0,0,0
ava_obj_3_854801.jpg,"[2, 3, 482, 483]",0,0,0
ava_obj_3_854801.jpg,"[140, 210, 620, 570]",2,3,3
ava_obj_3_854801.jpg,"[140, 140, 780, 620]",0,0,0
ava_obj_3_854801.jpg,"[0, 0, 800, 600]",4,1,1
