name,bbox,score,order_pre,order_final
ava_obj_0_3530.jpg,"[160, 0, 640, 480]",1,1,0
ava_obj_0_3530.jpg,"[352, 48, 640, 336]",0,0,0
ava_obj_0_3530.jpg,"[144, 48, 528, 432]",0,0,0
ava_obj_0_3530.jpg,"[41, 39, 425, 423]",0,0,0
ava_obj_0_3530.jpg,"[255, 5, 639, 389]",0,0,0
ava_obj_0_3530.jpg,"[225, 85, 609, 469]",3,2,2
ava_obj_0_3530.jpg,"[0, 0, 640, 480]",1,1,0
ava_obj_0_3530.jpg,"[240, 48, 624, 336]",0,0,0
ava_obj_0_3530.jpg,"[192, 144, 576, 432]",0,0,0
ava_obj_0_3530.jpg,"[91, 124, 475, 412]",0,0,0
ava_obj_0_3530.jpg,"[16, 158, 400, 446]",4,2,1
ava_obj_0_3530.jpg,"[134, 71, 518, 359]",0,0,0
ava_obj_0_3530.jpg,"[280, 0, 640, 480]",1,2,0
ava_obj_0_3530.jpg,"[425, 0, 640, 288]",0,0,0
ava_obj_0_3530.jpg,"[384, 48, 599, 336]",0,0,0
ava_obj_0_3530.jpg,"[28, 0, 373, 460]",1,1,0
ava_obj_0_3530.jpg,"[155, 12, 500, 472]",0,0,0
ava_obj_0_3530.jpg,"[93, 2, 438, 462]",0,0,0
ava_obj_0_3530.jpg,"[0, 48, 640, 408]",1,1,0
ava_obj_0_3530.jpg,"[128, 144, 640, 432]",0,0,0
ava_obj_0_3530.jpg,"[96, 0, 608, 288]",2,2,3
ava_obj_0_3530.jpg,"[48, 192, 560, 480]",0,0,0
ava_obj_0_3530.jpg,"[169, 148, 553, 364]",0,0,0
ava_obj_0_3530.jpg,"[94, 22, 478, 238]",0,0,0
ava_obj_0_5688.jpg,"[214, 0, 640, 427]",0,0,0
ava_obj_0_5688.jpg,"[384, 0, 640, 256]",4,1,1
ava_obj_0_5688.jpg,"[168, 84, 509, 425]",0,0,0
ava_obj_0_5688.jpg,"[42, 0, 468, 427]",0,0,0
ava_obj_0_5688.jpg,"[378, 126, 634, 382]",1,2,0
ava_obj_0_5688.jpg,"[153, 3, 537, 387]",0,0,0
ava_obj_0_5688.jpg,"[71, 0, 640, 427]",0,0,0
ava_obj_0_5688.jpg,"[299, 126, 640, 382]",1,1,0
ava_obj_0_5688.jpg,"[252, 168, 593, 424]",0,0,0
ava_obj_0_5688.jpg,"[294, 0, 635, 256]",2,2,3
ava_obj_0_5688.jpg,"[252, 84, 593, 340]",0,0,0
ava_obj_0_5688.jpg,"[68, 87, 452, 375]",0,0,0
ava_obj_0_5688.jpg,"[320, 0, 640, 427]",1,2,0
ava_obj_0_5688.jpg,"[448, 0, 640, 256]",3,1,2
ava_obj_0_5688.jpg,"[294, 84, 550, 425]",0,0,0
ava_obj_0_5688.jpg,"[168, 0, 488, 427]",0,0,0
ava_obj_0_5688.jpg,"[28, 12, 339, 426]",0,0,0
ava_obj_0_5688.jpg,"[92, 5, 403, 419]",0,0,0
ava_obj_0_5688.jpg,"[0, 67, 640, 427]",0,0,0
ava_obj_0_5688.jpg,"[252, 210, 636, 426]",0,0,0
ava_obj_0_5688.jpg,"[128, 42, 640, 330]",1,2,0
ava_obj_0_5688.jpg,"[252, 126, 636, 342]",0,0,0
ava_obj_0_5688.jpg,"[53, 98, 437, 314]",0,0,0
ava_obj_0_5688.jpg,"[247, 11, 631, 227]",1,1,0
ava_obj_0_490102.jpg,"[0, 48, 384, 432]",0,0,0
ava_obj_0_490102.jpg,"[256, 96, 640, 480]",1,2,0
ava_obj_0_490102.jpg,"[48, 0, 528, 480]",0,0,0
