name,bbox,score,order_pre,order_final
ava_obj_1_599330.jpg,"[84, 168, 340, 424]",0,0,0
ava_obj_1_599330.jpg,"[0, 0, 428, 428]",0,0,0
ava_obj_1_599330.jpg,"[0, 168, 428, 596]",4,2,1
ava_obj_1_599330.jpg,"[0, 294, 342, 636]",0,0,0
ava_obj_1_599330.jpg,"[0, 126, 342, 468]",0,0,0
ava_obj_1_599330.jpg,"[122, 239, 378, 495]",1,1,0
ava_obj_1_599330.jpg,"[0, 168, 342, 424]",1,2,0
ava_obj_1_599330.jpg,"[84, 210, 340, 402]",1,1,0
ava_obj_1_599330.jpg,"[0, 294, 428, 615]",0,0,0
ava_obj_1_599330.jpg,"[0, 384, 342, 640]",0,0,0
ava_obj_1_599330.jpg,"[42, 126, 384, 382]",0,0,0
ava_obj_1_599330.jpg,"[151, 368, 407, 560]",0,0,0
ava_obj_1_599330.jpg,"[0, 168, 342, 624]",0,0,0
ava_obj_1_599330.jpg,"[42, 0, 384, 456]",0,0,0
ava_obj_1_599330.jpg,"[42, 298, 298, 640]",0,0,0
ava_obj_1_599330.jpg,"[84, 168, 340, 510]",2,2,3
ava_obj_1_599330.jpg,"[125, 9, 381, 350]",0,0,0
ava_obj_1_599330.jpg,"[127, 165, 426, 563]",3,1,2
ava_obj_1_599330.jpg,"[0, 168, 428, 408]",1,2,0
ava_obj_1_599330.jpg,"[0, 400, 428, 640]",0,0,0
ava_obj_1_599330.jpg,"[0, 378, 342, 570]",0,0,0
ava_obj_1_599330.jpg,"[84, 210, 340, 354]",0,0,0
ava_obj_1_599330.jpg,"[84, 0, 426, 192]",0,0,0
ava_obj_1_599330.jpg,"[50, 158, 392, 350]",1,1,0
ava_obj_0_606134.jpg,"[0, 0, 594, 594]",4,1,1
ava_obj_0_606134.jpg,"[165, 0, 640, 475]",0,0,0
ava_obj_0_606134.jpg,"[118, 0, 474, 356]",0,0,0
ava_obj_0_606134.jpg,"[177, 59, 533, 415]",0,0,0
ava_obj_0_606134.jpg,"[126, 131, 510, 515]",1,2,0
ava_obj_0_606134.jpg,"[29, 168, 413, 552]",0,0,0
ava_obj_0_606134.jpg,"[0, 0, 640, 480]",3,1,2
ava_obj_0_606134.jpg,"[118, 59, 502, 347]",1,2,0
ava_obj_0_606134.jpg,"[59, 0, 443, 288]",0,0,0
ava_obj_0_606134.jpg,"[177, 0, 561, 288]",0,0,0
ava_obj_0_606134.jpg,"[236, 59, 620, 347]",0,0,0
ava_obj_0_606134.jpg,"[10, 70, 394, 358]",0,0,0
ava_obj_0_606134.jpg,"[0, 0, 445, 594]",0,0,0
ava_obj_0_606134.jpg,"[118, 0, 563, 594]",1,1,0
ava_obj_0_606134.jpg,"[236, 0, 592, 475]",0,0,0
ava_obj_0_606134.jpg,"[177, 0, 444, 356]",0,0,0
ava_obj_0_606134.jpg,"[229, 75, 613, 587]",0,0,0
ava_obj_0_606134.jpg,"[93, 42, 477, 554]",2,2,3
ava_obj_0_606134.jpg,"[0, 0, 640, 360]",1,1,0
ava_obj_0_606134.jpg,"[118, 59, 502, 275]",1,2,0
ava_obj_0_606134.jpg,"[0, 118, 512, 406]",0,0,0
ava_obj_0_606134.jpg,"[129, 330, 577, 582]",0,0,0
ava_obj_0_606134.jpg,"[174, 154, 622, 406]",0,0,0
ava_obj_0_606134.jpg,"[21, 272, 469, 524]",0,0,0
ava_obj_3_508160.jpg,"[42, 0, 466, 425]",3,1,2
ava_obj_3_508160.jpg,"[0, 84, 340, 424]",0,0,0
ava_obj_3_508160.jpg,"[42, 170, 297, 425]",0,0,0
ava_obj_3_508160.jpg,"[210, 42, 550, 382]",1,2,0
ava_obj_3_508160.jpg,"[0, 126, 255, 381]",0,0,0
ava_obj_3_508160.jpg,"[149, 75, 489, 415]",0,0,0
ava_obj_3_508160.jpg,"[1, 0, 567, 425]",1,2,0
ava_obj_3_508160.jpg,"[0, 168, 339, 423]",0,0,0
ava_obj_3_508160.jpg,"[210, 0, 549, 255]",1,1,0
ava_obj_3_508160.jpg,"[84, 170, 423, 425]",0,0,0
ava_obj_3_508160.jpg,"[131, 51, 527, 348]",0,0,0
ava_obj_3_508160.jpg,"[191, 167, 531, 422]",0,0,0
ava_obj_3_508160.jpg,"[42, 0, 360, 425]",0,0,0
ava_obj_3_508160.jpg,"[0, 42, 255, 382]",0,0,0
ava_obj_3_508160.jpg,"[210, 0, 528, 425]",2,1,3
ava_obj_3_508160.jpg,"[42, 126, 233, 381]",0,0,0
ava_obj_3_508160.jpg,"[126, 42, 381, 382]",0,0,0
ava_obj_3_508160.jpg,"[149, 13, 455, 421]",1,2,0
ava_obj_3_508160.jpg,"[0, 170, 453, 425]",0,0,0
ava_obj_3_508160.jpg,"[0, 42, 567, 360]",1,2,0
ava_obj_3_508160.jpg,"[0, 210, 340, 401]",0,0,0
ava_obj_3_508160.jpg,"[84, 0, 537, 255]",4,1,1
ava_obj_3_508160.jpg,"[31, 104, 427, 326]",0,0,0
ava_obj_3_508160.jpg,"[54, 48, 450, 270]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[96, 0, 480, 384]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[192, 48, 480, 336]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[144, 0, 624, 480]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[96, 48, 384, 336]",3,1,2
coco_obj_0_COCO_train2014_000000130032.jpg,"[240, 0, 528, 288]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[51, 65, 435, 449]",1,2,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[192, 0, 576, 288]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[48, 0, 560, 384]",4,1,1
coco_obj_0_COCO_train2014_000000130032.jpg,"[96, 48, 480, 336]",1,2,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[0, 0, 384, 288]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[220, 101, 604, 389]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[40, 148, 424, 436]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[192, 0, 480, 384]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[96, 0, 384, 384]",2,2,3
coco_obj_0_COCO_train2014_000000130032.jpg,"[0, 0, 288, 384]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[144, 48, 359, 336]",1,1,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[240, 0, 600, 480]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[114, 15, 459, 475]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[96, 0, 608, 288]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[0, 48, 512, 336]",1,2,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[192, 48, 576, 264]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[96, 0, 480, 216]",1,1,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[44, 150, 492, 402]",0,0,0
coco_obj_0_COCO_train2014_000000130032.jpg,"[38, 255, 422, 471]",0,0,0
ava_obj_3_938351.jpg,"[53, 53, 479, 479]",0,0,0
ava_obj_3_938351.jpg,"[159, 106, 478, 425]",0,0,0
ava_obj_3_938351.jpg,"[265, 106, 584, 425]",4,2,1
ava_obj_3_938351.jpg,"[0, 106, 319, 425]",0,0,0
ava_obj_3_938351.jpg,"[162, 16, 642, 496]",1,1,0
ava_obj_3_938351.jpg,"[284, 52, 764, 532]",0,0,0
ava_obj_3_938351.jpg,"[53, 106, 479, 425]",0,0,0
ava_obj_3_938351.jpg,"[106, 53, 674, 479]",0,0,0
ava_obj_3_938351.jpg,"[159, 53, 585, 372]",0,0,0
ava_obj_3_938351.jpg,"[265, 106, 691, 425]",2,2,3
ava_obj_3_938351.jpg,"[159, 159, 585, 478]",0,0,0
ava_obj_3_938351.jpg,"[205, 100, 765, 520]",1,1,0
ava_obj_3_938351.jpg,"[212, 53, 531, 479]",3,2,2
