name,bbox,score,order_pre,order_final
ava_obj_1_557809.jpg,"[0, 42, 427, 469]",4,1,1
ava_obj_1_557809.jpg,"[0, 210, 427, 637]",1,2,0
ava_obj_1_557809.jpg,"[0, 0, 341, 341]",0,0,0
ava_obj_1_557809.jpg,"[48, 179, 304, 435]",0,0,0
ava_obj_1_557809.jpg,"[155, 368, 411, 624]",0,0,0
ava_obj_1_557809.jpg,"[73, 271, 371, 569]",0,0,0
ava_obj_1_557809.jpg,"[0, 84, 427, 404]",1,2,0
ava_obj_1_557809.jpg,"[0, 0, 427, 320]",0,0,0
ava_obj_1_557809.jpg,"[0, 168, 427, 488]",1,1,0
ava_obj_1_557809.jpg,"[0, 252, 427, 572]",0,0,0
ava_obj_1_557809.jpg,"[132, 299, 388, 491]",0,0,0
ava_obj_1_557809.jpg,"[81, 330, 422, 585]",0,0,0
ava_obj_1_557809.jpg,"[42, 42, 383, 497]",3,1,2
ava_obj_1_557809.jpg,"[0, 71, 427, 640]",0,0,0
ava_obj_1_557809.jpg,"[84, 126, 340, 467]",2,2,3
ava_obj_1_557809.jpg,"[147, 173, 403, 514]",0,0,0
ava_obj_1_557809.jpg,"[52, 210, 350, 607]",0,0,0
ava_obj_1_557809.jpg,"[94, 13, 350, 354]",0,0,0
ava_obj_1_557809.jpg,"[0, 84, 427, 324]",0,0,0
ava_obj_1_557809.jpg,"[0, 252, 427, 492]",1,1,0
ava_obj_1_557809.jpg,"[0, 168, 427, 408]",1,2,0
ava_obj_1_557809.jpg,"[0, 0, 427, 240]",0,0,0
ava_obj_1_557809.jpg,"[70, 288, 326, 432]",0,0,0
ava_obj_1_557809.jpg,"[59, 113, 357, 280]",0,0,0
ava_obj_0_577335.jpg,"[0, 40, 402, 442]",1,1,0
ava_obj_0_577335.jpg,"[0, 120, 241, 361]",1,2,0
ava_obj_0_577335.jpg,"[161, 200, 402, 441]",0,0,0
ava_obj_0_577335.jpg,"[51, 190, 372, 511]",0,0,0
ava_obj_0_577335.jpg,"[45, 277, 326, 558]",0,0,0
ava_obj_0_577335.jpg,"[146, 290, 387, 531]",0,0,0
ava_obj_0_577335.jpg,"[0, 120, 402, 421]",3,2,2
ava_obj_0_577335.jpg,"[0, 40, 402, 341]",0,0,0
ava_obj_0_577335.jpg,"[0, 200, 402, 501]",1,1,0
ava_obj_0_577335.jpg,"[0, 120, 241, 300]",0,0,0
ava_obj_0_577335.jpg,"[161, 240, 402, 420]",0,0,0
