name,bbox,score,order_pre,order_final
ava_obj_3_786260.jpg,"[0, 0, 540, 540]",0,0,0
ava_obj_3_786260.jpg,"[180, 0, 720, 540]",4,1,1
ava_obj_3_786260.jpg,"[216, 0, 540, 324]",1,2,0
ava_obj_3_786260.jpg,"[162, 216, 486, 540]",0,0,0
ava_obj_3_786260.jpg,"[130, 100, 562, 532]",0,0,0
ava_obj_3_786260.jpg,"[275, 59, 707, 491]",0,0,0
ava_obj_3_786260.jpg,"[0, 0, 720, 540]",2,2,3
ava_obj_3_786260.jpg,"[54, 0, 486, 324]",1,3,0
ava_obj_3_786260.jpg,"[108, 216, 540, 540]",0,0,0
ava_obj_3_786260.jpg,"[270, 0, 702, 324]",1,2,0
ava_obj_3_786260.jpg,"[64, 103, 568, 481]",0,0,0
ava_obj_3_786260.jpg,"[166, 40, 670, 418]",0,0,0
ava_obj_3_786260.jpg,"[108, 0, 513, 540]",0,0,0
ava_obj_3_786260.jpg,"[270, 0, 512, 324]",1,2,0
ava_obj_3_786260.jpg,"[216, 0, 621, 540]",0,0,0
ava_obj_3_786260.jpg,"[478, 0, 720, 324]",1,1,0
ava_obj_3_786260.jpg,"[162, 216, 404, 540]",0,0,0
ava_obj_3_786260.jpg,"[21, 20, 409, 537]",0,0,0
ava_obj_3_786260.jpg,"[162, 297, 594, 540]",0,0,0
ava_obj_3_786260.jpg,"[144, 216, 720, 540]",3,1,2
ava_obj_3_786260.jpg,"[0, 0, 576, 324]",1,3,0
ava_obj_3_786260.jpg,"[288, 297, 720, 540]",0,0,0
ava_obj_3_786260.jpg,"[2, 196, 578, 520]",0,0,0
ava_obj_3_786260.jpg,"[242, 112, 674, 355]",1,2,0
ava_obj_1_483829.jpg,"[0, 54, 436, 490]",0,0,0
ava_obj_1_483829.jpg,"[94, 0, 640, 546]",1,2,0
ava_obj_1_483829.jpg,"[0, 54, 327, 381]",1,1,0
ava_obj_1_483829.jpg,"[0, 162, 327, 489]",0,0,0
ava_obj_1_483829.jpg,"[141, 159, 525, 543]",0,0,0
ava_obj_1_483829.jpg,"[209, 34, 593, 418]",0,0,0
ava_obj_1_483829.jpg,"[0, 0, 640, 480]",3,1,2
ava_obj_1_483829.jpg,"[0, 54, 384, 342]",1,2,0
ava_obj_1_483829.jpg,"[0, 162, 512, 546]",0,0,0
ava_obj_1_483829.jpg,"[216, 162, 600, 450]",0,0,0
ava_obj_1_483829.jpg,"[54, 216, 438, 504]",0,0,0
ava_obj_1_483829.jpg,"[198, 253, 582, 541]",0,0,0
ava_obj_1_483829.jpg,"[54, 0, 463, 546]",1,2,0
ava_obj_1_483829.jpg,"[0, 54, 327, 490]",4,1,1
ava_obj_1_483829.jpg,"[0, 54, 245, 381]",0,0,0
ava_obj_1_483829.jpg,"[162, 0, 571, 546]",0,0,0
ava_obj_1_483829.jpg,"[270, 54, 597, 490]",0,0,0
ava_obj_1_483829.jpg,"[116, 2, 500, 514]",0,0,0
ava_obj_1_483829.jpg,"[0, 162, 640, 522]",0,0,0
ava_obj_1_483829.jpg,"[0, 54, 640, 414]",2,1,3
ava_obj_1_483829.jpg,"[216, 270, 600, 486]",0,0,0
ava_obj_1_483829.jpg,"[59, 34, 443, 250]",1,2,0
ava_obj_1_483829.jpg,"[83, 310, 467, 526]",0,0,0
ava_obj_1_483829.jpg,"[66, 202, 450, 418]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 86, 433, 519]",2,3,3
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 294, 346, 640]",1,1,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[86, 43, 432, 389]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 381, 259, 640]",1,2,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[43, 344, 302, 603]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[85, 30, 344, 289]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 129, 433, 453]",1,1,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 301, 433, 625]",3,2,2
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 381, 346, 640]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 43, 433, 367]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 215, 433, 539]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[79, 98, 382, 325]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 63, 433, 640]",4,2,1
coco_obj_0_COCO_train2014_000000293061.jpg,"[172, 129, 431, 475]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[43, 43, 389, 504]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 294, 259, 640]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[167, 277, 426, 622]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[70, 225, 329, 570]",1,1,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 172, 433, 415]",1,2,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 387, 433, 630]",1,1,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 387, 259, 533]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[0, 258, 433, 501]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[86, 129, 432, 323]",0,0,0
coco_obj_0_COCO_train2014_000000293061.jpg,"[81, 314, 384, 484]",0,0,0
ava_obj_0_561856.jpg,"[212, 0, 637, 425]",3,1,2
