name,bbox,score,order_pre,order_final
ava_obj_1_956686.jpg,"[48, 96, 434, 482]",0,0,0
ava_obj_1_956686.jpg,"[96, 48, 385, 337]",0,0,0
ava_obj_1_956686.jpg,"[96, 144, 385, 433]",0,0,0
ava_obj_1_956686.jpg,"[144, 384, 433, 673]",4,2,1
ava_obj_1_956686.jpg,"[46, 357, 335, 646]",1,1,0
ava_obj_1_956686.jpg,"[13, 284, 399, 670]",0,0,0
ava_obj_1_956686.jpg,"[48, 48, 434, 337]",0,0,0
ava_obj_1_956686.jpg,"[0, 96, 483, 458]",1,2,0
ava_obj_1_956686.jpg,"[96, 96, 385, 313]",0,0,0
ava_obj_1_956686.jpg,"[48, 288, 434, 577]",3,1,2
ava_obj_1_956686.jpg,"[48, 192, 434, 481]",0,0,0
ava_obj_1_956686.jpg,"[121, 31, 459, 284]",0,0,0
ava_obj_1_956686.jpg,"[96, 48, 385, 434]",0,0,0
ava_obj_1_956686.jpg,"[144, 96, 433, 482]",0,0,0
ava_obj_1_956686.jpg,"[48, 96, 434, 611]",0,0,0
ava_obj_1_956686.jpg,"[0, 0, 386, 515]",1,2,0
ava_obj_1_956686.jpg,"[48, 144, 337, 530]",0,0,0
ava_obj_1_956686.jpg,"[126, 285, 415, 670]",2,1,3
ava_obj_1_956686.jpg,"[0, 144, 483, 415]",1,2,0
ava_obj_1_956686.jpg,"[0, 48, 483, 319]",0,0,0
ava_obj_1_956686.jpg,"[0, 288, 483, 559]",1,1,0
ava_obj_1_956686.jpg,"[71, 23, 360, 185]",0,0,0
ava_obj_1_956686.jpg,"[25, 216, 411, 433]",0,0,0
ava_obj_1_956686.jpg,"[170, 7, 459, 169]",0,0,0
ava_obj_0_892740.jpg,"[109, 216, 542, 649]",0,0,0
ava_obj_0_892740.jpg,"[0, 54, 542, 596]",0,0,0
ava_obj_0_892740.jpg,"[108, 367, 541, 800]",4,1,1
ava_obj_0_892740.jpg,"[0, 216, 325, 541]",0,0,0
ava_obj_0_892740.jpg,"[0, 432, 325, 757]",1,2,0
ava_obj_0_892740.jpg,"[209, 166, 534, 491]",0,0,0
ava_obj_0_892740.jpg,"[0, 557, 325, 800]",1,2,0
ava_obj_0_892740.jpg,"[0, 475, 433, 800]",1,1,0
ava_obj_0_892740.jpg,"[0, 216, 542, 622]",0,0,0
ava_obj_0_892740.jpg,"[108, 540, 433, 783]",0,0,0
ava_obj_0_892740.jpg,"[108, 324, 541, 649]",0,0,0
ava_obj_0_892740.jpg,"[104, 192, 483, 476]",0,0,0
