name,bbox,score,order_pre,order_final
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 86, 384, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 168, 298, 424]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[126, 168, 382, 424]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[126, 0, 554, 428]",4,3,1
coco_obj_0_COCO_train2014_000000435688.jpg,"[250, 40, 634, 424]",1,2,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[60, 3, 444, 387]",1,1,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 172, 384, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 86, 498, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[252, 172, 594, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[168, 42, 624, 384]",2,1,3
coco_obj_0_COCO_train2014_000000435688.jpg,"[197, 5, 581, 293]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[43, 16, 427, 304]",1,2,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[168, 0, 489, 428]",1,2,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[168, 172, 360, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 0, 363, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[126, 86, 382, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[294, 0, 615, 428]",1,3,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[110, 0, 421, 414]",1,1,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[42, 140, 554, 428]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[0, 168, 384, 384]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[0, 0, 640, 360]",3,1,2
coco_obj_0_COCO_train2014_000000435688.jpg,"[128, 84, 640, 372]",1,2,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[168, 168, 552, 384]",0,0,0
coco_obj_0_COCO_train2014_000000435688.jpg,"[58, 126, 442, 342]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[256, 96, 640, 480]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[0, 0, 480, 481]",2,1,3
coco_obj_0_COCO_train2014_000000435840.jpg,"[240, 96, 528, 384]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[144, 0, 624, 481]",1,2,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[112, 95, 496, 479]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[128, 2, 512, 386]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[0, 1, 640, 481]",4,1,1
coco_obj_0_COCO_train2014_000000435840.jpg,"[256, 144, 640, 432]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[48, 96, 432, 384]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[0, 144, 384, 432]",1,2,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[162, 36, 546, 324]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[224, 79, 608, 367]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[240, 97, 528, 481]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[192, 96, 408, 384]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[0, 48, 288, 432]",1,3,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[96, 0, 456, 481]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[286, 10, 631, 470]",1,1,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[27, 2, 372, 462]",1,2,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[0, 96, 640, 456]",3,1,2
coco_obj_0_COCO_train2014_000000435840.jpg,"[128, 193, 640, 481]",1,2,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[192, 240, 576, 456]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[0, 144, 384, 360]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[144, 144, 528, 360]",0,0,0
coco_obj_0_COCO_train2014_000000435840.jpg,"[65, 79, 449, 295]",0,0,0
ava_obj_2_767663.jpg,"[0, 147, 491, 638]",2,1,3
ava_obj_2_767663.jpg,"[49, 49, 441, 441]",1,2,0
ava_obj_2_767663.jpg,"[98, 196, 392, 490]",0,0,0
ava_obj_2_767663.jpg,"[12, 160, 306, 454]",0,0,0
