name,bbox,score,order_pre,order_final
ava_obj_0_582559.jpg,"[168, 0, 594, 426]",0,0,0
ava_obj_0_582559.jpg,"[252, 126, 507, 381]",0,0,0
ava_obj_0_582559.jpg,"[294, 84, 634, 424]",1,2,0
ava_obj_0_582559.jpg,"[81, 39, 465, 423]",0,0,0
ava_obj_0_582559.jpg,"[5, 7, 389, 391]",0,0,0
ava_obj_0_582559.jpg,"[245, 10, 629, 394]",1,1,0
ava_obj_0_582559.jpg,"[42, 0, 610, 426]",2,1,3
ava_obj_0_582559.jpg,"[186, 42, 640, 382]",0,0,0
ava_obj_0_582559.jpg,"[252, 126, 592, 381]",0,0,0
ava_obj_0_582559.jpg,"[91, 131, 475, 419]",0,0,0
ava_obj_0_582559.jpg,"[19, 49, 467, 385]",0,0,0
ava_obj_0_582559.jpg,"[23, 15, 407, 303]",4,2,1
ava_obj_0_582559.jpg,"[210, 0, 529, 426]",0,0,0
ava_obj_0_582559.jpg,"[294, 42, 549, 382]",0,0,0
ava_obj_0_582559.jpg,"[294, 126, 485, 381]",0,0,0
ava_obj_0_582559.jpg,"[126, 0, 445, 426]",1,2,0
ava_obj_0_582559.jpg,"[320, 0, 631, 414]",1,1,0
ava_obj_0_582559.jpg,"[34, 10, 345, 424]",0,0,0
ava_obj_0_582559.jpg,"[0, 66, 640, 426]",0,0,0
ava_obj_0_582559.jpg,"[210, 168, 594, 384]",0,0,0
ava_obj_0_582559.jpg,"[256, 126, 640, 342]",0,0,0
ava_obj_0_582559.jpg,"[42, 168, 426, 384]",3,1,2
ava_obj_0_582559.jpg,"[114, 94, 498, 310]",1,2,0
ava_obj_0_582559.jpg,"[171, 2, 619, 254]",0,0,0
ava_obj_0_824574.jpg,"[240, 96, 630, 486]",0,0,0
ava_obj_0_824574.jpg,"[144, 98, 534, 488]",1,2,0
ava_obj_0_824574.jpg,"[144, 144, 436, 436]",0,0,0
ava_obj_0_824574.jpg,"[144, 0, 534, 390]",0,0,0
ava_obj_0_824574.jpg,"[288, 144, 580, 436]",2,1,3
ava_obj_0_824574.jpg,"[49, 26, 433, 410]",0,0,0
ava_obj_0_824574.jpg,"[128, 104, 640, 488]",0,0,0
ava_obj_0_824574.jpg,"[144, 144, 528, 432]",0,0,0
ava_obj_0_824574.jpg,"[0, 96, 384, 384]",1,1,0
ava_obj_0_824574.jpg,"[96, 0, 608, 384]",0,0,0
ava_obj_0_824574.jpg,"[240, 96, 624, 384]",1,2,0
ava_obj_0_824574.jpg,"[108, 17, 492, 305]",0,0,0
ava_obj_0_824574.jpg,"[274, 0, 640, 488]",0,0,0
ava_obj_0_824574.jpg,"[144, 0, 510, 488]",0,0,0
ava_obj_0_824574.jpg,"[240, 96, 532, 486]",1,1,0
ava_obj_0_824574.jpg,"[34, 23, 379, 483]",1,2,0
ava_obj_0_824574.jpg,"[223, 9, 568, 469]",0,0,0
ava_obj_0_824574.jpg,"[100, 0, 445, 460]",0,0,0
ava_obj_0_824574.jpg,"[96, 144, 608, 432]",0,0,0
ava_obj_0_824574.jpg,"[0, 96, 512, 384]",0,0,0
ava_obj_0_824574.jpg,"[144, 144, 528, 359]",3,2,2
ava_obj_0_824574.jpg,"[0, 144, 384, 359]",4,1,1
ava_obj_0_824574.jpg,"[48, 200, 560, 488]",0,0,0
ava_obj_0_824574.jpg,"[82, 43, 466, 259]",0,0,0
ava_obj_1_319793.jpg,"[126, 0, 552, 426]",0,0,0
ava_obj_1_319793.jpg,"[84, 42, 424, 382]",0,0,0
ava_obj_1_319793.jpg,"[168, 126, 423, 381]",1,1,0
ava_obj_1_319793.jpg,"[247, 21, 631, 405]",1,2,0
ava_obj_1_319793.jpg,"[3, 16, 387, 400]",0,0,0
ava_obj_1_319793.jpg,"[103, 3, 487, 387]",0,0,0
ava_obj_1_319793.jpg,"[72, 0, 640, 426]",0,0,0
