name,bbox,score,order_pre,order_final
ava_obj_0_741450.jpg,"[300, 0, 602, 302]",1,5,0
ava_obj_0_741450.jpg,"[317, 0, 720, 403]",2,1,3
ava_obj_0_741450.jpg,"[350, 50, 652, 352]",1,3,0
ava_obj_0_741450.jpg,"[418, 0, 720, 302]",1,4,0
ava_obj_0_741450.jpg,"[200, 0, 703, 504]",3,2,2
ava_obj_0_741450.jpg,"[87, 44, 519, 476]",0,0,0
ava_obj_0_741450.jpg,"[317, 0, 720, 302]",1,2,0
ava_obj_0_741450.jpg,"[183, 0, 720, 403]",1,1,0
ava_obj_0_741450.jpg,"[250, 50, 653, 352]",1,4,0
ava_obj_0_741450.jpg,"[150, 0, 553, 302]",1,3,0
ava_obj_0_741450.jpg,"[317, 100, 720, 402]",1,5,0
ava_obj_0_741450.jpg,"[153, 120, 657, 498]",0,0,0
ava_obj_0_741450.jpg,"[350, 50, 576, 352]",1,5,0
ava_obj_0_741450.jpg,"[350, 0, 652, 403]",1,2,0
ava_obj_0_741450.jpg,"[400, 0, 626, 302]",4,4,1
ava_obj_0_741450.jpg,"[450, 50, 676, 352]",1,3,0
ava_obj_0_741450.jpg,"[242, 19, 591, 484]",1,1,0
ava_obj_0_741450.jpg,"[101, 15, 450, 480]",0,0,0
ava_obj_0_741450.jpg,"[144, 0, 720, 324]",1,4,0
ava_obj_0_741450.jpg,"[288, 50, 720, 293]",1,1,0
ava_obj_0_741450.jpg,"[250, 0, 682, 243]",1,2,0
ava_obj_0_741450.jpg,"[50, 50, 626, 374]",1,3,0
ava_obj_0_741450.jpg,"[20, 226, 452, 469]",0,0,0
ava_obj_0_741450.jpg,"[242, 181, 674, 424]",0,0,0
ava_obj_0_544608.jpg,"[230, 46, 600, 416]",1,4,0
ava_obj_0_544608.jpg,"[258, 0, 720, 463]",1,2,0
ava_obj_0_544608.jpg,"[276, 138, 553, 415]",1,1,0
ava_obj_0_544608.jpg,"[322, 46, 599, 323]",0,0,0
ava_obj_0_544608.jpg,"[94, 13, 526, 445]",1,3,0
ava_obj_0_544608.jpg,"[8, 30, 440, 462]",0,0,0
ava_obj_0_544608.jpg,"[138, 46, 631, 416]",2,4,3
ava_obj_0_544608.jpg,"[276, 92, 646, 369]",1,3,0
ava_obj_0_544608.jpg,"[230, 138, 600, 415]",3,2,2
ava_obj_0_544608.jpg,"[230, 46, 600, 323]",0,0,0
ava_obj_0_544608.jpg,"[57, 69, 489, 393]",0,0,0
ava_obj_0_544608.jpg,"[99, 134, 531, 458]",1,1,0
ava_obj_0_544608.jpg,"[276, 46, 553, 416]",1,3,0
ava_obj_0_544608.jpg,"[184, 0, 531, 463]",1,1,0
ava_obj_0_544608.jpg,"[322, 138, 530, 415]",1,2,0
ava_obj_0_544608.jpg,"[322, 46, 530, 323]",0,0,0
ava_obj_0_544608.jpg,"[9, 6, 323, 424]",0,0,0
ava_obj_0_544608.jpg,"[358, 8, 672, 426]",1,4,0
ava_obj_0_544608.jpg,"[230, 92, 662, 335]",0,0,0
ava_obj_0_544608.jpg,"[92, 92, 668, 416]",1,1,0
ava_obj_0_544608.jpg,"[160, 126, 592, 369]",4,3,1
ava_obj_0_544608.jpg,"[26, 145, 458, 388]",0,0,0
ava_obj_0_544608.jpg,"[76, 63, 508, 306]",0,0,0
ava_obj_0_544608.jpg,"[243, 159, 675, 402]",1,2,0
ava_obj_0_609431.jpg,"[0, 110, 438, 548]",0,0,0
ava_obj_0_609431.jpg,"[202, 108, 640, 546]",3,2,2
ava_obj_0_609431.jpg,"[54, 162, 382, 490]",0,0,0
ava_obj_0_609431.jpg,"[0, 0, 438, 438]",1,1,0
ava_obj_0_609431.jpg,"[100, 92, 484, 476]",0,0,0
ava_obj_0_609431.jpg,"[219, 8, 603, 392]",0,0,0
ava_obj_0_609431.jpg,"[54, 216, 438, 504]",2,1,3
ava_obj_0_609431.jpg,"[0, 162, 384, 450]",0,0,0
ava_obj_0_609431.jpg,"[128, 162, 640, 546]",1,2,0
ava_obj_0_609431.jpg,"[0, 164, 512, 548]",0,0,0
ava_obj_0_609431.jpg,"[0, 0, 640, 479]",0,0,0
ava_obj_0_609431.jpg,"[1, 85, 385, 373]",0,0,0
ava_obj_0_609431.jpg,"[54, 110, 382, 548]",0,0,0
ava_obj_0_609431.jpg,"[229, 0, 640, 548]",1,1,0
ava_obj_0_609431.jpg,"[216, 110, 544, 548]",0,0,0
