name,bbox,score,order_pre,order_final
ava_obj_2_954937.jpg,"[379, 52, 800, 473]",1,2,0
ava_obj_2_954937.jpg,"[0, 0, 527, 527]",1,3,0
ava_obj_2_954937.jpg,"[416, 52, 732, 368]",0,0,0
ava_obj_2_954937.jpg,"[156, 0, 683, 527]",1,1,0
ava_obj_2_954937.jpg,"[468, 104, 784, 420]",0,0,0
ava_obj_2_954937.jpg,"[269, 30, 749, 510]",1,4,0
ava_obj_2_954937.jpg,"[52, 0, 754, 527]",4,2,1
ava_obj_2_954937.jpg,"[238, 52, 800, 473]",1,1,0
ava_obj_2_954937.jpg,"[379, 52, 800, 368]",0,0,0
ava_obj_2_954937.jpg,"[312, 104, 733, 420]",0,0,0
ava_obj_2_954937.jpg,"[18, 96, 498, 456]",0,0,0
ava_obj_2_954937.jpg,"[187, 139, 667, 499]",2,3,3
ava_obj_2_954937.jpg,"[405, 0, 800, 527]",1,2,0
ava_obj_2_954937.jpg,"[468, 52, 705, 368]",0,0,0
ava_obj_2_954937.jpg,"[364, 0, 680, 421]",0,0,0
ava_obj_2_954937.jpg,"[0, 0, 395, 527]",1,1,0
ava_obj_2_954937.jpg,"[236, 9, 624, 526]",1,3,0
ava_obj_2_954937.jpg,"[127, 4, 515, 521]",0,0,0
ava_obj_2_954937.jpg,"[0, 52, 800, 502]",3,1,2
ava_obj_2_954937.jpg,"[160, 0, 800, 360]",1,2,0
ava_obj_2_954937.jpg,"[320, 52, 800, 322]",0,0,0
ava_obj_2_954937.jpg,"[312, 208, 792, 478]",0,0,0
ava_obj_2_954937.jpg,"[201, 215, 681, 485]",0,0,0
ava_obj_2_954937.jpg,"[175, 34, 655, 304]",1,3,0
ava_obj_2_807033.jpg,"[0, 0, 398, 398]",0,0,0
ava_obj_2_807033.jpg,"[0, 156, 398, 554]",1,1,0
ava_obj_2_807033.jpg,"[0, 117, 318, 435]",1,2,0
ava_obj_2_807033.jpg,"[0, 156, 238, 394]",0,0,0
ava_obj_2_807033.jpg,"[90, 189, 328, 427]",0,0,0
ava_obj_2_807033.jpg,"[31, 271, 349, 589]",0,0,0
ava_obj_2_807033.jpg,"[0, 156, 398, 454]",1,1,0
ava_obj_2_807033.jpg,"[0, 39, 398, 337]",1,2,0
ava_obj_2_807033.jpg,"[0, 156, 238, 335]",0,0,0
ava_obj_2_807033.jpg,"[0, 117, 318, 355]",1,3,0
ava_obj_2_807033.jpg,"[0, 0, 318, 238]",0,0,0
ava_obj_2_807033.jpg,"[64, 44, 342, 252]",0,0,0
ava_obj_2_807033.jpg,"[0, 0, 318, 424]",0,0,0
ava_obj_2_807033.jpg,"[0, 110, 398, 640]",3,1,2
ava_obj_2_807033.jpg,"[0, 117, 238, 435]",4,2,1
ava_obj_2_807033.jpg,"[39, 156, 277, 474]",1,3,0
ava_obj_2_807033.jpg,"[118, 87, 356, 404]",0,0,0
ava_obj_2_807033.jpg,"[66, 257, 344, 627]",0,0,0
ava_obj_2_807033.jpg,"[0, 156, 398, 379]",2,1,3
ava_obj_2_807033.jpg,"[0, 39, 398, 262]",0,0,0
ava_obj_2_807033.jpg,"[0, 0, 318, 179]",0,0,0
ava_obj_2_807033.jpg,"[20, 306, 338, 484]",1,2,0
ava_obj_2_807033.jpg,"[86, 40, 364, 196]",0,0,0
ava_obj_2_807033.jpg,"[0, 346, 278, 502]",0,0,0
ava_obj_2_954828.jpg,"[78, 0, 472, 394]",0,0,0
ava_obj_2_954828.jpg,"[0, 78, 315, 393]",1,2,0
ava_obj_2_954828.jpg,"[195, 79, 510, 394]",0,0,0
ava_obj_2_954828.jpg,"[78, 117, 314, 353]",1,1,0
ava_obj_2_954828.jpg,"[313, 4, 701, 392]",0,0,0
ava_obj_2_954828.jpg,"[410, 0, 798, 388]",0,0,0
ava_obj_2_954828.jpg,"[0, 0, 525, 394]",1,2,0
ava_obj_2_954828.jpg,"[156, 39, 576, 354]",0,0,0
ava_obj_2_954828.jpg,"[0, 117, 315, 353]",1,1,0
ava_obj_2_954828.jpg,"[282, 10, 762, 370]",0,0,0
ava_obj_2_954828.jpg,"[189, 10, 669, 370]",0,0,0
ava_obj_2_954828.jpg,"[82, 9, 562, 369]",0,0,0
ava_obj_2_954828.jpg,"[0, 0, 295, 394]",2,1,3
ava_obj_2_954828.jpg,"[78, 78, 314, 393]",1,2,0
ava_obj_2_954828.jpg,"[195, 0, 490, 394]",0,0,0
ava_obj_2_954828.jpg,"[117, 158, 294, 394]",1,3,0
ava_obj_2_954828.jpg,"[273, 79, 509, 394]",0,0,0
ava_obj_2_954828.jpg,"[353, 9, 636, 386]",0,0,0
ava_obj_2_954828.jpg,"[0, 79, 560, 394]",4,2,1
ava_obj_2_954828.jpg,"[0, 0, 560, 315]",1,3,0
ava_obj_2_954828.jpg,"[39, 117, 459, 353]",3,1,2
ava_obj_2_954828.jpg,"[156, 39, 716, 354]",0,0,0
ava_obj_2_954828.jpg,"[317, 63, 797, 333]",0,0,0
ava_obj_2_954828.jpg,"[249, 6, 729, 276]",0,0,0
ava_obj_1_683792.jpg,"[0, 0, 585, 585]",0,0,0
ava_obj_1_683792.jpg,"[58, 0, 409, 351]",0,0,0
ava_obj_1_683792.jpg,"[116, 58, 467, 409]",3,1,2
ava_obj_1_683792.jpg,"[145, 250, 554, 659]",0,0,0
ava_obj_1_683792.jpg,"[169, 138, 520, 489]",0,0,0
ava_obj_1_683792.jpg,"[172, 29, 581, 438]",1,2,0
ava_obj_1_683792.jpg,"[0, 0, 585, 438]",2,2,3
ava_obj_1_683792.jpg,"[0, 116, 585, 554]",0,0,0
ava_obj_1_683792.jpg,"[116, 58, 467, 321]",1,1,0
ava_obj_1_683792.jpg,"[58, 174, 409, 437]",0,0,0
ava_obj_1_683792.jpg,"[78, 222, 487, 528]",0,0,0
ava_obj_1_683792.jpg,"[80, 385, 431, 648]",0,0,0
ava_obj_1_683792.jpg,"[0, 0, 540, 720]",0,0,0
ava_obj_1_683792.jpg,"[116, 0, 439, 432]",1,2,0
ava_obj_1_683792.jpg,"[153, 0, 585, 576]",4,1,1
ava_obj_1_683792.jpg,"[125, 71, 476, 539]",0,0,0
ava_obj_1_683792.jpg,"[12, 109, 363, 577]",0,0,0
ava_obj_1_683792.jpg,"[160, 223, 511, 691]",0,0,0
ava_obj_1_683792.jpg,"[0, 0, 585, 329]",1,1,0
ava_obj_1_683792.jpg,"[58, 174, 526, 437]",1,2,0
ava_obj_1_683792.jpg,"[58, 174, 409, 371]",0,0,0
ava_obj_1_683792.jpg,"[0, 232, 585, 561]",0,0,0
ava_obj_1_683792.jpg,"[151, 147, 560, 377]",0,0,0
ava_obj_1_683792.jpg,"[144, 416, 553, 646]",0,0,0
ava_obj_0_3796.jpg,"[42, 0, 468, 427]",2,1,3
ava_obj_0_3796.jpg,"[214, 0, 640, 427]",0,0,0
ava_obj_0_3796.jpg,"[0, 0, 341, 341]",1,2,0
ava_obj_0_3796.jpg,"[294, 168, 550, 424]",0,0,0
ava_obj_0_3796.jpg,"[0, 0, 256, 256]",0,0,0
ava_obj_0_3796.jpg,"[151, 8, 535, 392]",0,0,0
ava_obj_0_3796.jpg,"[42, 0, 611, 427]",0,0,0
ava_obj_0_3796.jpg,"[0, 0, 455, 341]",3,1,2
ava_obj_0_3796.jpg,"[252, 168, 593, 424]",0,0,0
ava_obj_0_3796.jpg,"[42, 126, 383, 382]",0,0,0
ava_obj_0_3796.jpg,"[0, 0, 341, 256]",1,2,0
ava_obj_0_3796.jpg,"[153, 0, 537, 288]",0,0,0
ava_obj_0_3796.jpg,"[0, 0, 320, 427]",1,2,0
ava_obj_0_3796.jpg,"[294, 0, 614, 427]",0,0,0
ava_obj_0_3796.jpg,"[84, 0, 404, 427]",1,1,0
ava_obj_0_3796.jpg,"[168, 0, 488, 427]",0,0,0
ava_obj_0_3796.jpg,"[294, 168, 486, 424]",0,0,0
ava_obj_0_3796.jpg,"[238, 8, 549, 422]",0,0,0
ava_obj_0_3796.jpg,"[0, 0, 640, 360]",4,1,1
ava_obj_0_3796.jpg,"[42, 139, 554, 427]",0,0,0
ava_obj_0_3796.jpg,"[84, 168, 468, 384]",0,0,0
ava_obj_0_3796.jpg,"[42, 0, 426, 216]",0,0,0
ava_obj_0_3796.jpg,"[128, 84, 640, 372]",0,0,0
ava_obj_0_3796.jpg,"[35, 63, 483, 315]",1,2,0
