name,bbox,score,order_pre,order_final
ava_obj_0_754919.jpg,"[94, 0, 476, 382]",1,2,0
ava_obj_0_754919.jpg,"[0, 242, 478, 720]",0,0,0
ava_obj_0_754919.jpg,"[0, 94, 478, 572]",3,1,2
ava_obj_0_754919.jpg,"[94, 434, 380, 720]",0,0,0
ava_obj_0_754919.jpg,"[114, 69, 400, 355]",0,0,0
ava_obj_0_754919.jpg,"[126, 299, 412, 585]",0,0,0
ava_obj_0_754919.jpg,"[0, 0, 478, 358]",1,2,0
ava_obj_0_754919.jpg,"[0, 329, 478, 687]",0,0,0
ava_obj_0_754919.jpg,"[0, 434, 382, 720]",0,0,0
ava_obj_0_754919.jpg,"[94, 505, 380, 720]",0,0,0
ava_obj_0_754919.jpg,"[0, 94, 478, 452]",2,1,3
ava_obj_0_754919.jpg,"[41, 241, 327, 455]",0,0,0
ava_obj_0_754919.jpg,"[0, 47, 478, 684]",4,2,1
ava_obj_0_754919.jpg,"[94, 0, 476, 509]",0,0,0
ava_obj_0_754919.jpg,"[96, 211, 478, 720]",0,0,0
ava_obj_0_754919.jpg,"[188, 282, 474, 664]",0,0,0
ava_obj_0_754919.jpg,"[188, 0, 474, 382]",0,0,0
ava_obj_0_754919.jpg,"[23, 63, 357, 508]",1,1,0
ava_obj_0_754919.jpg,"[0, 423, 478, 691]",0,0,0
ava_obj_0_754919.jpg,"[0, 94, 478, 362]",1,1,0
ava_obj_0_754919.jpg,"[47, 505, 429, 720]",0,0,0
ava_obj_0_754919.jpg,"[94, 470, 380, 631]",0,0,0
ava_obj_0_754919.jpg,"[94, 517, 380, 678]",0,0,0
ava_obj_0_754919.jpg,"[101, 392, 435, 579]",1,2,0
ava_obj_2_914309.jpg,"[371, 0, 797, 426]",0,0,0
ava_obj_2_914309.jpg,"[481, 0, 800, 319]",0,0,0
ava_obj_2_914309.jpg,"[159, 0, 478, 319]",0,0,0
ava_obj_2_914309.jpg,"[53, 212, 372, 531]",1,2,0
ava_obj_2_914309.jpg,"[0, 107, 426, 533]",0,0,0
ava_obj_2_914309.jpg,"[173, 2, 653, 482]",1,1,0
ava_obj_2_914309.jpg,"[90, 0, 800, 533]",4,1,1
ava_obj_2_914309.jpg,"[374, 0, 800, 319]",0,0,0
ava_obj_2_914309.jpg,"[0, 107, 568, 533]",0,0,0
ava_obj_2_914309.jpg,"[374, 106, 800, 425]",0,0,0
ava_obj_2_914309.jpg,"[159, 0, 585, 319]",1,2,0
ava_obj_2_914309.jpg,"[241, 120, 721, 480]",0,0,0
ava_obj_2_914309.jpg,"[53, 107, 372, 533]",1,1,0
ava_obj_2_914309.jpg,"[477, 0, 796, 426]",1,2,0
