name,bbox,score,order_pre,order_final
ava_obj_0_523816.jpg,"[0, 40, 400, 440]",1,1,0
ava_obj_0_523816.jpg,"[40, 0, 360, 320]",0,0,0
ava_obj_0_523816.jpg,"[40, 40, 280, 279]",0,0,0
ava_obj_0_523816.jpg,"[0, 0, 240, 239]",0,0,0
ava_obj_0_523816.jpg,"[120, 361, 360, 600]",2,2,3
ava_obj_0_523816.jpg,"[108, 90, 388, 370]",0,0,0
ava_obj_0_523816.jpg,"[0, 40, 400, 340]",0,0,0
ava_obj_0_523816.jpg,"[40, 0, 360, 240]",0,0,0
ava_obj_0_523816.jpg,"[0, 40, 240, 220]",0,0,0
ava_obj_0_523816.jpg,"[40, 360, 360, 600]",4,2,1
ava_obj_0_523816.jpg,"[120, 320, 360, 500]",1,1,0
ava_obj_0_523816.jpg,"[138, 103, 378, 283]",0,0,0
ava_obj_0_523816.jpg,"[0, 0, 400, 533]",1,1,0
ava_obj_0_523816.jpg,"[40, 0, 280, 320]",0,0,0
ava_obj_0_523816.jpg,"[160, 280, 400, 600]",1,2,0
ava_obj_0_523816.jpg,"[84, 270, 324, 590]",3,3,2
ava_obj_0_523816.jpg,"[80, 92, 360, 465]",0,0,0
ava_obj_0_523816.jpg,"[39, 84, 279, 404]",0,0,0
ava_obj_0_523816.jpg,"[0, 40, 400, 265]",0,0,0
ava_obj_0_523816.jpg,"[40, 0, 360, 180]",0,0,0
ava_obj_0_523816.jpg,"[0, 40, 240, 175]",0,0,0
ava_obj_0_523816.jpg,"[0, 375, 400, 600]",1,2,0
ava_obj_0_523816.jpg,"[40, 360, 360, 540]",1,1,0
ava_obj_0_523816.jpg,"[36, 70, 276, 205]",0,0,0
ava_obj_0_354404.jpg,"[92, 93, 462, 463]",1,1,0
ava_obj_0_354404.jpg,"[138, 92, 415, 369]",0,0,0
ava_obj_0_354404.jpg,"[92, 0, 462, 370]",0,0,0
ava_obj_0_354404.jpg,"[92, 138, 369, 415]",0,0,0
ava_obj_0_354404.jpg,"[14, 27, 398, 411]",1,2,0
ava_obj_0_354404.jpg,"[157, 40, 541, 424]",0,0,0
ava_obj_0_354404.jpg,"[0, 92, 493, 462]",4,1,1
ava_obj_0_354404.jpg,"[23, 0, 640, 463]",2,2,3
ava_obj_0_354404.jpg,"[92, 138, 462, 415]",0,0,0
ava_obj_0_354404.jpg,"[92, 46, 462, 323]",0,0,0
ava_obj_0_354404.jpg,"[46, 186, 416, 463]",0,0,0
ava_obj_0_354404.jpg,"[166, 0, 550, 288]",0,0,0
ava_obj_0_354404.jpg,"[92, 0, 439, 463]",3,1,2
ava_obj_0_354404.jpg,"[230, 138, 438, 415]",0,0,0
ava_obj_0_354404.jpg,"[138, 184, 346, 461]",0,0,0
ava_obj_0_354404.jpg,"[184, 92, 392, 369]",1,2,0
ava_obj_0_354404.jpg,"[244, 0, 589, 460]",0,0,0
ava_obj_0_354404.jpg,"[1, 1, 346, 461]",0,0,0
ava_obj_0_354404.jpg,"[0, 92, 640, 452]",1,1,0
ava_obj_0_354404.jpg,"[92, 92, 476, 308]",0,0,0
ava_obj_0_354404.jpg,"[46, 46, 558, 334]",1,2,0
ava_obj_0_354404.jpg,"[0, 247, 384, 463]",0,0,0
ava_obj_0_354404.jpg,"[191, 107, 575, 323]",0,0,0
ava_obj_0_354404.jpg,"[191, 148, 639, 400]",0,0,0
ava_obj_0_1671.jpg,"[0, 0, 384, 384]",0,0,0
ava_obj_0_1671.jpg,"[0, 48, 288, 336]",0,0,0
ava_obj_0_1671.jpg,"[144, 0, 624, 480]",1,1,0
ava_obj_0_1671.jpg,"[96, 48, 384, 336]",0,0,0
ava_obj_0_1671.jpg,"[352, 48, 640, 336]",0,0,0
ava_obj_0_1671.jpg,"[128, 90, 512, 474]",1,2,0
ava_obj_0_1671.jpg,"[0, 48, 384, 336]",0,0,0
ava_obj_0_1671.jpg,"[0, 0, 640, 480]",2,2,3
ava_obj_0_1671.jpg,"[256, 48, 640, 336]",0,0,0
ava_obj_0_1671.jpg,"[8, 78, 456, 414]",0,0,0
ava_obj_0_1671.jpg,"[94, 51, 542, 387]",1,1,0
ava_obj_0_1671.jpg,"[180, 6, 564, 294]",0,0,0
ava_obj_0_1671.jpg,"[0, 0, 288, 384]",0,0,0
ava_obj_0_1671.jpg,"[0, 96, 215, 384]",0,0,0
ava_obj_0_1671.jpg,"[192, 48, 407, 336]",0,0,0
ava_obj_0_1671.jpg,"[96, 0, 384, 384]",0,0,0
ava_obj_0_1671.jpg,"[136, 9, 481, 469]",1,2,0
ava_obj_0_1671.jpg,"[263, 5, 608, 465]",1,1,0
ava_obj_0_1671.jpg,"[0, 0, 640, 360]",4,2,1
ava_obj_0_1671.jpg,"[0, 96, 384, 312]",0,0,0
ava_obj_0_1671.jpg,"[0, 96, 640, 456]",3,1,2
ava_obj_0_1671.jpg,"[256, 48, 640, 264]",0,0,0
ava_obj_0_1671.jpg,"[229, 139, 613, 355]",0,0,0
ava_obj_0_1671.jpg,"[62, 45, 446, 261]",0,0,0
ava_obj_0_483283.jpg,"[0, 168, 427, 595]",2,2,3
ava_obj_0_483283.jpg,"[86, 294, 427, 635]",0,0,0
ava_obj_0_483283.jpg,"[42, 84, 383, 425]",0,0,0
ava_obj_0_483283.jpg,"[0, 294, 341, 635]",1,1,0
ava_obj_0_483283.jpg,"[46, 92, 302, 348]",0,0,0
ava_obj_0_483283.jpg,"[71, 362, 327, 618]",0,0,0
ava_obj_0_483283.jpg,"[0, 252, 427, 572]",1,2,0
ava_obj_0_483283.jpg,"[0, 336, 341, 592]",1,1,0
ava_obj_0_483283.jpg,"[0, 0, 427, 320]",0,0,0
ava_obj_0_483283.jpg,"[0, 168, 427, 488]",0,0,0
ava_obj_0_483283.jpg,"[56, 302, 312, 494]",0,0,0
ava_obj_0_483283.jpg,"[68, 95, 366, 318]",0,0,0
ava_obj_0_483283.jpg,"[0, 71, 427, 640]",3,1,2
ava_obj_0_483283.jpg,"[42, 42, 383, 497]",4,3,1
ava_obj_0_483283.jpg,"[126, 252, 382, 593]",1,2,0
ava_obj_0_483283.jpg,"[42, 210, 298, 551]",0,0,0
ava_obj_0_483283.jpg,"[109, 135, 365, 476]",0,0,0
ava_obj_0_483283.jpg,"[14, 264, 270, 605]",0,0,0
ava_obj_0_483283.jpg,"[0, 336, 427, 576]",1,1,0
ava_obj_0_483283.jpg,"[84, 420, 425, 612]",0,0,0
ava_obj_0_483283.jpg,"[0, 42, 427, 282]",0,0,0
ava_obj_0_483283.jpg,"[0, 252, 427, 492]",1,2,0
ava_obj_0_483283.jpg,"[48, 286, 346, 453]",0,0,0
ava_obj_0_483283.jpg,"[97, 225, 353, 369]",0,0,0
ava_obj_0_319901.jpg,"[214, 0, 640, 427]",2,1,3
ava_obj_0_319901.jpg,"[384, 84, 640, 340]",1,2,0
ava_obj_0_319901.jpg,"[294, 84, 550, 340]",0,0,0
ava_obj_0_319901.jpg,"[37, 6, 421, 390]",0,0,0
ava_obj_0_319901.jpg,"[132, 30, 516, 414]",0,0,0
ava_obj_0_319901.jpg,"[79, 40, 463, 424]",0,0,0
ava_obj_0_319901.jpg,"[71, 0, 640, 427]",3,1,2
ava_obj_0_319901.jpg,"[294, 84, 635, 340]",1,2,0
ava_obj_0_319901.jpg,"[210, 42, 551, 298]",0,0,0
ava_obj_0_319901.jpg,"[226, 112, 610, 400]",0,0,0
ava_obj_0_319901.jpg,"[20, 20, 468, 356]",0,0,0
ava_obj_0_319901.jpg,"[65, 111, 449, 399]",0,0,0
ava_obj_0_319901.jpg,"[294, 0, 614, 427]",1,1,0
ava_obj_0_319901.jpg,"[378, 0, 634, 341]",1,2,0
ava_obj_0_319901.jpg,"[384, 86, 640, 427]",0,0,0
ava_obj_0_319901.jpg,"[420, 84, 612, 340]",0,0,0
ava_obj_0_319901.jpg,"[420, 168, 612, 424]",0,0,0
ava_obj_0_319901.jpg,"[189, 12, 500, 426]",0,0,0
ava_obj_0_319901.jpg,"[0, 42, 640, 402]",4,1,1
ava_obj_0_319901.jpg,"[256, 126, 640, 342]",0,0,0
ava_obj_0_319901.jpg,"[128, 126, 640, 414]",1,2,0
ava_obj_0_319901.jpg,"[168, 84, 552, 300]",0,0,0
ava_obj_0_319901.jpg,"[126, 0, 638, 288]",0,0,0
ava_obj_0_319901.jpg,"[29, 153, 477, 405]",0,0,0
