name,bbox,score,order_pre,order_final
ava_obj_0_607172.jpg,"[55, 0, 607, 552]",1,1,0
ava_obj_0_607172.jpg,"[0, 55, 441, 496]",0,0,0
ava_obj_0_607172.jpg,"[199, 55, 640, 496]",0,0,0
ava_obj_0_607172.jpg,"[0, 165, 331, 496]",0,0,0
ava_obj_0_607172.jpg,"[309, 221, 640, 552]",0,0,0
ava_obj_0_607172.jpg,"[122, 49, 506, 433]",1,2,0
ava_obj_0_607172.jpg,"[0, 55, 640, 535]",4,2,1
ava_obj_0_607172.jpg,"[55, 168, 567, 552]",1,1,0
ava_obj_0_607172.jpg,"[256, 264, 640, 552]",0,0,0
ava_obj_0_607172.jpg,"[0, 220, 384, 508]",0,0,0
ava_obj_0_607172.jpg,"[212, 55, 596, 343]",0,0,0
ava_obj_0_607172.jpg,"[15, 113, 399, 401]",0,0,0
ava_obj_0_607172.jpg,"[226, 0, 640, 552]",0,0,0
ava_obj_0_607172.jpg,"[0, 0, 414, 552]",0,0,0
ava_obj_0_607172.jpg,"[110, 0, 524, 552]",3,1,2
ava_obj_0_607172.jpg,"[64, 29, 448, 541]",0,0,0
ava_obj_0_607172.jpg,"[183, 5, 567, 517]",1,2,0
ava_obj_0_607172.jpg,"[156, 28, 540, 540]",0,0,0
ava_obj_0_607172.jpg,"[0, 165, 640, 525]",1,2,0
ava_obj_0_607172.jpg,"[128, 264, 640, 552]",0,0,0
ava_obj_0_607172.jpg,"[0, 55, 640, 415]",2,1,3
ava_obj_0_607172.jpg,"[0, 275, 384, 491]",0,0,0
ava_obj_0_607172.jpg,"[87, 68, 535, 320]",0,0,0
ava_obj_0_607172.jpg,"[61, 178, 445, 394]",0,0,0
ava_obj_0_888933.jpg,"[0, 56, 566, 622]",2,2,3
ava_obj_0_888933.jpg,"[56, 224, 508, 676]",1,4,0
ava_obj_0_888933.jpg,"[112, 0, 564, 452]",1,1,0
ava_obj_0_888933.jpg,"[0, 348, 452, 800]",1,3,0
ava_obj_0_888933.jpg,"[227, 112, 566, 451]",0,0,0
ava_obj_0_888933.jpg,"[174, 196, 513, 535]",0,0,0
ava_obj_0_888933.jpg,"[0, 224, 566, 648]",1,3,0
ava_obj_0_888933.jpg,"[0, 336, 566, 760]",1,2,0
ava_obj_0_888933.jpg,"[114, 112, 566, 451]",1,6,0
ava_obj_0_888933.jpg,"[112, 0, 564, 339]",3,5,2
ava_obj_0_888933.jpg,"[112, 112, 451, 366]",0,0,0
ava_obj_0_888933.jpg,"[13, 77, 409, 374]",1,1,0
ava_obj_0_888933.jpg,"[112, 56, 564, 659]",1,3,0
ava_obj_0_888933.jpg,"[56, 197, 508, 800]",1,2,0
ava_obj_0_888933.jpg,"[56, 224, 395, 676]",4,1,1
ava_obj_0_888933.jpg,"[227, 0, 566, 452]",0,0,0
ava_obj_0_888933.jpg,"[224, 224, 563, 676]",0,0,0
ava_obj_0_888933.jpg,"[74, 343, 413, 795]",0,0,0
ava_obj_0_888933.jpg,"[0, 336, 566, 654]",1,3,0
ava_obj_0_888933.jpg,"[0, 112, 566, 430]",1,4,0
ava_obj_0_888933.jpg,"[0, 224, 566, 542]",1,2,0
ava_obj_0_888933.jpg,"[0, 0, 566, 318]",1,1,0
ava_obj_0_888933.jpg,"[86, 248, 425, 438]",0,0,0
ava_obj_0_888933.jpg,"[114, 278, 510, 500]",0,0,0
ava_obj_1_625762.jpg,"[79, 0, 640, 561]",4,1,1
ava_obj_1_625762.jpg,"[168, 56, 504, 392]",0,0,0
ava_obj_1_625762.jpg,"[56, 0, 504, 448]",2,2,3
ava_obj_1_625762.jpg,"[224, 0, 560, 336]",0,0,0
ava_obj_1_625762.jpg,"[179, 92, 563, 476]",1,3,0
ava_obj_1_625762.jpg,"[54, 166, 438, 550]",0,0,0
ava_obj_1_625762.jpg,"[0, 0, 640, 480]",3,1,2
ava_obj_1_625762.jpg,"[168, 56, 552, 344]",0,0,0
ava_obj_1_625762.jpg,"[128, 112, 640, 496]",1,2,0
ava_obj_1_625762.jpg,"[218, 1, 602, 289]",0,0,0
ava_obj_1_625762.jpg,"[176, 235, 560, 523]",0,0,0
ava_obj_1_625762.jpg,"[205, 149, 589, 437]",0,0,0
ava_obj_1_625762.jpg,"[220, 0, 640, 561]",0,0,0
ava_obj_1_625762.jpg,"[112, 0, 532, 561]",1,2,0
ava_obj_1_625762.jpg,"[224, 56, 476, 392]",0,0,0
ava_obj_1_625762.jpg,"[0, 0, 420, 561]",0,0,0
ava_obj_1_625762.jpg,"[75, 24, 459, 536]",1,1,0
ava_obj_1_625762.jpg,"[197, 12, 581, 524]",1,3,0
ava_obj_1_625762.jpg,"[0, 56, 640, 416]",1,1,0
ava_obj_1_625762.jpg,"[128, 0, 640, 288]",0,0,0
ava_obj_1_625762.jpg,"[168, 56, 552, 272]",0,0,0
ava_obj_1_625762.jpg,"[168, 112, 552, 328]",0,0,0
ava_obj_1_625762.jpg,"[123, 203, 507, 419]",1,2,0
ava_obj_1_625762.jpg,"[61, 232, 445, 448]",0,0,0
ava_obj_1_579503.jpg,"[0, 0, 427, 427]",2,2,3
ava_obj_1_579503.jpg,"[0, 168, 427, 595]",0,0,0
ava_obj_1_579503.jpg,"[61, 258, 317, 514]",0,0,0
ava_obj_1_579503.jpg,"[137, 251, 393, 507]",0,0,0
ava_obj_1_579503.jpg,"[64, 188, 362, 486]",0,0,0
ava_obj_1_579503.jpg,"[4, 79, 302, 377]",1,1,0
ava_obj_1_579503.jpg,"[0, 42, 427, 362]",1,1,0
ava_obj_1_579503.jpg,"[0, 252, 427, 572]",0,0,0
ava_obj_1_579503.jpg,"[84, 0, 425, 256]",1,2,0
ava_obj_1_579503.jpg,"[0, 168, 427, 488]",0,0,0
ava_obj_1_579503.jpg,"[5, 195, 261, 387]",0,0,0
ava_obj_1_579503.jpg,"[70, 163, 368, 386]",0,0,0
ava_obj_1_579503.jpg,"[0, 42, 427, 611]",4,2,1
ava_obj_1_579503.jpg,"[42, 0, 383, 455]",3,1,2
ava_obj_1_579503.jpg,"[42, 185, 383, 640]",0,0,0
ava_obj_1_579503.jpg,"[126, 42, 382, 383]",0,0,0
ava_obj_1_579503.jpg,"[84, 0, 340, 341]",0,0,0
ava_obj_1_579503.jpg,"[98, 279, 354, 620]",0,0,0
ava_obj_1_579503.jpg,"[0, 42, 427, 282]",1,1,0
ava_obj_1_579503.jpg,"[0, 252, 427, 492]",1,2,0
ava_obj_1_579503.jpg,"[0, 168, 427, 408]",0,0,0
ava_obj_1_579503.jpg,"[170, 329, 426, 473]",0,0,0
ava_obj_1_579503.jpg,"[134, 158, 390, 302]",0,0,0
ava_obj_1_579503.jpg,"[168, 473, 424, 617]",0,0,0
ava_obj_1_494547.jpg,"[0, 156, 484, 640]",1,1,0
ava_obj_1_494547.jpg,"[194, 288, 484, 578]",0,0,0
ava_obj_1_494547.jpg,"[97, 0, 484, 387]",0,0,0
ava_obj_1_494547.jpg,"[33, 239, 323, 529]",0,0,0
ava_obj_1_494547.jpg,"[108, 112, 398, 402]",0,0,0
ava_obj_1_494547.jpg,"[87, 268, 377, 558]",1,2,0
ava_obj_1_494547.jpg,"[0, 240, 484, 603]",1,1,0
ava_obj_1_494547.jpg,"[194, 384, 484, 601]",2,2,3
ava_obj_1_494547.jpg,"[96, 336, 483, 626]",0,0,0
ava_obj_1_494547.jpg,"[194, 0, 484, 217]",0,0,0
ava_obj_1_494547.jpg,"[0, 144, 484, 507]",1,3,0
ava_obj_1_494547.jpg,"[140, 255, 478, 508]",0,0,0
ava_obj_1_494547.jpg,"[0, 0, 480, 640]",4,1,1
ava_obj_1_494547.jpg,"[144, 256, 431, 640]",0,0,0
ava_obj_1_494547.jpg,"[48, 192, 335, 576]",0,0,0
ava_obj_1_494547.jpg,"[37, 77, 327, 463]",0,0,0
ava_obj_1_494547.jpg,"[152, 53, 442, 439]",0,0,0
ava_obj_1_494547.jpg,"[64, 91, 402, 541]",1,2,0
ava_obj_1_494547.jpg,"[0, 336, 484, 608]",3,1,2
ava_obj_1_494547.jpg,"[194, 336, 484, 499]",0,0,0
ava_obj_1_494547.jpg,"[192, 384, 482, 547]",1,2,0
ava_obj_1_494547.jpg,"[96, 0, 483, 217]",0,0,0
ava_obj_1_494547.jpg,"[194, 48, 484, 211]",0,0,0
ava_obj_1_494547.jpg,"[9, 75, 347, 265]",0,0,0
