name,bbox,score,order_pre,order_final
ava_obj_0_580434.jpg,"[0, 0, 453, 453]",3,2,2
ava_obj_0_580434.jpg,"[0, 180, 453, 633]",0,0,0
ava_obj_0_580434.jpg,"[90, 135, 452, 497]",0,0,0
ava_obj_0_580434.jpg,"[135, 90, 406, 361]",1,1,0
ava_obj_0_580434.jpg,"[107, 257, 424, 574]",0,0,0
ava_obj_0_580434.jpg,"[35, 161, 352, 478]",0,0,0
ava_obj_0_580434.jpg,"[0, 45, 453, 384]",2,2,3
ava_obj_0_580434.jpg,"[0, 135, 453, 474]",0,0,0
ava_obj_0_580434.jpg,"[0, 0, 362, 271]",1,1,0
ava_obj_0_580434.jpg,"[91, 0, 453, 271]",1,3,0
ava_obj_0_580434.jpg,"[0, 301, 453, 640]",0,0,0
ava_obj_0_580434.jpg,"[16, 344, 333, 581]",0,0,0
ava_obj_0_580434.jpg,"[0, 36, 453, 640]",1,4,0
ava_obj_0_580434.jpg,"[91, 0, 453, 483]",1,3,0
ava_obj_0_580434.jpg,"[0, 0, 362, 483]",4,2,1
ava_obj_0_580434.jpg,"[180, 90, 451, 452]",1,5,0
ava_obj_0_580434.jpg,"[135, 45, 406, 407]",1,1,0
ava_obj_0_580434.jpg,"[74, 139, 345, 500]",0,0,0
ava_obj_0_580434.jpg,"[0, 45, 453, 299]",1,4,0
ava_obj_0_580434.jpg,"[0, 135, 453, 389]",0,0,0
ava_obj_0_580434.jpg,"[0, 386, 453, 640]",0,0,0
ava_obj_0_580434.jpg,"[45, 0, 407, 203]",1,2,0
ava_obj_0_580434.jpg,"[123, 27, 394, 179]",1,1,0
ava_obj_0_580434.jpg,"[54, 158, 371, 336]",0,0,0
ava_obj_0_533201.jpg,"[240, 96, 624, 480]",1,1,0
ava_obj_0_533201.jpg,"[288, 192, 576, 480]",1,2,0
ava_obj_0_533201.jpg,"[240, 144, 528, 432]",1,4,0
ava_obj_0_533201.jpg,"[288, 96, 576, 384]",0,0,0
ava_obj_0_533201.jpg,"[106, 93, 490, 477]",1,3,0
ava_obj_0_533201.jpg,"[57, 2, 441, 386]",0,0,0
ava_obj_0_533201.jpg,"[128, 96, 640, 480]",4,2,1
ava_obj_0_533201.jpg,"[256, 144, 640, 432]",1,1,0
ava_obj_0_533201.jpg,"[144, 192, 528, 480]",2,3,3
ava_obj_0_533201.jpg,"[256, 48, 640, 336]",0,0,0
ava_obj_0_533201.jpg,"[25, 41, 473, 377]",0,0,0
ava_obj_0_533201.jpg,"[127, 28, 511, 316]",0,0,0
ava_obj_0_533201.jpg,"[288, 96, 576, 480]",1,3,0
ava_obj_0_533201.jpg,"[336, 144, 551, 432]",1,2,0
ava_obj_0_533201.jpg,"[288, 192, 503, 480]",1,4,0
ava_obj_0_533201.jpg,"[288, 96, 503, 384]",0,0,0
ava_obj_0_533201.jpg,"[178, 1, 523, 461]",1,1,0
ava_obj_0_533201.jpg,"[95, 10, 440, 470]",0,0,0
ava_obj_0_533201.jpg,"[0, 96, 640, 456]",3,1,2
ava_obj_0_533201.jpg,"[128, 192, 640, 480]",1,3,0
ava_obj_0_533201.jpg,"[192, 144, 576, 360]",0,0,0
ava_obj_0_533201.jpg,"[256, 192, 640, 408]",0,0,0
ava_obj_0_533201.jpg,"[224, 69, 608, 285]",0,0,0
