name,bbox,score,order_pre,order_final
ava_obj_2_924264.jpg,"[164, 0, 582, 418]",3,1,2
ava_obj_2_924264.jpg,"[287, 41, 621, 375]",0,0,0
ava_obj_2_924264.jpg,"[246, 82, 496, 332]",1,2,0
ava_obj_2_924264.jpg,"[42, 11, 446, 415]",0,0,0
ava_obj_2_924264.jpg,"[338, 1, 742, 405]",0,0,0
ava_obj_2_924264.jpg,"[254, 11, 658, 415]",0,0,0
ava_obj_2_924264.jpg,"[123, 0, 680, 418]",2,1,3
ava_obj_2_924264.jpg,"[82, 82, 527, 416]",0,0,0
ava_obj_2_924264.jpg,"[8, 33, 457, 369]",0,0,0
ava_obj_2_924264.jpg,"[291, 35, 740, 371]",0,0,0
ava_obj_2_924264.jpg,"[102, 3, 551, 339]",0,0,0
ava_obj_2_924264.jpg,"[186, 30, 635, 366]",1,2,0
ava_obj_2_924264.jpg,"[246, 0, 559, 418]",1,1,0
ava_obj_2_924264.jpg,"[164, 0, 477, 418]",1,2,0
ava_obj_2_924264.jpg,"[328, 0, 641, 418]",0,0,0
ava_obj_2_924264.jpg,"[287, 82, 475, 332]",0,0,0
ava_obj_2_924264.jpg,"[101, 20, 395, 412]",0,0,0
ava_obj_2_924264.jpg,"[419, 8, 713, 400]",0,0,0
ava_obj_2_924264.jpg,"[6, 0, 749, 418]",4,1,1
ava_obj_2_924264.jpg,"[164, 123, 609, 373]",0,0,0
ava_obj_2_924264.jpg,"[164, 41, 609, 291]",1,2,0
ava_obj_2_924264.jpg,"[38, 68, 487, 320]",0,0,0
ava_obj_2_924264.jpg,"[74, 153, 523, 405]",0,0,0
ava_obj_2_924264.jpg,"[292, 116, 741, 368]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[140, 70, 349, 280]",2,2,3
coco_obj_1_COCO_train2014_000000285612.jpg,"[105, 70, 385, 350]",3,1,2
coco_obj_1_COCO_train2014_000000285612.jpg,"[105, 105, 314, 315]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[175, 105, 384, 315]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[140, 140, 349, 350]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[50, 21, 320, 291]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[105, 105, 375, 307]",1,2,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[90, 80, 450, 350]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[175, 105, 445, 307]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[70, 0, 430, 270]",4,1,1
coco_obj_1_COCO_train2014_000000285612.jpg,"[35, 105, 305, 307]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[63, 0, 333, 202]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[175, 70, 332, 280]",1,1,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[140, 70, 350, 350]",1,2,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[175, 35, 385, 315]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[140, 105, 297, 315]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[175, 140, 332, 350]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[72, 21, 315, 345]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[90, 105, 450, 307]",1,1,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[140, 105, 410, 256]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[70, 105, 340, 256]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[105, 140, 375, 291]",1,2,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[35, 140, 395, 342]",0,0,0
coco_obj_1_COCO_train2014_000000285612.jpg,"[147, 176, 417, 327]",0,0,0
ava_obj_0_522016.jpg,"[195, 0, 507, 312]",0,0,0
ava_obj_0_522016.jpg,"[78, 0, 469, 391]",0,0,0
ava_obj_0_522016.jpg,"[195, 39, 429, 273]",3,1,2
ava_obj_0_522016.jpg,"[195, 79, 507, 391]",0,0,0
ava_obj_0_522016.jpg,"[214, 1, 598, 385]",0,0,0
ava_obj_0_522016.jpg,"[11, 4, 395, 388]",1,2,0
ava_obj_0_522016.jpg,"[78, 0, 495, 312]",0,0,0
ava_obj_0_522016.jpg,"[195, 39, 507, 273]",1,2,0
ava_obj_0_522016.jpg,"[156, 79, 573, 391]",0,0,0
ava_obj_0_522016.jpg,"[47, 74, 431, 362]",2,1,3
ava_obj_0_522016.jpg,"[223, 0, 607, 288]",0,0,0
ava_obj_0_522016.jpg,"[248, 50, 632, 338]",0,0,0
ava_obj_0_522016.jpg,"[195, 0, 429, 312]",1,1,0
