name,bbox,score,order_pre,order_final
ava_obj_2_650701.jpg,"[0, 56, 566, 622]",3,1,2
ava_obj_2_650701.jpg,"[112, 0, 564, 452]",1,2,0
ava_obj_2_650701.jpg,"[112, 112, 451, 451]",0,0,0
ava_obj_2_650701.jpg,"[112, 224, 564, 676]",0,0,0
ava_obj_2_650701.jpg,"[137, 151, 533, 547]",0,0,0
ava_obj_2_650701.jpg,"[18, 122, 414, 518]",0,0,0
ava_obj_2_650701.jpg,"[0, 56, 566, 480]",1,1,0
ava_obj_2_650701.jpg,"[0, 168, 566, 592]",0,0,0
ava_obj_2_650701.jpg,"[56, 0, 508, 339]",0,0,0
ava_obj_2_650701.jpg,"[1, 376, 453, 715]",0,0,0
ava_obj_2_650701.jpg,"[75, 313, 527, 652]",0,0,0
ava_obj_2_650701.jpg,"[126, 209, 465, 463]",1,2,0
ava_obj_2_650701.jpg,"[26, 0, 566, 720]",4,1,1
ava_obj_2_650701.jpg,"[0, 56, 432, 632]",2,2,3
ava_obj_2_650701.jpg,"[112, 56, 436, 488]",0,0,0
ava_obj_2_650701.jpg,"[169, 16, 565, 544]",0,0,0
ava_obj_2_650701.jpg,"[146, 165, 485, 617]",0,0,0
ava_obj_2_650701.jpg,"[96, 266, 435, 718]",0,0,0
ava_obj_2_650701.jpg,"[0, 112, 566, 430]",1,1,0
ava_obj_2_650701.jpg,"[0, 224, 566, 542]",1,2,0
ava_obj_2_650701.jpg,"[0, 0, 566, 318]",0,0,0
ava_obj_2_650701.jpg,"[112, 224, 451, 415]",0,0,0
ava_obj_2_650701.jpg,"[135, 344, 531, 566]",0,0,0
ava_obj_2_650701.jpg,"[90, 397, 429, 587]",0,0,0
ava_obj_2_688692.jpg,"[0, 0, 481, 482]",0,0,0
ava_obj_2_688692.jpg,"[288, 48, 673, 433]",0,0,0
ava_obj_2_688692.jpg,"[48, 144, 337, 433]",0,0,0
ava_obj_2_688692.jpg,"[48, 0, 337, 289]",0,0,0
ava_obj_2_688692.jpg,"[155, 44, 587, 476]",2,1,3
ava_obj_2_688692.jpg,"[93, 10, 525, 442]",1,2,0
ava_obj_2_688692.jpg,"[0, 0, 642, 482]",0,0,0
ava_obj_2_688692.jpg,"[0, 0, 385, 289]",0,0,0
ava_obj_2_688692.jpg,"[0, 192, 385, 481]",0,0,0
ava_obj_2_688692.jpg,"[192, 48, 706, 433]",1,1,0
ava_obj_2_688692.jpg,"[81, 8, 513, 332]",0,0,0
ava_obj_2_688692.jpg,"[124, 118, 556, 442]",3,2,2
ava_obj_2_688692.jpg,"[0, 0, 361, 482]",0,0,0
ava_obj_2_688692.jpg,"[288, 0, 649, 482]",0,0,0
ava_obj_2_688692.jpg,"[144, 0, 505, 482]",1,1,0
ava_obj_2_688692.jpg,"[96, 48, 385, 433]",0,0,0
ava_obj_2_688692.jpg,"[223, 4, 572, 469]",1,2,0
ava_obj_2_688692.jpg,"[367, 13, 716, 478]",0,0,0
ava_obj_2_688692.jpg,"[0, 0, 720, 405]",0,0,0
ava_obj_2_688692.jpg,"[0, 96, 576, 420]",0,0,0
ava_obj_2_688692.jpg,"[0, 192, 432, 435]",0,0,0
ava_obj_2_688692.jpg,"[0, 48, 432, 291]",0,0,0
ava_obj_2_688692.jpg,"[141, 70, 573, 313]",1,2,0
ava_obj_2_688692.jpg,"[154, 170, 658, 453]",4,1,1
ava_obj_2_660163.jpg,"[132, 0, 465, 333]",3,2,2
ava_obj_2_660163.jpg,"[231, 33, 497, 299]",0,0,0
ava_obj_2_660163.jpg,"[99, 67, 365, 333]",1,1,0
ava_obj_2_660163.jpg,"[99, 132, 298, 331]",0,0,0
ava_obj_2_660163.jpg,"[264, 0, 463, 199]",0,0,0
ava_obj_2_660163.jpg,"[15, 7, 315, 307]",0,0,0
ava_obj_2_660163.jpg,"[56, 0, 500, 333]",2,2,3
ava_obj_2_660163.jpg,"[198, 0, 464, 199]",0,0,0
ava_obj_2_660163.jpg,"[0, 67, 355, 333]",0,0,0
ava_obj_2_660163.jpg,"[66, 134, 332, 333]",0,0,0
ava_obj_2_660163.jpg,"[234, 33, 500, 232]",0,0,0
ava_obj_2_660163.jpg,"[102, 79, 402, 304]",1,1,0
ava_obj_2_660163.jpg,"[231, 0, 480, 333]",1,2,0
ava_obj_2_660163.jpg,"[165, 0, 414, 333]",1,1,0
ava_obj_2_660163.jpg,"[99, 67, 298, 333]",0,0,0
ava_obj_2_660163.jpg,"[132, 134, 281, 333]",0,0,0
ava_obj_2_660163.jpg,"[301, 0, 500, 266]",0,0,0
ava_obj_2_660163.jpg,"[23, 7, 266, 331]",0,0,0
ava_obj_2_660163.jpg,"[0, 52, 500, 333]",4,1,1
ava_obj_2_660163.jpg,"[0, 165, 300, 333]",0,0,0
ava_obj_2_660163.jpg,"[100, 0, 500, 225]",0,0,0
ava_obj_2_660163.jpg,"[134, 93, 434, 261]",1,2,0
ava_obj_2_660163.jpg,"[94, 131, 394, 299]",0,0,0
ava_obj_2_660163.jpg,"[185, 75, 485, 243]",0,0,0
ava_obj_3_1306.jpg,"[48, 48, 432, 432]",1,3,0
ava_obj_3_1306.jpg,"[144, 0, 528, 384]",0,0,0
ava_obj_3_1306.jpg,"[160, 0, 640, 480]",1,1,0
ava_obj_3_1306.jpg,"[96, 96, 384, 384]",0,0,0
ava_obj_3_1306.jpg,"[144, 48, 432, 336]",0,0,0
ava_obj_3_1306.jpg,"[121, 78, 505, 462]",1,2,0
ava_obj_3_1306.jpg,"[48, 48, 432, 336]",0,0,0
ava_obj_3_1306.jpg,"[0, 0, 640, 480]",2,1,3
ava_obj_3_1306.jpg,"[192, 0, 576, 288]",0,0,0
ava_obj_3_1306.jpg,"[240, 48, 624, 336]",0,0,0
ava_obj_3_1306.jpg,"[190, 107, 574, 395]",0,0,0
ava_obj_3_1306.jpg,"[48, 121, 432, 409]",1,2,0
ava_obj_3_1306.jpg,"[192, 0, 552, 480]",1,2,0
ava_obj_3_1306.jpg,"[96, 0, 456, 480]",3,1,2
ava_obj_3_1306.jpg,"[0, 0, 360, 480]",1,4,0
ava_obj_3_1306.jpg,"[288, 17, 633, 477]",0,0,0
ava_obj_3_1306.jpg,"[150, 2, 495, 462]",1,3,0
ava_obj_3_1306.jpg,"[57, 16, 402, 476]",1,5,0
ava_obj_3_1306.jpg,"[128, 0, 640, 288]",0,0,0
ava_obj_3_1306.jpg,"[48, 48, 560, 336]",1,2,0
ava_obj_3_1306.jpg,"[48, 96, 432, 312]",0,0,0
ava_obj_3_1306.jpg,"[0, 96, 640, 456]",4,1,1
ava_obj_3_1306.jpg,"[192, 48, 576, 264]",0,0,0
ava_obj_3_1306.jpg,"[82, 128, 530, 380]",0,0,0
ava_obj_3_866932.jpg,"[0, 0, 533, 533]",0,0,0
ava_obj_3_866932.jpg,"[481, 0, 800, 319]",1,2,0
ava_obj_3_866932.jpg,"[159, 0, 585, 426]",1,4,0
ava_obj_3_866932.jpg,"[371, 0, 690, 319]",1,1,0
ava_obj_3_866932.jpg,"[0, 214, 319, 533]",0,0,0
ava_obj_3_866932.jpg,"[318, 35, 798, 515]",1,3,0
ava_obj_3_866932.jpg,"[0, 0, 710, 533]",3,4,2
ava_obj_3_866932.jpg,"[374, 0, 800, 319]",1,5,0
ava_obj_3_866932.jpg,"[212, 0, 780, 426]",4,1,1
ava_obj_3_866932.jpg,"[265, 0, 691, 319]",1,2,0
ava_obj_3_866932.jpg,"[0, 0, 426, 319]",0,0,0
ava_obj_3_866932.jpg,"[129, 151, 609, 511]",1,3,0
ava_obj_3_866932.jpg,"[477, 0, 716, 319]",1,2,0
ava_obj_3_866932.jpg,"[0, 107, 319, 533]",0,0,0
ava_obj_3_866932.jpg,"[106, 0, 505, 533]",0,0,0
ava_obj_3_866932.jpg,"[0, 0, 239, 319]",0,0,0
ava_obj_3_866932.jpg,"[53, 214, 292, 533]",0,0,0
ava_obj_3_866932.jpg,"[403, 9, 791, 526]",1,1,0
ava_obj_3_866932.jpg,"[160, 0, 800, 360]",1,1,0
ava_obj_3_866932.jpg,"[320, 0, 800, 270]",1,3,0
ava_obj_3_866932.jpg,"[159, 0, 639, 270]",1,4,0
ava_obj_3_866932.jpg,"[0, 53, 640, 413]",2,2,3
ava_obj_3_866932.jpg,"[0, 263, 480, 533]",0,0,0
ava_obj_3_866932.jpg,"[26, 5, 506, 275]",0,0,0
