name,bbox,score,order_pre,order_final
ava_obj_0_487987.jpg,"[0, 0, 471, 471]",3,1,2
ava_obj_0_487987.jpg,"[47, 188, 423, 564]",0,0,0
ava_obj_0_487987.jpg,"[187, 91, 469, 373]",0,0,0
ava_obj_0_487987.jpg,"[85, 170, 367, 452]",0,0,0
ava_obj_0_487987.jpg,"[158, 238, 440, 520]",0,0,0
ava_obj_0_487987.jpg,"[166, 16, 448, 298]",1,2,0
ava_obj_0_487987.jpg,"[0, 0, 471, 353]",1,2,0
ava_obj_0_487987.jpg,"[0, 188, 471, 541]",0,0,0
ava_obj_0_487987.jpg,"[47, 282, 423, 564]",0,0,0
ava_obj_0_487987.jpg,"[0, 94, 471, 447]",1,1,0
ava_obj_0_487987.jpg,"[94, 282, 376, 493]",0,0,0
ava_obj_0_487987.jpg,"[20, 305, 302, 516]",0,0,0
ava_obj_0_487987.jpg,"[0, 0, 471, 628]",2,1,3
ava_obj_0_487987.jpg,"[141, 141, 423, 517]",0,0,0
ava_obj_0_487987.jpg,"[0, 0, 282, 376]",0,0,0
ava_obj_0_487987.jpg,"[141, 45, 423, 421]",4,2,1
ava_obj_0_487987.jpg,"[61, 161, 343, 537]",0,0,0
ava_obj_0_487987.jpg,"[53, 70, 335, 446]",0,0,0
ava_obj_0_487987.jpg,"[0, 0, 471, 264]",1,2,0
ava_obj_0_487987.jpg,"[0, 282, 471, 546]",0,0,0
ava_obj_0_487987.jpg,"[0, 376, 376, 587]",0,0,0
ava_obj_0_487987.jpg,"[169, 76, 451, 234]",1,1,0
ava_obj_0_487987.jpg,"[47, 174, 376, 359]",0,0,0
ava_obj_0_487987.jpg,"[18, 461, 300, 619]",0,0,0
ava_obj_0_716505.jpg,"[288, 144, 576, 432]",0,0,0
ava_obj_0_716505.jpg,"[432, 144, 720, 432]",0,0,0
ava_obj_0_716505.jpg,"[96, 144, 384, 432]",3,1,2
ava_obj_0_716505.jpg,"[192, 144, 480, 432]",0,0,0
ava_obj_0_716505.jpg,"[384, 96, 672, 384]",0,0,0
ava_obj_0_716505.jpg,"[111, 27, 543, 459]",1,2,0
ava_obj_0_716505.jpg,"[240, 144, 624, 432]",0,0,0
ava_obj_0_716505.jpg,"[336, 96, 720, 384]",0,0,0
ava_obj_0_716505.jpg,"[144, 192, 528, 480]",0,0,0
ava_obj_0_716505.jpg,"[144, 96, 528, 384]",1,2,0
ava_obj_0_716505.jpg,"[192, 48, 704, 432]",0,0,0
ava_obj_0_716505.jpg,"[51, 23, 483, 347]",1,1,0
ava_obj_0_716505.jpg,"[432, 48, 720, 432]",0,0,0
ava_obj_0_716505.jpg,"[432, 144, 648, 432]",0,0,0
ava_obj_0_716505.jpg,"[288, 144, 504, 432]",0,0,0
ava_obj_0_716505.jpg,"[504, 144, 720, 432]",0,0,0
ava_obj_0_716505.jpg,"[144, 144, 360, 432]",2,2,3
ava_obj_0_716505.jpg,"[81, 8, 430, 473]",1,1,0
ava_obj_0_716505.jpg,"[288, 144, 720, 387]",0,0,0
ava_obj_0_716505.jpg,"[48, 144, 624, 468]",4,1,1
ava_obj_0_716505.jpg,"[144, 96, 720, 420]",1,2,0
ava_obj_0_716505.jpg,"[144, 144, 576, 387]",0,0,0
ava_obj_0_716505.jpg,"[192, 192, 624, 435]",0,0,0
ava_obj_0_716505.jpg,"[3, 107, 506, 389]",0,0,0
ava_obj_2_758016.jpg,"[94, 188, 477, 571]",3,1,2
ava_obj_2_758016.jpg,"[141, 282, 428, 569]",2,2,3
ava_obj_2_758016.jpg,"[94, 235, 381, 522]",0,0,0
ava_obj_2_758016.jpg,"[12, 249, 347, 584]",0,0,0
ava_obj_2_758016.jpg,"[134, 361, 469, 696]",0,0,0
ava_obj_2_758016.jpg,"[39, 404, 326, 691]",0,0,0
ava_obj_2_758016.jpg,"[94, 282, 477, 569]",1,1,0
ava_obj_2_758016.jpg,"[141, 282, 428, 497]",0,0,0
ava_obj_2_758016.jpg,"[0, 188, 479, 547]",1,2,0
ava_obj_2_758016.jpg,"[47, 282, 334, 497]",0,0,0
ava_obj_2_758016.jpg,"[94, 75, 477, 362]",0,0,0
ava_obj_2_758016.jpg,"[90, 426, 473, 713]",0,0,0
ava_obj_2_758016.jpg,"[96, 94, 479, 604]",0,0,0
ava_obj_2_758016.jpg,"[94, 188, 381, 571]",4,2,1
ava_obj_2_758016.jpg,"[0, 94, 383, 604]",0,0,0
ava_obj_2_758016.jpg,"[47, 141, 334, 524]",0,0,0
ava_obj_2_758016.jpg,"[192, 188, 479, 571]",0,0,0
ava_obj_2_758016.jpg,"[163, 299, 450, 681]",1,1,0
ava_obj_2_758016.jpg,"[94, 282, 477, 497]",1,1,0
ava_obj_2_758016.jpg,"[141, 282, 428, 443]",0,0,0
ava_obj_2_758016.jpg,"[0, 188, 479, 457]",0,0,0
ava_obj_2_758016.jpg,"[141, 329, 428, 490]",1,2,0
ava_obj_2_758016.jpg,"[14, 389, 349, 577]",0,0,0
ava_obj_2_758016.jpg,"[126, 8, 413, 169]",0,0,0
ava_obj_1_897162.jpg,"[106, 212, 531, 637]",0,0,0
ava_obj_1_897162.jpg,"[0, 318, 425, 743]",0,0,0
ava_obj_1_897162.jpg,"[0, 53, 532, 585]",2,1,3
ava_obj_1_897162.jpg,"[212, 265, 531, 584]",0,0,0
ava_obj_1_897162.jpg,"[53, 33, 478, 458]",3,2,2
ava_obj_1_897162.jpg,"[78, 246, 397, 565]",0,0,0
ava_obj_1_897162.jpg,"[0, 265, 532, 664]",0,0,0
ava_obj_1_897162.jpg,"[0, 159, 532, 558]",1,2,0
ava_obj_1_897162.jpg,"[0, 371, 532, 770]",0,0,0
ava_obj_1_897162.jpg,"[0, 53, 532, 452]",1,1,0
ava_obj_1_897162.jpg,"[24, 232, 343, 471]",0,0,0
ava_obj_1_897162.jpg,"[37, 465, 409, 744]",0,0,0
ava_obj_1_897162.jpg,"[0, 0, 532, 709]",4,1,1
