name,bbox,score,order_pre,order_final
ava_obj_0_499123.jpg,"[210, 0, 636, 426]",0,0,0
ava_obj_0_499123.jpg,"[42, 0, 468, 426]",0,0,0
ava_obj_0_499123.jpg,"[168, 42, 508, 382]",1,2,0
ava_obj_0_499123.jpg,"[5, 14, 389, 398]",0,0,0
ava_obj_0_499123.jpg,"[186, 28, 570, 412]",3,1,2
ava_obj_0_499123.jpg,"[111, 35, 495, 419]",0,0,0
ava_obj_0_499123.jpg,"[0, 0, 568, 426]",0,0,0
ava_obj_0_499123.jpg,"[186, 0, 640, 340]",0,0,0
ava_obj_0_499123.jpg,"[168, 86, 622, 426]",1,1,0
ava_obj_0_499123.jpg,"[126, 84, 466, 339]",2,2,3
ava_obj_0_499123.jpg,"[43, 128, 427, 416]",0,0,0
ava_obj_0_499123.jpg,"[97, 0, 481, 288]",0,0,0
ava_obj_0_499123.jpg,"[168, 0, 487, 426]",1,1,0
ava_obj_0_499123.jpg,"[252, 0, 571, 426]",1,2,0
ava_obj_0_499123.jpg,"[84, 0, 403, 426]",0,0,0
ava_obj_0_499123.jpg,"[0, 0, 319, 426]",0,0,0
ava_obj_0_499123.jpg,"[320, 4, 631, 418]",0,0,0
ava_obj_0_499123.jpg,"[204, 8, 515, 422]",0,0,0
ava_obj_0_499123.jpg,"[42, 84, 554, 372]",1,1,0
ava_obj_0_499123.jpg,"[126, 42, 638, 330]",0,0,0
ava_obj_0_499123.jpg,"[42, 0, 554, 288]",0,0,0
ava_obj_0_499123.jpg,"[42, 84, 426, 300]",0,0,0
ava_obj_0_499123.jpg,"[210, 84, 594, 300]",4,2,1
ava_obj_0_499123.jpg,"[105, 189, 489, 405]",0,0,0
ava_obj_0_543919.jpg,"[42, 0, 384, 342]",3,1,2
ava_obj_0_543919.jpg,"[84, 0, 340, 256]",1,2,0
ava_obj_0_543919.jpg,"[0, 0, 256, 256]",0,0,0
ava_obj_0_543919.jpg,"[42, 42, 298, 298]",0,0,0
ava_obj_0_543919.jpg,"[113, 63, 369, 319]",0,0,0
ava_obj_0_543919.jpg,"[126, 349, 382, 605]",0,0,0
ava_obj_0_543919.jpg,"[0, 0, 428, 321]",1,1,0
ava_obj_0_543919.jpg,"[42, 84, 384, 340]",0,0,0
ava_obj_0_543919.jpg,"[42, 42, 298, 234]",0,0,0
ava_obj_0_543919.jpg,"[0, 84, 256, 276]",0,0,0
ava_obj_0_543919.jpg,"[105, 258, 361, 450]",0,0,0
ava_obj_0_543919.jpg,"[57, 376, 399, 632]",1,2,0
ava_obj_0_543919.jpg,"[42, 0, 384, 456]",2,2,3
ava_obj_0_543919.jpg,"[84, 0, 340, 342]",4,1,1
ava_obj_0_543919.jpg,"[0, 0, 256, 342]",0,0,0
ava_obj_0_543919.jpg,"[42, 84, 298, 426]",0,0,0
ava_obj_0_543919.jpg,"[132, 167, 388, 508]",0,0,0
ava_obj_0_543919.jpg,"[12, 134, 311, 532]",0,0,0
ava_obj_0_543919.jpg,"[0, 0, 428, 240]",1,1,0
ava_obj_0_543919.jpg,"[0, 84, 428, 324]",0,0,0
ava_obj_0_543919.jpg,"[84, 84, 340, 228]",0,0,0
ava_obj_0_543919.jpg,"[72, 133, 371, 301]",0,0,0
ava_obj_0_543919.jpg,"[38, 245, 337, 413]",0,0,0
ava_obj_0_543919.jpg,"[55, 422, 397, 614]",1,2,0
ava_obj_0_616954.jpg,"[0, 0, 427, 427]",0,0,0
ava_obj_0_616954.jpg,"[0, 210, 427, 637]",2,1,3
ava_obj_0_616954.jpg,"[84, 0, 340, 256]",0,0,0
ava_obj_0_616954.jpg,"[171, 0, 427, 256]",0,0,0
ava_obj_0_616954.jpg,"[107, 359, 363, 615]",1,2,0
ava_obj_0_616954.jpg,"[50, 348, 306, 604]",0,0,0
ava_obj_0_616954.jpg,"[0, 0, 427, 320]",0,0,0
ava_obj_0_616954.jpg,"[0, 320, 427, 640]",1,1,0
ava_obj_0_616954.jpg,"[42, 0, 298, 192]",0,0,0
ava_obj_0_616954.jpg,"[0, 168, 427, 488]",1,2,0
ava_obj_0_616954.jpg,"[0, 84, 427, 404]",0,0,0
ava_obj_0_616954.jpg,"[63, 346, 319, 538]",0,0,0
ava_obj_0_616954.jpg,"[0, 42, 427, 611]",3,1,2
ava_obj_0_616954.jpg,"[84, 0, 425, 455]",0,0,0
ava_obj_0_616954.jpg,"[42, 185, 383, 640]",4,2,1
ava_obj_0_616954.jpg,"[126, 0, 382, 341]",0,0,0
ava_obj_0_616954.jpg,"[42, 0, 298, 341]",0,0,0
ava_obj_0_616954.jpg,"[46, 106, 344, 503]",0,0,0
ava_obj_0_616954.jpg,"[0, 0, 427, 240]",1,2,0
ava_obj_0_616954.jpg,"[0, 378, 427, 618]",1,1,0
ava_obj_0_616954.jpg,"[0, 84, 427, 324]",0,0,0
ava_obj_0_616954.jpg,"[0, 448, 341, 640]",0,0,0
ava_obj_0_616954.jpg,"[44, 356, 300, 500]",0,0,0
ava_obj_0_616954.jpg,"[143, 334, 399, 478]",0,0,0
ava_obj_0_635283.jpg,"[0, 0, 464, 464]",4,2,1
ava_obj_0_635283.jpg,"[138, 0, 602, 464]",1,1,0
ava_obj_0_635283.jpg,"[0, 0, 278, 278]",0,0,0
ava_obj_0_635283.jpg,"[230, 184, 508, 462]",0,0,0
ava_obj_0_635283.jpg,"[267, 39, 687, 459]",0,0,0
ava_obj_0_635283.jpg,"[218, 2, 638, 422]",0,0,0
ava_obj_0_635283.jpg,"[0, 0, 618, 464]",1,1,0
ava_obj_0_635283.jpg,"[0, 0, 371, 278]",0,0,0
ava_obj_0_635283.jpg,"[230, 184, 601, 462]",0,0,0
ava_obj_0_635283.jpg,"[184, 92, 678, 463]",0,0,0
ava_obj_0_635283.jpg,"[55, 75, 475, 390]",2,2,3
ava_obj_0_635283.jpg,"[121, 112, 541, 427]",0,0,0
ava_obj_0_635283.jpg,"[230, 0, 578, 464]",1,2,0
ava_obj_0_635283.jpg,"[0, 0, 348, 464]",0,0,0
ava_obj_0_635283.jpg,"[92, 0, 440, 464]",1,1,0
ava_obj_0_635283.jpg,"[46, 0, 254, 278]",0,0,0
ava_obj_0_635283.jpg,"[322, 92, 600, 463]",0,0,0
ava_obj_0_635283.jpg,"[349, 10, 689, 463]",0,0,0
ava_obj_0_635283.jpg,"[0, 0, 420, 236]",0,0,0
ava_obj_0_635283.jpg,"[0, 71, 700, 464]",3,1,2
ava_obj_0_635283.jpg,"[230, 228, 650, 464]",0,0,0
ava_obj_0_635283.jpg,"[0, 0, 560, 315]",0,0,0
ava_obj_0_635283.jpg,"[180, 173, 600, 409]",1,2,0
ava_obj_0_635283.jpg,"[11, 97, 431, 333]",0,0,0
ava_obj_0_638917.jpg,"[0, 114, 452, 566]",0,0,0
ava_obj_0_638917.jpg,"[0, 0, 452, 452]",1,1,0
ava_obj_0_638917.jpg,"[112, 112, 564, 564]",0,0,0
ava_obj_0_638917.jpg,"[0, 0, 339, 339]",1,2,0
ava_obj_0_638917.jpg,"[56, 168, 395, 507]",0,0,0
ava_obj_0_638917.jpg,"[176, 22, 624, 470]",0,0,0
ava_obj_0_638917.jpg,"[0, 182, 512, 566]",0,0,0
ava_obj_0_638917.jpg,"[112, 112, 624, 496]",1,2,0
ava_obj_0_638917.jpg,"[0, 56, 512, 440]",1,1,0
ava_obj_0_638917.jpg,"[0, 168, 384, 456]",0,0,0
ava_obj_0_638917.jpg,"[235, 41, 619, 329]",0,0,0
ava_obj_0_638917.jpg,"[239, 265, 623, 553]",0,0,0
ava_obj_0_638917.jpg,"[0, 0, 424, 566]",1,3,0
ava_obj_0_638917.jpg,"[112, 0, 536, 566]",2,2,3
ava_obj_0_638917.jpg,"[301, 0, 640, 452]",0,0,0
