name,bbox,score,order_pre,order_final
ava_obj_0_635829.jpg,"[180, 0, 635, 455]",0,0,0
ava_obj_0_635829.jpg,"[135, 0, 499, 364]",0,0,0
ava_obj_0_635829.jpg,"[356, 0, 720, 364]",1,1,0
ava_obj_0_635829.jpg,"[270, 0, 543, 273]",0,0,0
ava_obj_0_635829.jpg,"[0, 0, 455, 455]",0,0,0
ava_obj_0_635829.jpg,"[280, 22, 712, 454]",1,2,0
ava_obj_0_635829.jpg,"[90, 0, 575, 364]",0,0,0
ava_obj_0_635829.jpg,"[114, 0, 720, 455]",2,2,3
ava_obj_0_635829.jpg,"[356, 0, 720, 273]",0,0,0
ava_obj_0_635829.jpg,"[225, 0, 589, 273]",0,0,0
ava_obj_0_635829.jpg,"[176, 67, 608, 391]",1,1,0
ava_obj_0_635829.jpg,"[41, 116, 473, 440]",0,0,0
ava_obj_0_635829.jpg,"[315, 0, 656, 455]",1,2,0
ava_obj_0_635829.jpg,"[225, 0, 566, 455]",0,0,0
ava_obj_0_635829.jpg,"[135, 0, 476, 455]",0,0,0
ava_obj_0_635829.jpg,"[90, 0, 363, 364]",0,0,0
ava_obj_0_635829.jpg,"[360, 0, 564, 273]",0,0,0
ava_obj_0_635829.jpg,"[401, 25, 715, 443]",3,1,2
ava_obj_0_635829.jpg,"[0, 0, 720, 405]",4,1,1
ava_obj_0_635829.jpg,"[135, 0, 567, 243]",0,0,0
ava_obj_0_635829.jpg,"[288, 0, 720, 243]",0,0,0
ava_obj_0_635829.jpg,"[274, 93, 706, 336]",1,2,0
ava_obj_0_635829.jpg,"[75, 68, 507, 311]",0,0,0
ava_obj_0_635829.jpg,"[124, 144, 628, 427]",0,0,0
ava_obj_0_3232.jpg,"[160, 0, 640, 480]",1,1,0
ava_obj_0_3232.jpg,"[0, 0, 480, 480]",0,0,0
ava_obj_0_3232.jpg,"[144, 48, 528, 432]",0,0,0
ava_obj_0_3232.jpg,"[192, 48, 480, 336]",0,0,0
ava_obj_0_3232.jpg,"[144, 0, 432, 288]",0,0,0
ava_obj_0_3232.jpg,"[188, 94, 572, 478]",4,2,1
ava_obj_0_3232.jpg,"[0, 0, 640, 480]",1,4,0
ava_obj_0_3232.jpg,"[256, 96, 640, 384]",1,3,0
ava_obj_0_3232.jpg,"[192, 48, 576, 336]",1,1,0
ava_obj_0_3232.jpg,"[144, 0, 528, 288]",0,0,0
ava_obj_0_3232.jpg,"[112, 127, 560, 463]",3,2,2
ava_obj_0_3232.jpg,"[35, 69, 419, 357]",0,0,0
ava_obj_0_3232.jpg,"[240, 0, 600, 480]",1,1,0
ava_obj_0_3232.jpg,"[192, 0, 480, 384]",0,0,0
ava_obj_0_3232.jpg,"[0, 0, 360, 480]",0,0,0
ava_obj_0_3232.jpg,"[336, 0, 624, 384]",1,2,0
ava_obj_0_3232.jpg,"[96, 0, 456, 480]",0,0,0
ava_obj_0_3232.jpg,"[177, 7, 522, 467]",0,0,0
ava_obj_0_3232.jpg,"[0, 0, 640, 360]",1,2,0
ava_obj_0_3232.jpg,"[0, 96, 640, 456]",1,3,0
ava_obj_0_3232.jpg,"[144, 96, 528, 312]",0,0,0
ava_obj_0_3232.jpg,"[229, 144, 613, 360]",2,1,3
ava_obj_0_3232.jpg,"[40, 179, 424, 395]",0,0,0
ava_obj_0_3232.jpg,"[142, 202, 590, 454]",0,0,0
ava_obj_0_668005.jpg,"[0, 0, 480, 480]",3,1,2
ava_obj_0_668005.jpg,"[160, 0, 640, 480]",1,3,0
ava_obj_0_668005.jpg,"[96, 192, 384, 480]",0,0,0
ava_obj_0_668005.jpg,"[48, 144, 336, 432]",0,0,0
ava_obj_0_668005.jpg,"[122, 84, 506, 468]",1,2,0
ava_obj_0_668005.jpg,"[210, 68, 594, 452]",0,0,0
ava_obj_0_668005.jpg,"[0, 0, 640, 480]",1,2,0
ava_obj_0_668005.jpg,"[0, 144, 384, 432]",2,1,3
ava_obj_0_668005.jpg,"[96, 192, 480, 480]",0,0,0
ava_obj_0_668005.jpg,"[103, 82, 551, 418]",0,0,0
ava_obj_0_668005.jpg,"[117, 38, 501, 326]",0,0,0
ava_obj_0_668005.jpg,"[220, 30, 604, 318]",0,0,0
ava_obj_0_668005.jpg,"[0, 0, 360, 480]",1,2,0
ava_obj_0_668005.jpg,"[96, 0, 456, 480]",1,1,0
ava_obj_0_668005.jpg,"[280, 0, 640, 480]",0,0,0
ava_obj_0_668005.jpg,"[144, 192, 359, 480]",0,0,0
ava_obj_0_668005.jpg,"[48, 144, 263, 432]",0,0,0
ava_obj_0_668005.jpg,"[194, 2, 539, 462]",0,0,0
ava_obj_0_668005.jpg,"[0, 120, 640, 480]",4,1,1
ava_obj_0_668005.jpg,"[48, 240, 432, 456]",1,2,0
ava_obj_0_668005.jpg,"[0, 192, 384, 408]",0,0,0
ava_obj_0_668005.jpg,"[0, 96, 512, 384]",0,0,0
ava_obj_0_668005.jpg,"[223, 3, 607, 219]",0,0,0
ava_obj_0_668005.jpg,"[51, 29, 563, 317]",0,0,0
ava_obj_0_549253.jpg,"[0, 53, 533, 586]",2,5,3
ava_obj_0_549253.jpg,"[107, 0, 533, 426]",1,1,0
ava_obj_0_549253.jpg,"[53, 0, 372, 319]",1,3,0
ava_obj_0_549253.jpg,"[159, 53, 478, 372]",1,4,0
ava_obj_0_549253.jpg,"[0, 0, 426, 426]",1,2,0
ava_obj_0_549253.jpg,"[43, 179, 362, 498]",0,0,0
ava_obj_0_549253.jpg,"[0, 0, 533, 399]",1,1,0
ava_obj_0_549253.jpg,"[0, 265, 426, 584]",1,4,0
ava_obj_0_549253.jpg,"[53, 53, 372, 292]",1,3,0
ava_obj_0_549253.jpg,"[68, 192, 387, 431]",0,0,0
ava_obj_0_549253.jpg,"[156, 115, 529, 394]",1,2,0
ava_obj_0_549253.jpg,"[136, 233, 455, 472]",1,5,0
ava_obj_0_549253.jpg,"[0, 0, 480, 640]",3,4,2
ava_obj_0_549253.jpg,"[159, 0, 447, 384]",1,3,0
ava_obj_0_549253.jpg,"[149, 128, 533, 640]",1,6,0
ava_obj_0_549253.jpg,"[0, 0, 288, 384]",1,2,0
ava_obj_0_549253.jpg,"[117, 20, 490, 517]",4,1,1
ava_obj_0_549253.jpg,"[18, 97, 337, 522]",0,0,0
ava_obj_0_549253.jpg,"[0, 0, 533, 299]",1,2,0
ava_obj_0_549253.jpg,"[0, 341, 533, 640]",0,0,0
ava_obj_0_549253.jpg,"[0, 106, 533, 405]",1,1,0
ava_obj_0_549253.jpg,"[0, 265, 533, 564]",0,0,0
ava_obj_0_549253.jpg,"[10, 386, 329, 565]",0,0,0
ava_obj_0_549253.jpg,"[123, 225, 442, 404]",0,0,0
ava_obj_0_704212.jpg,"[84, 0, 425, 341]",1,2,0
ava_obj_0_704212.jpg,"[84, 42, 340, 298]",1,3,0
ava_obj_0_704212.jpg,"[209, 41, 593, 425]",1,5,0
ava_obj_0_704212.jpg,"[21, 38, 405, 422]",3,1,2
ava_obj_0_704212.jpg,"[141, 5, 525, 389]",1,4,0
ava_obj_0_704212.jpg,"[255, 0, 639, 384]",0,0,0
ava_obj_0_704212.jpg,"[84, 0, 539, 341]",4,1,1
ava_obj_0_704212.jpg,"[84, 42, 425, 298]",2,3,3
ava_obj_0_704212.jpg,"[11, 121, 395, 409]",0,0,0
ava_obj_0_704212.jpg,"[219, 33, 603, 321]",1,4,0
ava_obj_0_704212.jpg,"[152, 126, 536, 414]",0,0,0
ava_obj_0_704212.jpg,"[124, 38, 636, 422]",1,2,0
ava_obj_0_704212.jpg,"[126, 0, 382, 341]",1,3,0
ava_obj_0_704212.jpg,"[42, 0, 362, 427]",1,4,0
ava_obj_0_704212.jpg,"[126, 0, 318, 256]",0,0,0
ava_obj_0_704212.jpg,"[210, 0, 466, 341]",1,1,0
ava_obj_0_704212.jpg,"[245, 2, 556, 416]",0,0,0
ava_obj_0_704212.jpg,"[145, 12, 456, 426]",1,2,0
ava_obj_0_704212.jpg,"[42, 42, 554, 330]",1,2,0
ava_obj_0_704212.jpg,"[42, 84, 426, 300]",1,3,0
ava_obj_0_704212.jpg,"[128, 84, 640, 372]",1,1,0
ava_obj_0_704212.jpg,"[128, 0, 640, 288]",1,4,0
ava_obj_0_704212.jpg,"[42, 126, 554, 414]",0,0,0
