name,bbox,score,order_pre,order_final
ava_obj_0_540800.jpg,"[88, 0, 353, 265]",0,0,0
ava_obj_0_540800.jpg,"[44, 0, 398, 354]",2,2,3
ava_obj_0_540800.jpg,"[132, 375, 397, 640]",0,0,0
ava_obj_0_540800.jpg,"[89, 286, 443, 640]",0,0,0
ava_obj_0_540800.jpg,"[0, 286, 354, 640]",0,0,0
ava_obj_0_540800.jpg,"[0, 74, 354, 428]",4,1,1
ava_obj_0_540800.jpg,"[44, 0, 398, 265]",1,1,0
ava_obj_0_540800.jpg,"[89, 375, 443, 640]",0,0,0
ava_obj_0_540800.jpg,"[132, 0, 397, 199]",0,0,0
ava_obj_0_540800.jpg,"[0, 375, 354, 640]",0,0,0
ava_obj_0_540800.jpg,"[176, 352, 441, 551]",0,0,0
ava_obj_0_540800.jpg,"[164, 92, 429, 290]",1,2,0
ava_obj_0_540800.jpg,"[44, 0, 398, 472]",3,1,2
ava_obj_0_540800.jpg,"[88, 0, 353, 354]",1,2,0
ava_obj_0_540800.jpg,"[88, 286, 353, 640]",0,0,0
ava_obj_0_540800.jpg,"[88, 168, 442, 640]",0,0,0
ava_obj_0_540800.jpg,"[0, 126, 310, 539]",0,0,0
ava_obj_0_540800.jpg,"[123, 187, 388, 540]",0,0,0
ava_obj_0_540800.jpg,"[44, 0, 398, 199]",1,2,0
ava_obj_0_540800.jpg,"[0, 391, 443, 640]",0,0,0
ava_obj_0_540800.jpg,"[0, 44, 354, 243]",1,1,0
ava_obj_0_540800.jpg,"[88, 44, 353, 193]",0,0,0
ava_obj_0_540800.jpg,"[88, 352, 442, 551]",0,0,0
ava_obj_0_540800.jpg,"[17, 313, 282, 462]",0,0,0
ava_obj_0_537091.jpg,"[0, 120, 363, 483]",1,1,0
ava_obj_0_537091.jpg,"[60, 122, 544, 606]",4,2,1
ava_obj_0_537091.jpg,"[120, 180, 483, 543]",0,0,0
ava_obj_0_537091.jpg,"[0, 0, 484, 484]",0,0,0
ava_obj_0_537091.jpg,"[0, 243, 363, 606]",0,0,0
ava_obj_0_537091.jpg,"[224, 198, 587, 561]",0,0,0
ava_obj_0_537091.jpg,"[0, 120, 484, 483]",0,0,0
ava_obj_0_537091.jpg,"[0, 152, 606, 606]",3,1,2
ava_obj_0_537091.jpg,"[0, 180, 363, 452]",0,0,0
ava_obj_0_537091.jpg,"[120, 180, 483, 452]",0,0,0
ava_obj_0_537091.jpg,"[122, 120, 606, 483]",0,0,0
ava_obj_0_537091.jpg,"[117, 232, 541, 550]",1,2,0
ava_obj_0_537091.jpg,"[0, 0, 363, 484]",0,0,0
ava_obj_0_537091.jpg,"[120, 120, 483, 604]",2,1,3
ava_obj_0_537091.jpg,"[0, 122, 363, 606]",0,0,0
ava_obj_0_537091.jpg,"[240, 120, 603, 604]",0,0,0
ava_obj_0_537091.jpg,"[180, 180, 452, 543]",0,0,0
ava_obj_0_537091.jpg,"[85, 21, 448, 505]",1,2,0
ava_obj_0_537091.jpg,"[60, 180, 544, 452]",0,0,0
ava_obj_0_537091.jpg,"[0, 240, 606, 580]",1,1,0
ava_obj_0_537091.jpg,"[0, 334, 484, 606]",0,0,0
ava_obj_0_537091.jpg,"[0, 60, 484, 332]",1,2,0
ava_obj_0_537091.jpg,"[0, 240, 363, 444]",0,0,0
ava_obj_0_537091.jpg,"[166, 349, 529, 553]",0,0,0
ava_obj_0_662554.jpg,"[262, 114, 720, 572]",0,0,0
ava_obj_0_662554.jpg,"[57, 0, 630, 573]",3,1,2
ava_obj_0_662554.jpg,"[285, 114, 628, 457]",0,0,0
ava_obj_0_662554.jpg,"[47, 27, 479, 459]",2,2,3
ava_obj_0_662554.jpg,"[253, 7, 685, 439]",0,0,0
ava_obj_0_662554.jpg,"[88, 107, 520, 539]",0,0,0
ava_obj_0_662554.jpg,"[144, 141, 720, 573]",0,0,0
ava_obj_0_662554.jpg,"[0, 0, 720, 540]",4,1,1
ava_obj_0_662554.jpg,"[285, 171, 717, 495]",0,0,0
ava_obj_0_662554.jpg,"[171, 171, 603, 495]",0,0,0
ava_obj_0_662554.jpg,"[114, 0, 546, 324]",1,2,0
ava_obj_0_662554.jpg,"[231, 75, 663, 399]",0,0,0
ava_obj_0_662554.jpg,"[228, 114, 571, 572]",0,0,0
ava_obj_0_662554.jpg,"[291, 0, 720, 573]",0,0,0
ava_obj_0_662554.jpg,"[342, 114, 599, 457]",0,0,0
ava_obj_0_662554.jpg,"[0, 0, 257, 343]",0,0,0
ava_obj_0_662554.jpg,"[127, 8, 515, 525]",1,2,0
ava_obj_0_662554.jpg,"[23, 43, 411, 560]",1,1,0
ava_obj_0_662554.jpg,"[0, 114, 720, 519]",1,2,0
ava_obj_0_662554.jpg,"[144, 57, 720, 381]",0,0,0
ava_obj_0_662554.jpg,"[288, 114, 720, 357]",0,0,0
ava_obj_0_662554.jpg,"[143, 105, 575, 348]",0,0,0
ava_obj_0_662554.jpg,"[107, 2, 611, 285]",1,1,0
ava_obj_0_662554.jpg,"[48, 274, 552, 557]",0,0,0
ava_obj_0_658561.jpg,"[0, 47, 383, 430]",0,0,0
ava_obj_0_658561.jpg,"[282, 47, 569, 334]",0,0,0
ava_obj_0_658561.jpg,"[0, 94, 287, 381]",0,0,0
ava_obj_0_658561.jpg,"[376, 47, 663, 334]",0,0,0
ava_obj_0_658561.jpg,"[94, 0, 573, 479]",1,1,0
ava_obj_0_658561.jpg,"[239, 27, 671, 459]",1,2,0
ava_obj_0_658561.jpg,"[0, 94, 383, 381]",0,0,0
ava_obj_0_658561.jpg,"[47, 47, 430, 334]",0,0,0
ava_obj_0_658561.jpg,"[188, 94, 571, 381]",0,0,0
ava_obj_0_658561.jpg,"[94, 47, 604, 430]",3,1,2
ava_obj_0_658561.jpg,"[337, 47, 720, 334]",0,0,0
ava_obj_0_658561.jpg,"[12, 129, 444, 453]",1,2,0
ava_obj_0_658561.jpg,"[0, 47, 287, 430]",0,0,0
ava_obj_0_658561.jpg,"[376, 47, 663, 430]",0,0,0
ava_obj_0_658561.jpg,"[282, 47, 569, 430]",1,2,0
ava_obj_0_658561.jpg,"[329, 0, 616, 383]",0,0,0
ava_obj_0_658561.jpg,"[433, 0, 720, 383]",0,0,0
ava_obj_0_658561.jpg,"[180, 8, 529, 473]",1,1,0
ava_obj_0_658561.jpg,"[0, 47, 576, 371]",2,2,3
ava_obj_0_658561.jpg,"[141, 94, 573, 336]",0,0,0
ava_obj_0_658561.jpg,"[0, 74, 720, 479]",4,1,1
ava_obj_0_658561.jpg,"[141, 0, 717, 324]",0,0,0
ava_obj_0_658561.jpg,"[0, 94, 432, 336]",0,0,0
ava_obj_0_658561.jpg,"[281, 202, 713, 445]",0,0,0
ava_obj_0_1341.jpg,"[0, 0, 427, 427]",2,1,3
ava_obj_0_1341.jpg,"[84, 0, 340, 256]",0,0,0
ava_obj_0_1341.jpg,"[42, 126, 383, 467]",0,0,0
ava_obj_0_1341.jpg,"[0, 168, 427, 595]",0,0,0
ava_obj_0_1341.jpg,"[42, 30, 298, 286]",1,2,0
ava_obj_0_1341.jpg,"[44, 252, 300, 508]",0,0,0
ava_obj_0_1341.jpg,"[0, 0, 427, 320]",1,1,0
ava_obj_0_1341.jpg,"[0, 84, 427, 404]",1,2,0
ava_obj_0_1341.jpg,"[0, 210, 427, 530]",0,0,0
ava_obj_0_1341.jpg,"[84, 0, 340, 192]",0,0,0
ava_obj_0_1341.jpg,"[42, 168, 383, 424]",0,0,0
ava_obj_0_1341.jpg,"[156, 95, 412, 287]",0,0,0
ava_obj_0_1341.jpg,"[0, 0, 427, 569]",4,1,1
