name,bbox,score,order_pre,order_final
ava_obj_0_354733.jpg,"[82, 0, 501, 419]",1,2,0
ava_obj_0_354733.jpg,"[246, 41, 497, 292]",0,0,0
ava_obj_0_354733.jpg,"[246, 0, 581, 335]",0,0,0
ava_obj_0_354733.jpg,"[12, 32, 390, 410]",2,1,3
ava_obj_0_354733.jpg,"[179, 36, 557, 414]",0,0,0
ava_obj_0_354733.jpg,"[247, 29, 625, 407]",0,0,0
ava_obj_0_354733.jpg,"[41, 0, 487, 335]",3,1,2
ava_obj_0_354733.jpg,"[72, 0, 630, 419]",0,0,0
ava_obj_0_354733.jpg,"[123, 82, 458, 333]",0,0,0
ava_obj_0_354733.jpg,"[41, 84, 487, 419]",4,2,1
ava_obj_0_354733.jpg,"[246, 41, 581, 292]",0,0,0
ava_obj_0_354733.jpg,"[149, 20, 527, 303]",0,0,0
ava_obj_0_354733.jpg,"[246, 41, 497, 376]",0,0,0
ava_obj_0_354733.jpg,"[164, 0, 478, 419]",1,2,0
ava_obj_0_354733.jpg,"[287, 41, 475, 292]",0,0,0
ava_obj_0_354733.jpg,"[246, 82, 434, 333]",0,0,0
ava_obj_0_354733.jpg,"[79, 10, 385, 418]",1,1,0
ava_obj_0_354733.jpg,"[287, 7, 593, 415]",0,0,0
ava_obj_0_354733.jpg,"[41, 41, 545, 324]",0,0,0
ava_obj_0_354733.jpg,"[82, 82, 460, 294]",1,2,0
ava_obj_0_354733.jpg,"[0, 65, 630, 419]",1,1,0
ava_obj_0_354733.jpg,"[46, 6, 487, 254]",0,0,0
ava_obj_0_354733.jpg,"[96, 139, 474, 351]",0,0,0
ava_obj_0_354733.jpg,"[219, 78, 597, 290]",0,0,0
ava_obj_0_519150.jpg,"[0, 0, 469, 469]",2,2,3
ava_obj_0_519150.jpg,"[46, 359, 327, 640]",0,0,0
ava_obj_0_519150.jpg,"[0, 171, 469, 640]",1,1,0
ava_obj_0_519150.jpg,"[46, 46, 327, 327]",0,0,0
ava_obj_0_519150.jpg,"[119, 284, 447, 612]",0,0,0
ava_obj_0_519150.jpg,"[130, 46, 411, 327]",0,0,0
ava_obj_0_519150.jpg,"[46, 429, 327, 640]",0,0,0
ava_obj_0_519150.jpg,"[0, 46, 375, 327]",1,2,0
ava_obj_0_519150.jpg,"[0, 289, 469, 640]",0,0,0
ava_obj_0_519150.jpg,"[92, 0, 467, 281]",0,0,0
