name,bbox,score,order_pre,order_final
ava_obj_2_806718.jpg,"[0, 0, 478, 478]",0,0,0
ava_obj_2_806718.jpg,"[188, 0, 666, 478]",0,0,0
ava_obj_2_806718.jpg,"[338, 0, 720, 382]",0,0,0
ava_obj_2_806718.jpg,"[122, 35, 554, 467]",4,1,1
ava_obj_2_806718.jpg,"[278, 27, 710, 459]",3,2,2
ava_obj_2_806718.jpg,"[167, 14, 599, 446]",0,0,0
ava_obj_2_806718.jpg,"[83, 0, 720, 478]",0,0,0
ava_obj_2_806718.jpg,"[0, 47, 509, 429]",2,2,3
ava_obj_2_806718.jpg,"[47, 47, 429, 333]",0,0,0
ava_obj_2_806718.jpg,"[47, 188, 429, 474]",0,0,0
ava_obj_2_806718.jpg,"[117, 110, 549, 434]",0,0,0
ava_obj_2_806718.jpg,"[274, 1, 706, 325]",1,1,0
ava_obj_2_806718.jpg,"[94, 0, 452, 478]",0,0,0
ava_obj_2_806718.jpg,"[0, 0, 358, 478]",0,0,0
ava_obj_2_806718.jpg,"[188, 0, 546, 478]",1,1,0
ava_obj_2_806718.jpg,"[423, 47, 709, 429]",0,0,0
ava_obj_2_806718.jpg,"[314, 9, 663, 474]",0,0,0
ava_obj_2_806718.jpg,"[253, 7, 602, 472]",1,2,0
ava_obj_2_806718.jpg,"[0, 47, 720, 452]",1,1,0
ava_obj_2_806718.jpg,"[0, 47, 432, 290]",0,0,0
ava_obj_2_806718.jpg,"[0, 0, 576, 324]",0,0,0
ava_obj_2_806718.jpg,"[0, 188, 432, 431]",0,0,0
ava_obj_2_806718.jpg,"[123, 103, 555, 346]",0,0,0
ava_obj_2_806718.jpg,"[247, 19, 679, 262]",1,2,0
ava_obj_2_658091.jpg,"[68, 0, 640, 572]",0,0,0
ava_obj_2_658091.jpg,"[0, 114, 457, 571]",1,1,0
ava_obj_2_658091.jpg,"[114, 114, 457, 457]",0,0,0
ava_obj_2_658091.jpg,"[185, 78, 569, 462]",0,0,0
ava_obj_2_658091.jpg,"[90, 8, 474, 392]",0,0,0
ava_obj_2_658091.jpg,"[14, 48, 398, 432]",2,2,3
ava_obj_2_658091.jpg,"[0, 0, 640, 480]",1,2,0
ava_obj_2_658091.jpg,"[0, 114, 512, 498]",1,1,0
ava_obj_2_658091.jpg,"[114, 114, 498, 402]",0,0,0
ava_obj_2_658091.jpg,"[230, 51, 614, 339]",0,0,0
ava_obj_2_658091.jpg,"[79, 226, 527, 562]",0,0,0
ava_obj_2_658091.jpg,"[165, 172, 613, 508]",0,0,0
ava_obj_2_658091.jpg,"[114, 57, 457, 514]",0,0,0
ava_obj_2_658091.jpg,"[0, 0, 429, 572]",4,1,1
ava_obj_2_658091.jpg,"[171, 57, 428, 400]",0,0,0
ava_obj_2_658091.jpg,"[211, 0, 640, 572]",0,0,0
ava_obj_2_658091.jpg,"[160, 30, 544, 542]",0,0,0
ava_obj_2_658091.jpg,"[60, 3, 444, 515]",3,2,2
ava_obj_2_658091.jpg,"[0, 114, 640, 474]",1,2,0
ava_obj_2_658091.jpg,"[114, 114, 498, 330]",0,0,0
ava_obj_2_658091.jpg,"[0, 57, 512, 345]",1,1,0
ava_obj_2_658091.jpg,"[101, 303, 485, 519]",0,0,0
ava_obj_2_658091.jpg,"[116, 218, 628, 506]",0,0,0
ava_obj_2_658091.jpg,"[180, 4, 628, 256]",0,0,0
ava_obj_2_563448.jpg,"[97, 0, 640, 543]",4,1,1
ava_obj_2_563448.jpg,"[0, 108, 434, 542]",0,0,0
ava_obj_2_563448.jpg,"[108, 218, 433, 543]",0,0,0
ava_obj_2_563448.jpg,"[315, 108, 640, 433]",0,0,0
ava_obj_2_563448.jpg,"[216, 218, 541, 543]",0,0,0
ava_obj_2_563448.jpg,"[182, 20, 566, 404]",1,2,0
ava_obj_2_563448.jpg,"[0, 63, 640, 543]",2,2,3
ava_obj_2_563448.jpg,"[128, 0, 640, 384]",0,0,0
ava_obj_2_563448.jpg,"[108, 255, 492, 543]",0,0,0
ava_obj_2_563448.jpg,"[162, 216, 546, 504]",1,1,0
ava_obj_2_563448.jpg,"[216, 255, 600, 543]",0,0,0
ava_obj_2_563448.jpg,"[68, 40, 452, 328]",0,0,0
ava_obj_2_563448.jpg,"[216, 0, 623, 543]",3,1,2
ava_obj_2_563448.jpg,"[108, 0, 515, 543]",1,2,0
ava_obj_2_563448.jpg,"[315, 109, 640, 543]",0,0,0
ava_obj_2_563448.jpg,"[315, 0, 640, 434]",0,0,0
ava_obj_2_563448.jpg,"[0, 0, 407, 543]",0,0,0
ava_obj_2_563448.jpg,"[60, 21, 444, 533]",0,0,0
ava_obj_2_563448.jpg,"[0, 162, 640, 522]",1,1,0
ava_obj_2_563448.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_2_563448.jpg,"[128, 255, 640, 543]",0,0,0
ava_obj_2_563448.jpg,"[108, 327, 492, 543]",0,0,0
ava_obj_2_563448.jpg,"[124, 17, 572, 269]",0,0,0
ava_obj_2_563448.jpg,"[184, 229, 568, 445]",1,2,0
ava_obj_2_909363.jpg,"[0, 41, 246, 287]",1,2,0
ava_obj_2_909363.jpg,"[287, 0, 697, 410]",0,0,0
ava_obj_2_909363.jpg,"[41, 0, 451, 410]",1,1,0
ava_obj_2_909363.jpg,"[41, 0, 287, 246]",0,0,0
ava_obj_2_909363.jpg,"[174, 18, 562, 406]",0,0,0
ava_obj_2_909363.jpg,"[398, 13, 786, 401]",0,0,0
ava_obj_2_909363.jpg,"[41, 0, 478, 328]",0,0,0
ava_obj_2_909363.jpg,"[246, 82, 683, 410]",0,0,0
ava_obj_2_909363.jpg,"[41, 41, 369, 287]",1,1,0
ava_obj_2_909363.jpg,"[309, 6, 789, 366]",0,0,0
ava_obj_2_909363.jpg,"[116, 8, 596, 368]",0,0,0
ava_obj_2_909363.jpg,"[25, 46, 505, 406]",1,2,0
ava_obj_2_909363.jpg,"[0, 0, 246, 328]",2,1,3
ava_obj_2_909363.jpg,"[451, 82, 697, 410]",0,0,0
ava_obj_2_909363.jpg,"[41, 41, 225, 287]",1,2,0
ava_obj_2_909363.jpg,"[369, 0, 676, 410]",0,0,0
ava_obj_2_909363.jpg,"[246, 0, 553, 410]",0,0,0
ava_obj_2_909363.jpg,"[33, 0, 316, 377]",0,0,0
ava_obj_2_909363.jpg,"[0, 0, 728, 410]",4,1,1
ava_obj_2_909363.jpg,"[0, 41, 437, 287]",3,2,2
ava_obj_2_909363.jpg,"[246, 82, 683, 328]",0,0,0
ava_obj_2_909363.jpg,"[217, 82, 800, 410]",0,0,0
ava_obj_2_909363.jpg,"[74, 12, 554, 282]",0,0,0
ava_obj_2_909363.jpg,"[28, 64, 588, 379]",0,0,0
ava_obj_1_322413.jpg,"[0, 0, 437, 437]",0,0,0
ava_obj_1_322413.jpg,"[203, 0, 640, 437]",0,0,0
ava_obj_1_322413.jpg,"[172, 0, 521, 349]",0,0,0
ava_obj_1_322413.jpg,"[0, 0, 262, 262]",1,2,0
ava_obj_1_322413.jpg,"[112, 39, 496, 423]",1,1,0
ava_obj_1_322413.jpg,"[186, 40, 570, 424]",0,0,0
ava_obj_1_322413.jpg,"[0, 0, 582, 437]",0,0,0
ava_obj_1_322413.jpg,"[0, 0, 349, 262]",1,2,0
ava_obj_1_322413.jpg,"[174, 0, 640, 349]",0,0,0
ava_obj_1_322413.jpg,"[172, 0, 521, 262]",0,0,0
