name,bbox,score,order_pre,order_final
ava_obj_1_499075.jpg,"[225, 0, 676, 451]",1,3,0
ava_obj_1_499075.jpg,"[360, 91, 720, 451]",0,0,0
ava_obj_1_499075.jpg,"[450, 135, 720, 405]",0,0,0
ava_obj_1_499075.jpg,"[180, 91, 540, 451]",1,2,0
ava_obj_1_499075.jpg,"[360, 0, 720, 360]",0,0,0
ava_obj_1_499075.jpg,"[53, 2, 485, 434]",1,1,0
ava_obj_1_499075.jpg,"[119, 0, 720, 451]",0,0,0
ava_obj_1_499075.jpg,"[225, 181, 585, 451]",1,2,0
ava_obj_1_499075.jpg,"[360, 135, 720, 405]",0,0,0
ava_obj_1_499075.jpg,"[158, 13, 590, 337]",1,3,0
ava_obj_1_499075.jpg,"[207, 98, 639, 422]",1,1,0
ava_obj_1_499075.jpg,"[262, 21, 694, 345]",1,4,0
ava_obj_1_499075.jpg,"[382, 0, 720, 451]",0,0,0
ava_obj_1_499075.jpg,"[270, 0, 608, 451]",1,3,0
ava_obj_1_499075.jpg,"[0, 45, 202, 315]",0,0,0
ava_obj_1_499075.jpg,"[360, 90, 630, 450]",0,0,0
ava_obj_1_499075.jpg,"[180, 0, 518, 451]",1,2,0
ava_obj_1_499075.jpg,"[74, 5, 388, 423]",1,1,0
ava_obj_1_499075.jpg,"[144, 127, 720, 451]",0,0,0
ava_obj_1_499075.jpg,"[270, 208, 702, 451]",0,0,0
ava_obj_1_499075.jpg,"[144, 45, 720, 369]",1,1,0
ava_obj_1_499075.jpg,"[0, 90, 576, 414]",3,3,2
ava_obj_1_499075.jpg,"[0, 0, 576, 324]",4,2,1
ava_obj_1_499075.jpg,"[216, 160, 648, 403]",2,0,3
ava_obj_0_674316.jpg,"[0, 0, 392, 392]",1,1,0
ava_obj_0_674316.jpg,"[78, 78, 313, 313]",2,2,3
ava_obj_0_674316.jpg,"[6, 246, 319, 559]",0,0,0
ava_obj_0_674316.jpg,"[22, 398, 257, 633]",0,0,0
ava_obj_0_674316.jpg,"[48, 284, 283, 519]",0,0,0
ava_obj_0_674316.jpg,"[22, 180, 257, 415]",0,0,0
ava_obj_0_674316.jpg,"[0, 78, 392, 372]",1,2,0
ava_obj_0_674316.jpg,"[0, 0, 392, 294]",1,1,0
ava_obj_0_674316.jpg,"[0, 346, 392, 640]",0,0,0
ava_obj_0_674316.jpg,"[78, 117, 313, 293]",0,0,0
ava_obj_0_674316.jpg,"[0, 195, 392, 489]",0,0,0
ava_obj_0_674316.jpg,"[5, 91, 279, 296]",0,0,0
ava_obj_0_674316.jpg,"[0, 39, 392, 561]",3,2,2
ava_obj_0_674316.jpg,"[78, 39, 313, 352]",4,1,1
ava_obj_0_674316.jpg,"[39, 0, 352, 418]",0,0,0
ava_obj_0_674316.jpg,"[39, 222, 352, 640]",0,0,0
ava_obj_0_674316.jpg,"[2, 265, 276, 630]",0,0,0
ava_obj_0_674316.jpg,"[130, 75, 365, 388]",0,0,0
ava_obj_0_674316.jpg,"[0, 78, 392, 298]",1,2,0
ava_obj_0_674316.jpg,"[0, 195, 392, 415]",0,0,0
ava_obj_0_674316.jpg,"[0, 390, 392, 610]",0,0,0
ava_obj_0_674316.jpg,"[0, 0, 392, 220]",1,1,0
ava_obj_0_674316.jpg,"[57, 148, 292, 280]",0,0,0
ava_obj_0_674316.jpg,"[32, 448, 267, 580]",0,0,0
ava_obj_1_10689.jpg,"[0, 92, 372, 464]",1,2,0
ava_obj_1_10689.jpg,"[0, 138, 279, 417]",2,1,3
ava_obj_1_10689.jpg,"[0, 138, 465, 603]",1,3,0
ava_obj_1_10689.jpg,"[46, 92, 325, 371]",0,0,0
ava_obj_1_10689.jpg,"[0, 46, 279, 325]",0,0,0
ava_obj_1_10689.jpg,"[81, 262, 360, 541]",0,0,0
ava_obj_1_10689.jpg,"[0, 92, 372, 371]",1,1,0
ava_obj_1_10689.jpg,"[0, 138, 279, 347]",1,2,0
ava_obj_1_10689.jpg,"[0, 0, 465, 348]",0,0,0
ava_obj_1_10689.jpg,"[46, 92, 325, 301]",0,0,0
ava_obj_1_10689.jpg,"[0, 361, 372, 640]",0,0,0
ava_obj_1_10689.jpg,"[40, 15, 365, 258]",0,0,0
ava_obj_1_10689.jpg,"[0, 20, 465, 640]",4,1,1
ava_obj_1_10689.jpg,"[0, 92, 279, 463]",3,2,2
ava_obj_1_10689.jpg,"[0, 0, 372, 496]",1,3,0
ava_obj_1_10689.jpg,"[46, 0, 325, 371]",0,0,0
ava_obj_1_10689.jpg,"[30, 151, 355, 584]",0,0,0
ava_obj_1_10689.jpg,"[94, 75, 373, 447]",0,0,0
ava_obj_1_10689.jpg,"[0, 138, 372, 347]",1,1,0
ava_obj_1_10689.jpg,"[0, 138, 279, 294]",1,2,0
ava_obj_1_10689.jpg,"[0, 46, 465, 307]",0,0,0
ava_obj_1_10689.jpg,"[0, 379, 465, 640]",0,0,0
ava_obj_1_10689.jpg,"[46, 484, 325, 640]",0,0,0
ava_obj_1_10689.jpg,"[70, 453, 349, 609]",0,0,0
ava_obj_0_945170.jpg,"[204, 51, 615, 462]",1,2,0
ava_obj_0_945170.jpg,"[0, 103, 411, 514]",0,0,0
ava_obj_0_945170.jpg,"[102, 102, 513, 513]",1,1,0
ava_obj_0_945170.jpg,"[306, 51, 614, 359]",0,0,0
ava_obj_0_945170.jpg,"[268, 17, 748, 497]",0,0,0
ava_obj_0_945170.jpg,"[7, 12, 487, 492]",0,0,0
ava_obj_0_945170.jpg,"[51, 0, 736, 514]",0,0,0
ava_obj_0_945170.jpg,"[0, 102, 548, 513]",3,2,2
ava_obj_0_945170.jpg,"[255, 51, 666, 359]",4,1,1
ava_obj_0_945170.jpg,"[252, 0, 800, 411]",0,0,0
ava_obj_0_945170.jpg,"[204, 0, 615, 308]",0,0,0
ava_obj_0_945170.jpg,"[138, 128, 618, 488]",0,0,0
ava_obj_0_945170.jpg,"[306, 0, 614, 411]",1,3,0
ava_obj_0_945170.jpg,"[0, 0, 385, 514]",0,0,0
ava_obj_0_945170.jpg,"[102, 0, 487, 514]",0,0,0
ava_obj_0_945170.jpg,"[357, 103, 665, 514]",1,1,0
ava_obj_0_945170.jpg,"[255, 103, 563, 514]",0,0,0
ava_obj_0_945170.jpg,"[400, 18, 749, 483]",2,2,3
ava_obj_0_945170.jpg,"[51, 153, 691, 513]",0,0,0
ava_obj_0_945170.jpg,"[102, 0, 742, 360]",1,2,0
ava_obj_0_945170.jpg,"[153, 51, 633, 321]",1,1,0
ava_obj_0_945170.jpg,"[16, 51, 496, 321]",0,0,0
ava_obj_0_945170.jpg,"[68, 114, 548, 384]",0,0,0
ava_obj_0_945170.jpg,"[246, 238, 726, 508]",0,0,0
ava_obj_1_770059.jpg,"[0, 0, 457, 457]",1,1,0
ava_obj_1_770059.jpg,"[183, 0, 640, 457]",0,0,0
ava_obj_1_770059.jpg,"[366, 90, 640, 364]",0,0,0
ava_obj_1_770059.jpg,"[115, 7, 499, 391]",0,0,0
ava_obj_1_770059.jpg,"[160, 66, 544, 450]",0,0,0
ava_obj_1_770059.jpg,"[81, 69, 465, 453]",1,2,0
ava_obj_1_770059.jpg,"[31, 0, 640, 457]",1,2,0
ava_obj_1_770059.jpg,"[0, 0, 487, 365]",3,1,2
ava_obj_1_770059.jpg,"[275, 90, 640, 364]",0,0,0
ava_obj_1_770059.jpg,"[0, 92, 487, 457]",0,0,0
ava_obj_1_770059.jpg,"[0, 135, 365, 409]",0,0,0
ava_obj_1_770059.jpg,"[133, 156, 517, 444]",0,0,0
ava_obj_1_770059.jpg,"[366, 45, 640, 410]",0,0,0
ava_obj_1_770059.jpg,"[225, 0, 567, 457]",1,1,0
ava_obj_1_770059.jpg,"[0, 0, 342, 457]",0,0,0
ava_obj_1_770059.jpg,"[315, 0, 589, 365]",1,2,0
ava_obj_1_770059.jpg,"[90, 0, 364, 365]",0,0,0
ava_obj_1_770059.jpg,"[146, 21, 457, 435]",0,0,0
ava_obj_1_770059.jpg,"[0, 0, 640, 360]",4,1,1
ava_obj_1_770059.jpg,"[128, 90, 640, 378]",0,0,0
ava_obj_1_770059.jpg,"[0, 135, 512, 423]",0,0,0
ava_obj_1_770059.jpg,"[256, 135, 640, 351]",0,0,0
ava_obj_1_770059.jpg,"[189, 87, 573, 303]",1,3,0
ava_obj_1_770059.jpg,"[51, 6, 499, 258]",2,2,3
