name,bbox,score,order_pre,order_final
ava_obj_0_354733.jpg,"[82, 0, 501, 419]",1,1,0
ava_obj_0_354733.jpg,"[246, 41, 497, 292]",0,0,0
ava_obj_0_354733.jpg,"[246, 0, 581, 335]",0,0,0
ava_obj_0_354733.jpg,"[12, 32, 390, 410]",0,0,0
ava_obj_0_354733.jpg,"[179, 36, 557, 414]",0,0,0
ava_obj_0_354733.jpg,"[247, 29, 625, 407]",1,2,0
ava_obj_0_354733.jpg,"[41, 0, 487, 335]",3,1,2
ava_obj_0_354733.jpg,"[72, 0, 630, 419]",0,0,0
ava_obj_0_354733.jpg,"[123, 82, 458, 333]",0,0,0
ava_obj_0_354733.jpg,"[41, 84, 487, 419]",0,0,0
ava_obj_0_354733.jpg,"[246, 41, 581, 292]",1,2,0
ava_obj_0_354733.jpg,"[149, 20, 527, 303]",0,0,0
ava_obj_0_354733.jpg,"[246, 41, 497, 376]",2,1,3
ava_obj_0_354733.jpg,"[164, 0, 478, 419]",4,2,1
ava_obj_0_354733.jpg,"[287, 41, 475, 292]",0,0,0
ava_obj_0_354733.jpg,"[246, 82, 434, 333]",0,0,0
ava_obj_0_354733.jpg,"[79, 10, 385, 418]",0,0,0
ava_obj_0_354733.jpg,"[287, 7, 593, 415]",0,0,0
ava_obj_0_354733.jpg,"[41, 41, 545, 324]",0,0,0
ava_obj_0_354733.jpg,"[82, 82, 460, 294]",1,1,0
ava_obj_0_354733.jpg,"[0, 65, 630, 419]",0,0,0
ava_obj_0_354733.jpg,"[46, 6, 487, 254]",0,0,0
ava_obj_0_354733.jpg,"[96, 139, 474, 351]",0,0,0
ava_obj_0_354733.jpg,"[219, 78, 597, 290]",1,2,0
ava_obj_0_357759.jpg,"[192, 0, 513, 321]",1,2,0
ava_obj_0_357759.jpg,"[319, 0, 640, 321]",0,0,0
ava_obj_0_357759.jpg,"[288, 32, 544, 288]",0,0,0
ava_obj_0_357759.jpg,"[96, 0, 417, 321]",0,0,0
ava_obj_0_357759.jpg,"[17, 1, 328, 312]",0,0,0
ava_obj_0_357759.jpg,"[268, 0, 579, 311]",4,1,1
ava_obj_0_357759.jpg,"[160, 0, 588, 321]",1,2,0
ava_obj_0_357759.jpg,"[288, 64, 630, 320]",1,1,0
ava_obj_0_357759.jpg,"[32, 0, 460, 321]",0,0,0
ava_obj_0_357759.jpg,"[121, 7, 505, 295]",0,0,0
ava_obj_0_357759.jpg,"[239, 5, 623, 293]",1,3,0
ava_obj_0_357759.jpg,"[2, 32, 386, 320]",0,0,0
ava_obj_0_357759.jpg,"[288, 0, 528, 321]",1,1,0
ava_obj_0_357759.jpg,"[192, 0, 432, 321]",0,0,0
ava_obj_0_357759.jpg,"[256, 32, 448, 288]",0,0,0
ava_obj_0_357759.jpg,"[352, 0, 592, 321]",1,2,0
ava_obj_0_357759.jpg,"[0, 0, 240, 321]",0,0,0
ava_obj_0_357759.jpg,"[129, 0, 355, 301]",0,0,0
ava_obj_0_357759.jpg,"[70, 0, 640, 321]",2,3,3
ava_obj_0_357759.jpg,"[0, 64, 456, 320]",0,0,0
ava_obj_0_357759.jpg,"[160, 0, 502, 192]",0,0,0
ava_obj_0_357759.jpg,"[32, 0, 488, 256]",0,0,0
ava_obj_0_357759.jpg,"[168, 82, 552, 298]",1,1,0
ava_obj_0_357759.jpg,"[243, 31, 627, 247]",3,2,2
ava_obj_0_485737.jpg,"[0, 168, 427, 595]",0,0,0
ava_obj_0_485737.jpg,"[0, 0, 427, 427]",0,0,0
ava_obj_0_485737.jpg,"[42, 126, 383, 467]",1,1,0
ava_obj_0_485737.jpg,"[44, 284, 342, 582]",0,0,0
ava_obj_0_485737.jpg,"[56, 91, 312, 347]",0,0,0
ava_obj_0_485737.jpg,"[99, 218, 355, 474]",3,2,2
ava_obj_0_485737.jpg,"[0, 168, 427, 488]",1,1,0
ava_obj_0_485737.jpg,"[0, 252, 427, 572]",1,2,0
ava_obj_0_485737.jpg,"[0, 84, 427, 404]",0,0,0
ava_obj_0_485737.jpg,"[0, 0, 427, 320]",0,0,0
ava_obj_0_485737.jpg,"[54, 407, 352, 630]",0,0,0
ava_obj_0_485737.jpg,"[70, 218, 368, 441]",0,0,0
ava_obj_0_485737.jpg,"[0, 42, 427, 611]",0,0,0
ava_obj_0_485737.jpg,"[42, 0, 383, 455]",0,0,0
ava_obj_0_485737.jpg,"[84, 168, 340, 509]",2,2,3
ava_obj_0_485737.jpg,"[10, 252, 266, 593]",0,0,0
ava_obj_0_485737.jpg,"[163, 147, 419, 488]",4,1,1
ava_obj_0_485737.jpg,"[0, 95, 256, 436]",0,0,0
ava_obj_0_485737.jpg,"[0, 210, 427, 450]",1,1,0
ava_obj_0_485737.jpg,"[0, 0, 427, 240]",0,0,0
ava_obj_0_485737.jpg,"[0, 294, 427, 534]",1,2,0
ava_obj_0_485737.jpg,"[0, 126, 427, 366]",0,0,0
ava_obj_0_485737.jpg,"[138, 184, 394, 328]",0,0,0
ava_obj_0_485737.jpg,"[90, 418, 346, 562]",0,0,0
ava_obj_0_323718.jpg,"[0, 147, 493, 640]",1,3,0
ava_obj_0_323718.jpg,"[0, 0, 493, 493]",1,1,0
ava_obj_0_323718.jpg,"[98, 196, 393, 491]",1,5,0
ava_obj_0_323718.jpg,"[20, 21, 365, 366]",1,2,0
ava_obj_0_323718.jpg,"[143, 237, 438, 532]",1,4,0
ava_obj_0_323718.jpg,"[67, 99, 412, 444]",0,0,0
ava_obj_0_323718.jpg,"[0, 271, 493, 640]",1,2,0
ava_obj_0_323718.jpg,"[98, 196, 492, 491]",1,6,0
ava_obj_0_323718.jpg,"[0, 98, 493, 467]",3,3,2
ava_obj_0_323718.jpg,"[0, 0, 493, 369]",1,1,0
ava_obj_0_323718.jpg,"[132, 321, 477, 579]",0,0,0
ava_obj_0_323718.jpg,"[105, 93, 400, 314]",1,5,0
ava_obj_0_323718.jpg,"[0, 0, 480, 640]",1,5,0
ava_obj_0_323718.jpg,"[98, 98, 386, 482]",2,1,3
ava_obj_0_323718.jpg,"[49, 147, 337, 531]",1,3,0
ava_obj_0_323718.jpg,"[145, 225, 440, 618]",1,2,0
ava_obj_0_323718.jpg,"[144, 48, 489, 508]",0,0,0
ava_obj_0_323718.jpg,"[43, 0, 338, 393]",1,4,0
ava_obj_0_323718.jpg,"[0, 343, 493, 620]",0,0,0
ava_obj_0_323718.jpg,"[0, 196, 493, 473]",1,2,0
ava_obj_0_323718.jpg,"[0, 98, 493, 375]",4,1,1
ava_obj_0_323718.jpg,"[90, 79, 484, 300]",0,0,0
ava_obj_0_323718.jpg,"[3, 100, 348, 294]",1,3,0
ava_obj_0_323718.jpg,"[61, 20, 455, 241]",0,0,0
ava_obj_0_354404.jpg,"[92, 93, 462, 463]",1,1,0
ava_obj_0_354404.jpg,"[138, 92, 415, 369]",1,5,0
ava_obj_0_354404.jpg,"[92, 0, 462, 370]",3,2,2
ava_obj_0_354404.jpg,"[92, 138, 369, 415]",1,3,0
ava_obj_0_354404.jpg,"[14, 27, 398, 411]",1,4,0
ava_obj_0_354404.jpg,"[157, 40, 541, 424]",0,0,0
ava_obj_0_354404.jpg,"[0, 92, 493, 462]",1,2,0
ava_obj_0_354404.jpg,"[23, 0, 640, 463]",4,5,1
ava_obj_0_354404.jpg,"[92, 138, 462, 415]",1,4,0
ava_obj_0_354404.jpg,"[92, 46, 462, 323]",1,3,0
ava_obj_0_354404.jpg,"[46, 186, 416, 463]",1,1,0
ava_obj_0_354404.jpg,"[166, 0, 550, 288]",0,0,0
ava_obj_0_354404.jpg,"[92, 0, 439, 463]",1,4,0
ava_obj_0_354404.jpg,"[230, 138, 438, 415]",1,2,0
ava_obj_0_354404.jpg,"[138, 184, 346, 461]",2,1,3
ava_obj_0_354404.jpg,"[184, 92, 392, 369]",1,3,0
ava_obj_0_354404.jpg,"[244, 0, 589, 460]",0,0,0
ava_obj_0_354404.jpg,"[1, 1, 346, 461]",0,0,0
ava_obj_0_354404.jpg,"[0, 92, 640, 452]",1,4,0
ava_obj_0_354404.jpg,"[92, 92, 476, 308]",1,5,0
ava_obj_0_354404.jpg,"[46, 46, 558, 334]",0,0,0
ava_obj_0_354404.jpg,"[0, 247, 384, 463]",1,3,0
ava_obj_0_354404.jpg,"[191, 107, 575, 323]",1,2,0
ava_obj_0_354404.jpg,"[191, 148, 639, 400]",1,1,0
