name,bbox,score,order_pre,order_final
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 0, 384, 384]",1,1,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 0, 288, 288]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 96, 288, 384]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[96, 0, 384, 288]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[96, 96, 384, 384]",1,5,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[115, 19, 563, 467]",1,2,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 48, 384, 336]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 96, 512, 480]",1,2,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 144, 384, 432]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[96, 96, 480, 384]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[140, 15, 524, 303]",1,5,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[187, 82, 571, 370]",3,4,2
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 0, 360, 480]",1,2,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[96, 48, 384, 432]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[240, 0, 600, 480]",1,3,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[96, 96, 311, 384]",1,4,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 0, 215, 288]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[127, 1, 472, 461]",1,5,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 144, 512, 432]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 48, 640, 408]",2,6,3
coco_obj_0_COCO_train2014_000000139887.jpg,"[0, 144, 384, 360]",0,0,0
coco_obj_0_COCO_train2014_000000139887.jpg,"[100, 139, 484, 355]",1,2,0
