name,bbox,score,order_pre,order_final
ava_obj_0_785067.jpg,"[336, 96, 720, 480]",2,1,3
ava_obj_0_785067.jpg,"[0, 96, 384, 480]",0,0,0
ava_obj_0_785067.jpg,"[384, 192, 672, 480]",1,2,0
ava_obj_0_785067.jpg,"[0, 192, 288, 480]",0,0,0
ava_obj_0_785067.jpg,"[48, 96, 336, 384]",0,0,0
ava_obj_0_785067.jpg,"[78, 31, 510, 463]",0,0,0
ava_obj_0_785067.jpg,"[208, 96, 720, 480]",4,1,1
ava_obj_0_785067.jpg,"[336, 192, 720, 480]",0,0,0
ava_obj_0_785067.jpg,"[48, 96, 560, 480]",1,2,0
ava_obj_0_785067.jpg,"[0, 192, 384, 480]",0,0,0
ava_obj_0_785067.jpg,"[0, 96, 384, 384]",0,0,0
ava_obj_0_785067.jpg,"[93, 4, 525, 328]",0,0,0
ava_obj_0_785067.jpg,"[384, 96, 672, 480]",1,1,0
ava_obj_0_785067.jpg,"[48, 96, 336, 480]",0,0,0
ava_obj_0_785067.jpg,"[48, 192, 264, 480]",0,0,0
ava_obj_0_785067.jpg,"[288, 0, 648, 480]",1,2,0
ava_obj_0_785067.jpg,"[101, 7, 450, 472]",0,0,0
ava_obj_0_785067.jpg,"[205, 4, 554, 469]",0,0,0
ava_obj_0_785067.jpg,"[48, 144, 624, 468]",1,2,0
ava_obj_0_785067.jpg,"[0, 48, 720, 453]",3,1,2
ava_obj_0_785067.jpg,"[0, 144, 432, 387]",0,0,0
ava_obj_0_785067.jpg,"[288, 192, 720, 435]",0,0,0
ava_obj_0_785067.jpg,"[240, 237, 672, 480]",0,0,0
ava_obj_0_785067.jpg,"[37, 13, 541, 296]",0,0,0
ava_obj_1_932571.jpg,"[180, 0, 450, 270]",1,2,0
ava_obj_1_932571.jpg,"[0, 350, 450, 800]",0,0,0
ava_obj_1_932571.jpg,"[0, 225, 450, 675]",0,0,0
ava_obj_1_932571.jpg,"[90, 0, 450, 360]",3,1,2
ava_obj_1_932571.jpg,"[0, 405, 270, 675]",0,0,0
ava_obj_1_932571.jpg,"[67, 377, 337, 647]",0,0,0
ava_obj_1_932571.jpg,"[0, 0, 450, 337]",1,1,0
ava_obj_1_932571.jpg,"[0, 360, 450, 697]",0,0,0
ava_obj_1_932571.jpg,"[0, 463, 450, 800]",0,0,0
ava_obj_1_932571.jpg,"[180, 0, 450, 202]",0,0,0
ava_obj_1_932571.jpg,"[0, 450, 360, 720]",1,2,0
ava_obj_1_932571.jpg,"[40, 142, 400, 412]",0,0,0
