name,bbox,score,order_pre,order_final
ava_obj_0_354733.jpg,"[82, 0, 501, 419]",1,1,0
ava_obj_0_354733.jpg,"[246, 41, 497, 292]",0,0,0
ava_obj_0_354733.jpg,"[246, 0, 581, 335]",1,2,0
ava_obj_0_354733.jpg,"[12, 32, 390, 410]",0,0,0
ava_obj_0_354733.jpg,"[179, 36, 557, 414]",0,0,0
ava_obj_0_354733.jpg,"[247, 29, 625, 407]",0,0,0
ava_obj_0_354733.jpg,"[41, 0, 487, 335]",4,1,1
ava_obj_0_354733.jpg,"[72, 0, 630, 419]",2,2,3
ava_obj_0_354733.jpg,"[123, 82, 458, 333]",0,0,0
ava_obj_0_354733.jpg,"[41, 84, 487, 419]",0,0,0
ava_obj_0_354733.jpg,"[246, 41, 581, 292]",0,0,0
ava_obj_0_354733.jpg,"[149, 20, 527, 303]",0,0,0
ava_obj_0_354733.jpg,"[246, 41, 497, 376]",1,2,0
ava_obj_0_354733.jpg,"[164, 0, 478, 419]",1,1,0
ava_obj_0_354733.jpg,"[287, 41, 475, 292]",0,0,0
ava_obj_0_354733.jpg,"[246, 82, 434, 333]",0,0,0
ava_obj_0_354733.jpg,"[79, 10, 385, 418]",0,0,0
ava_obj_0_354733.jpg,"[287, 7, 593, 415]",0,0,0
ava_obj_0_354733.jpg,"[41, 41, 545, 324]",1,1,0
ava_obj_0_354733.jpg,"[82, 82, 460, 294]",0,0,0
ava_obj_0_354733.jpg,"[0, 65, 630, 419]",3,2,2
ava_obj_0_354733.jpg,"[46, 6, 487, 254]",0,0,0
ava_obj_0_354733.jpg,"[96, 139, 474, 351]",0,0,0
ava_obj_0_354733.jpg,"[219, 78, 597, 290]",0,0,0
ava_obj_0_695375.jpg,"[0, 0, 610, 610]",2,1,3
ava_obj_0_695375.jpg,"[122, 152, 610, 640]",4,2,1
ava_obj_0_695375.jpg,"[244, 244, 610, 610]",0,0,0
ava_obj_0_695375.jpg,"[183, 183, 549, 549]",0,0,0
ava_obj_0_695375.jpg,"[61, 183, 427, 549]",0,0,0
ava_obj_0_695375.jpg,"[238, 115, 604, 481]",0,0,0
ava_obj_0_695375.jpg,"[0, 183, 610, 640]",1,1,0
ava_obj_0_695375.jpg,"[0, 61, 610, 518]",0,0,0
ava_obj_0_695375.jpg,"[244, 366, 610, 640]",0,0,0
ava_obj_0_695375.jpg,"[183, 305, 549, 579]",1,2,0
ava_obj_0_695375.jpg,"[80, 326, 446, 600]",0,0,0
ava_obj_0_695375.jpg,"[207, 237, 573, 511]",0,0,0
ava_obj_0_695375.jpg,"[130, 0, 610, 640]",1,1,0
ava_obj_0_695375.jpg,"[0, 0, 480, 640]",0,0,0
ava_obj_0_695375.jpg,"[122, 183, 410, 567]",0,0,0
ava_obj_0_695375.jpg,"[229, 4, 595, 492]",0,0,0
ava_obj_0_695375.jpg,"[150, 62, 516, 550]",3,2,2
ava_obj_0_695375.jpg,"[23, 19, 389, 507]",0,0,0
ava_obj_0_695375.jpg,"[0, 297, 610, 640]",1,2,0
ava_obj_0_695375.jpg,"[0, 183, 610, 526]",1,1,0
ava_obj_0_695375.jpg,"[244, 366, 610, 571]",0,0,0
ava_obj_0_695375.jpg,"[244, 427, 610, 632]",0,0,0
ava_obj_0_695375.jpg,"[56, 363, 483, 603]",0,0,0
ava_obj_0_695375.jpg,"[81, 203, 508, 443]",0,0,0
ava_obj_0_522258.jpg,"[153, 51, 460, 358]",0,0,0
ava_obj_0_522258.jpg,"[51, 0, 358, 307]",0,0,0
ava_obj_0_522258.jpg,"[0, 0, 409, 409]",3,1,2
ava_obj_0_522258.jpg,"[40, 155, 398, 513]",1,2,0
ava_obj_0_522258.jpg,"[149, 142, 507, 500]",0,0,0
ava_obj_0_522258.jpg,"[9, 223, 316, 530]",0,0,0
ava_obj_0_522258.jpg,"[51, 51, 460, 358]",4,2,1
ava_obj_0_522258.jpg,"[153, 102, 460, 332]",0,0,0
ava_obj_0_522258.jpg,"[51, 102, 358, 332]",1,1,0
ava_obj_0_522258.jpg,"[51, 0, 358, 230]",0,0,0
ava_obj_0_522258.jpg,"[131, 400, 438, 630]",0,0,0
ava_obj_0_522258.jpg,"[101, 260, 408, 490]",0,0,0
ava_obj_0_522258.jpg,"[153, 0, 440, 384]",0,0,0
ava_obj_0_522258.jpg,"[51, 0, 435, 512]",1,1,0
ava_obj_0_522258.jpg,"[51, 0, 338, 384]",0,0,3
ava_obj_0_522258.jpg,"[225, 51, 512, 435]",0,0,0
ava_obj_0_522258.jpg,"[153, 102, 440, 486]",0,0,0
ava_obj_0_522258.jpg,"[66, 190, 373, 599]",1,2,0
ava_obj_0_522258.jpg,"[0, 51, 512, 339]",1,1,0
ava_obj_0_522258.jpg,"[51, 0, 460, 230]",0,0,0
ava_obj_0_522258.jpg,"[51, 153, 460, 383]",1,2,0
ava_obj_0_522258.jpg,"[204, 204, 511, 376]",0,0,0
ava_obj_0_522258.jpg,"[204, 153, 511, 325]",0,0,0
ava_obj_0_522258.jpg,"[187, 260, 494, 432]",0,0,0
ava_obj_0_519150.jpg,"[0, 0, 469, 469]",4,1,1
ava_obj_0_519150.jpg,"[46, 359, 327, 640]",0,0,0
ava_obj_0_519150.jpg,"[0, 171, 469, 640]",0,0,0
ava_obj_0_519150.jpg,"[46, 46, 327, 327]",1,2,0
ava_obj_0_519150.jpg,"[119, 284, 447, 612]",0,0,0
ava_obj_0_519150.jpg,"[130, 46, 411, 327]",0,0,0
ava_obj_0_519150.jpg,"[46, 429, 327, 640]",0,0,0
ava_obj_0_519150.jpg,"[0, 46, 375, 327]",0,0,0
ava_obj_0_519150.jpg,"[0, 289, 469, 640]",0,0,0
ava_obj_0_519150.jpg,"[92, 0, 467, 281]",0,0,0
ava_obj_0_519150.jpg,"[46, 92, 327, 303]",3,2,2
ava_obj_0_519150.jpg,"[77, 140, 358, 350]",1,1,0
ava_obj_0_519150.jpg,"[0, 15, 469, 640]",2,1,3
ava_obj_0_519150.jpg,"[0, 92, 281, 467]",0,0,0
ava_obj_0_519150.jpg,"[92, 0, 373, 375]",0,0,0
ava_obj_0_519150.jpg,"[46, 46, 327, 421]",1,2,0
ava_obj_0_519150.jpg,"[46, 265, 327, 640]",0,0,0
ava_obj_0_519150.jpg,"[119, 136, 447, 573]",0,0,0
ava_obj_0_519150.jpg,"[0, 429, 375, 640]",0,0,0
ava_obj_0_519150.jpg,"[0, 46, 469, 309]",1,1,0
ava_obj_0_519150.jpg,"[46, 482, 327, 640]",0,0,0
ava_obj_0_519150.jpg,"[67, 41, 395, 225]",1,2,0
ava_obj_0_519150.jpg,"[68, 190, 349, 348]",0,0,0
ava_obj_0_519150.jpg,"[23, 337, 398, 547]",0,0,0
ava_obj_0_664987.jpg,"[0, 42, 341, 383]",1,3,0
ava_obj_0_664987.jpg,"[299, 42, 640, 383]",0,0,0
ava_obj_0_664987.jpg,"[378, 126, 634, 382]",0,0,0
ava_obj_0_664987.jpg,"[0, 126, 256, 382]",1,2,0
ava_obj_0_664987.jpg,"[0, 42, 256, 298]",1,1,0
ava_obj_0_664987.jpg,"[183, 22, 567, 406]",0,0,0
ava_obj_0_664987.jpg,"[0, 42, 455, 383]",1,3,0
ava_obj_0_664987.jpg,"[0, 126, 341, 382]",3,1,2
ava_obj_0_664987.jpg,"[0, 42, 341, 298]",2,2,3
ava_obj_0_664987.jpg,"[185, 42, 640, 383]",0,0,0
ava_obj_0_664987.jpg,"[294, 126, 635, 382]",0,0,0
ava_obj_0_664987.jpg,"[154, 17, 538, 305]",0,0,0
ava_obj_0_664987.jpg,"[378, 42, 634, 383]",0,0,0
ava_obj_0_664987.jpg,"[294, 42, 550, 383]",0,0,0
ava_obj_0_664987.jpg,"[0, 126, 192, 382]",1,2,0
ava_obj_0_664987.jpg,"[0, 42, 256, 383]",1,1,0
ava_obj_0_664987.jpg,"[378, 126, 570, 382]",0,0,0
ava_obj_0_664987.jpg,"[162, 12, 473, 426]",0,0,0
ava_obj_0_664987.jpg,"[0, 42, 640, 402]",0,0,0
ava_obj_0_664987.jpg,"[0, 126, 384, 342]",4,1,1
ava_obj_0_664987.jpg,"[0, 139, 512, 427]",1,2,0
ava_obj_0_664987.jpg,"[0, 0, 512, 288]",0,0,0
ava_obj_0_664987.jpg,"[13, 42, 397, 258]",0,0,0
ava_obj_0_664987.jpg,"[179, 8, 627, 260]",0,0,0
