name,bbox,score,order_pre,order_final
ava_obj_0_848893.jpg,"[220, 54, 548, 382]",1,2,0
ava_obj_0_848893.jpg,"[54, 54, 492, 492]",1,3,0
ava_obj_0_848893.jpg,"[162, 460, 490, 788]",2,1,3
ava_obj_0_848893.jpg,"[162, 108, 490, 436]",0,0,0
ava_obj_0_848893.jpg,"[116, 309, 444, 637]",0,0,0
ava_obj_0_848893.jpg,"[5, 194, 333, 522]",0,0,0
ava_obj_0_848893.jpg,"[110, 460, 548, 788]",0,0,0
ava_obj_0_848893.jpg,"[0, 54, 548, 465]",1,1,0
ava_obj_0_848893.jpg,"[220, 54, 548, 300]",0,0,0
ava_obj_0_848893.jpg,"[162, 540, 490, 786]",1,2,0
ava_obj_0_848893.jpg,"[0, 378, 438, 706]",0,0,0
ava_obj_0_848893.jpg,"[140, 253, 468, 499]",0,0,0
ava_obj_0_848893.jpg,"[216, 54, 544, 492]",3,1,2
ava_obj_0_848893.jpg,"[54, 0, 492, 584]",0,0,0
ava_obj_0_848893.jpg,"[108, 54, 436, 492]",0,0,0
ava_obj_0_848893.jpg,"[162, 216, 490, 654]",0,0,0
ava_obj_0_848893.jpg,"[57, 188, 440, 698]",0,0,0
ava_obj_0_848893.jpg,"[96, 273, 479, 783]",1,2,0
ava_obj_0_848893.jpg,"[110, 540, 548, 786]",1,2,0
ava_obj_0_848893.jpg,"[0, 54, 548, 362]",4,1,1
ava_obj_0_848893.jpg,"[0, 540, 438, 786]",0,0,0
ava_obj_0_848893.jpg,"[0, 432, 548, 740]",0,0,0
ava_obj_0_848893.jpg,"[108, 540, 436, 724]",0,0,0
ava_obj_0_848893.jpg,"[56, 225, 439, 440]",0,0,0
ava_obj_0_884501.jpg,"[192, 0, 515, 323]",0,0,0
ava_obj_0_884501.jpg,"[384, 64, 642, 322]",1,1,0
ava_obj_0_884501.jpg,"[0, 0, 323, 323]",2,2,3
ava_obj_0_884501.jpg,"[416, 0, 674, 258]",0,0,0
ava_obj_0_884501.jpg,"[288, 128, 481, 321]",0,0,0
ava_obj_0_884501.jpg,"[82, 6, 396, 320]",0,0,0
ava_obj_0_884501.jpg,"[192, 65, 536, 323]",0,0,0
ava_obj_0_884501.jpg,"[384, 65, 728, 323]",1,1,0
ava_obj_0_884501.jpg,"[384, 0, 728, 258]",0,0,0
ava_obj_0_884501.jpg,"[32, 0, 462, 323]",1,2,0
ava_obj_0_884501.jpg,"[203, 1, 591, 292]",0,0,0
ava_obj_0_884501.jpg,"[279, 21, 667, 312]",0,0,0
ava_obj_0_884501.jpg,"[256, 0, 498, 323]",1,2,0
ava_obj_0_884501.jpg,"[320, 64, 513, 322]",0,0,0
ava_obj_0_884501.jpg,"[320, 96, 465, 289]",0,0,0
ava_obj_0_884501.jpg,"[0, 0, 242, 323]",1,1,0
ava_obj_0_884501.jpg,"[655, 0, 800, 193]",0,0,0
ava_obj_0_884501.jpg,"[341, 4, 570, 309]",0,0,0
ava_obj_0_884501.jpg,"[192, 0, 766, 323]",3,1,2
ava_obj_0_884501.jpg,"[341, 32, 800, 290]",0,0,0
ava_obj_0_884501.jpg,"[0, 0, 574, 323]",4,2,1
ava_obj_0_884501.jpg,"[141, 42, 621, 312]",0,0,0
ava_obj_0_884501.jpg,"[213, 33, 693, 303]",0,0,0
ava_obj_0_884501.jpg,"[31, 52, 511, 322]",0,0,0
ava_obj_0_818789.jpg,"[0, 80, 320, 400]",0,0,0
ava_obj_0_818789.jpg,"[40, 0, 440, 400]",2,1,3
ava_obj_0_818789.jpg,"[40, 160, 279, 400]",0,0,0
ava_obj_0_818789.jpg,"[200, 0, 600, 400]",1,2,0
ava_obj_0_818789.jpg,"[80, 120, 319, 360]",1,3,0
ava_obj_0_818789.jpg,"[141, 2, 501, 362]",0,0,0
ava_obj_0_818789.jpg,"[40, 0, 573, 400]",3,1,2
ava_obj_0_818789.jpg,"[0, 160, 320, 400]",1,3,0
ava_obj_0_818789.jpg,"[0, 40, 426, 360]",0,0,0
ava_obj_0_818789.jpg,"[0, 80, 320, 320]",0,0,0
ava_obj_0_818789.jpg,"[174, 0, 600, 320]",1,2,0
ava_obj_0_818789.jpg,"[213, 86, 573, 356]",0,0,0
ava_obj_0_818789.jpg,"[40, 80, 280, 400]",0,0,0
ava_obj_0_818789.jpg,"[240, 0, 540, 400]",0,0,0
ava_obj_0_818789.jpg,"[160, 0, 460, 400]",1,1,0
ava_obj_0_818789.jpg,"[80, 160, 260, 400]",1,2,0
ava_obj_0_818789.jpg,"[92, 6, 383, 394]",0,0,0
ava_obj_0_818789.jpg,"[305, 0, 596, 388]",0,0,0
ava_obj_0_818789.jpg,"[0, 63, 600, 400]",4,1,1
ava_obj_0_818789.jpg,"[0, 198, 360, 400]",1,2,0
ava_obj_0_818789.jpg,"[80, 160, 440, 362]",0,0,0
ava_obj_0_818789.jpg,"[69, 90, 489, 326]",0,0,0
ava_obj_0_818789.jpg,"[114, 44, 594, 314]",0,0,0
ava_obj_0_818789.jpg,"[197, 194, 557, 396]",0,0,0
ava_obj_0_523582.jpg,"[84, 42, 424, 382]",4,1,1
ava_obj_0_523582.jpg,"[84, 42, 339, 297]",1,2,0
ava_obj_0_523582.jpg,"[0, 84, 426, 510]",0,0,0
ava_obj_0_523582.jpg,"[126, 0, 381, 255]",0,0,0
ava_obj_0_523582.jpg,"[58, 151, 313, 406]",0,0,0
ava_obj_0_523582.jpg,"[75, 312, 373, 610]",0,0,0
ava_obj_0_523582.jpg,"[0, 42, 426, 361]",2,1,3
ava_obj_0_523582.jpg,"[84, 0, 424, 255]",1,2,0
ava_obj_0_523582.jpg,"[0, 126, 426, 445]",0,0,0
ava_obj_0_523582.jpg,"[0, 210, 426, 529]",1,3,0
ava_obj_0_523582.jpg,"[84, 42, 339, 233]",0,0,0
ava_obj_0_523582.jpg,"[31, 205, 286, 396]",0,0,0
ava_obj_0_523582.jpg,"[42, 0, 382, 454]",1,2,0
ava_obj_0_523582.jpg,"[84, 42, 339, 382]",1,1,0
ava_obj_0_523582.jpg,"[168, 42, 423, 382]",0,0,0
ava_obj_0_523582.jpg,"[68, 208, 323, 548]",0,0,0
ava_obj_0_523582.jpg,"[27, 109, 282, 449]",0,0,0
ava_obj_0_523582.jpg,"[114, 173, 369, 513]",0,0,0
ava_obj_0_523582.jpg,"[0, 42, 426, 281]",3,1,2
ava_obj_0_523582.jpg,"[0, 210, 426, 449]",1,2,0
ava_obj_0_523582.jpg,"[84, 0, 424, 191]",0,0,0
ava_obj_0_523582.jpg,"[0, 126, 426, 365]",0,0,0
ava_obj_0_523582.jpg,"[126, 42, 381, 185]",0,0,0
ava_obj_0_523582.jpg,"[98, 366, 353, 509]",0,0,0
ava_obj_0_610583.jpg,"[88, 0, 444, 356]",3,1,2
ava_obj_0_610583.jpg,"[132, 0, 399, 267]",1,2,0
ava_obj_0_610583.jpg,"[0, 88, 445, 533]",0,0,0
ava_obj_0_610583.jpg,"[176, 44, 443, 311]",0,0,0
ava_obj_0_610583.jpg,"[110, 305, 377, 572]",0,0,0
ava_obj_0_610583.jpg,"[53, 214, 409, 570]",0,0,0
ava_obj_0_610583.jpg,"[89, 0, 445, 267]",2,1,3
