name,bbox,score,order_pre,order_final
ava_obj_1_878938.jpg,"[159, 0, 692, 533]",3,1,2
ava_obj_1_878938.jpg,"[265, 212, 584, 531]",0,0,0
ava_obj_1_878938.jpg,"[318, 0, 637, 319]",1,2,0
ava_obj_1_878938.jpg,"[318, 0, 744, 426]",1,3,0
ava_obj_1_878938.jpg,"[212, 0, 531, 319]",0,0,0
ava_obj_1_878938.jpg,"[68, 25, 548, 505]",0,0,0
ava_obj_1_878938.jpg,"[0, 0, 710, 533]",1,3,0
ava_obj_1_878938.jpg,"[212, 0, 638, 319]",1,2,0
ava_obj_1_878938.jpg,"[212, 0, 780, 426]",1,1,0
ava_obj_1_878938.jpg,"[212, 212, 638, 531]",0,0,0
ava_obj_1_878938.jpg,"[73, 75, 553, 435]",0,0,0
ava_obj_1_878938.jpg,"[199, 96, 679, 456]",0,0,0
ava_obj_1_878938.jpg,"[265, 0, 664, 533]",1,1,0
ava_obj_1_878938.jpg,"[159, 0, 558, 533]",0,0,0
ava_obj_1_878938.jpg,"[318, 212, 557, 531]",0,0,0
ava_obj_1_878938.jpg,"[53, 0, 452, 533]",0,0,0
ava_obj_1_878938.jpg,"[371, 0, 690, 426]",1,2,0
ava_obj_1_878938.jpg,"[395, 14, 783, 531]",0,0,0
ava_obj_1_878938.jpg,"[0, 0, 800, 450]",4,2,1
ava_obj_1_878938.jpg,"[159, 263, 639, 533]",0,0,0
ava_obj_1_878938.jpg,"[159, 0, 639, 270]",2,1,3
ava_obj_1_878938.jpg,"[53, 173, 693, 533]",0,0,0
ava_obj_1_878938.jpg,"[179, 129, 739, 444]",0,0,0
ava_obj_1_878938.jpg,"[49, 77, 609, 392]",0,0,0
ava_obj_1_607442.jpg,"[0, 0, 640, 640]",4,1,1
ava_obj_1_607442.jpg,"[128, 64, 512, 448]",1,2,0
ava_obj_1_607442.jpg,"[128, 192, 512, 576]",0,0,0
ava_obj_1_607442.jpg,"[7, 170, 455, 618]",0,0,0
ava_obj_1_607442.jpg,"[244, 187, 628, 571]",0,0,0
ava_obj_1_607442.jpg,"[226, 77, 610, 461]",0,0,0
ava_obj_1_607442.jpg,"[0, 0, 640, 480]",2,1,3
ava_obj_1_607442.jpg,"[64, 256, 576, 640]",0,0,0
ava_obj_1_607442.jpg,"[0, 128, 640, 608]",1,2,0
ava_obj_1_607442.jpg,"[128, 256, 512, 544]",0,0,0
ava_obj_1_607442.jpg,"[30, 118, 478, 454]",0,0,0
ava_obj_1_607442.jpg,"[13, 14, 461, 350]",0,0,0
ava_obj_1_607442.jpg,"[64, 0, 544, 640]",3,1,2
ava_obj_1_607442.jpg,"[192, 0, 576, 512]",1,3,0
ava_obj_1_607442.jpg,"[256, 64, 640, 576]",0,0,0
ava_obj_1_607442.jpg,"[0, 64, 384, 576]",0,0,0
ava_obj_1_607442.jpg,"[110, 116, 494, 628]",0,0,0
ava_obj_1_607442.jpg,"[53, 15, 437, 527]",1,2,0
ava_obj_1_607442.jpg,"[0, 64, 640, 424]",1,1,0
ava_obj_1_607442.jpg,"[0, 192, 640, 552]",1,2,0
ava_obj_1_607442.jpg,"[128, 256, 512, 472]",0,0,0
ava_obj_1_607442.jpg,"[47, 32, 495, 284]",0,0,0
ava_obj_1_607442.jpg,"[49, 164, 561, 452]",0,0,0
ava_obj_1_607442.jpg,"[164, 70, 548, 286]",0,0,0
ava_obj_1_632205.jpg,"[0, 0, 488, 488]",4,1,1
