name,bbox,score,order_pre,order_final
ava_obj_0_561445.jpg,"[0, 0, 447, 447]",0,0,0
ava_obj_0_561445.jpg,"[0, 175, 447, 622]",0,0,0
ava_obj_0_561445.jpg,"[90, 132, 447, 489]",0,0,0
ava_obj_0_561445.jpg,"[0, 0, 268, 268]",2,1,3
ava_obj_0_561445.jpg,"[11, 220, 279, 488]",0,0,0
ava_obj_0_561445.jpg,"[124, 24, 392, 292]",1,2,0
ava_obj_0_561445.jpg,"[0, 0, 447, 335]",1,2,0
ava_obj_0_561445.jpg,"[0, 220, 447, 555]",0,0,0
ava_obj_0_561445.jpg,"[0, 88, 447, 423]",0,0,0
ava_obj_0_561445.jpg,"[90, 308, 447, 576]",1,1,0
ava_obj_0_561445.jpg,"[71, 150, 383, 384]",0,0,0
ava_obj_0_561445.jpg,"[77, 223, 345, 424]",0,0,0
ava_obj_0_561445.jpg,"[0, 0, 447, 596]",0,0,0
ava_obj_0_561445.jpg,"[176, 88, 444, 445]",1,2,0
ava_obj_0_561445.jpg,"[44, 146, 401, 622]",0,0,0
ava_obj_0_561445.jpg,"[0, 0, 268, 357]",1,1,0
ava_obj_0_561445.jpg,"[132, 132, 400, 489]",0,0,0
ava_obj_0_561445.jpg,"[87, 206, 355, 563]",0,0,0
ava_obj_0_561445.jpg,"[0, 0, 447, 251]",1,3,0
ava_obj_0_561445.jpg,"[0, 264, 447, 515]",0,0,0
ava_obj_0_561445.jpg,"[0, 88, 447, 339]",0,0,0
ava_obj_0_561445.jpg,"[0, 0, 268, 150]",4,2,1
ava_obj_0_561445.jpg,"[77, 58, 389, 233]",1,4,0
ava_obj_0_561445.jpg,"[147, 406, 415, 556]",3,1,2
ava_obj_0_549253.jpg,"[0, 53, 533, 586]",0,0,0
ava_obj_0_549253.jpg,"[107, 0, 533, 426]",1,3,0
ava_obj_0_549253.jpg,"[53, 0, 372, 319]",1,1,0
ava_obj_0_549253.jpg,"[159, 53, 478, 372]",0,0,0
ava_obj_0_549253.jpg,"[0, 0, 426, 426]",3,2,2
ava_obj_0_549253.jpg,"[43, 179, 362, 498]",0,0,0
