name,bbox,score,order_pre,order_final
ava_obj_0_662622.jpg,"[160, 0, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[144, 192, 432, 480]",1,3,0
ava_obj_0_662622.jpg,"[240, 192, 528, 480]",0,0,0
ava_obj_0_662622.jpg,"[48, 96, 432, 480]",3,2,2
ava_obj_0_662622.jpg,"[144, 0, 528, 384]",2,5,3
ava_obj_0_662622.jpg,"[31, 8, 415, 392]",1,4,0
ava_obj_0_662622.jpg,"[128, 96, 640, 480]",1,1,0
ava_obj_0_662622.jpg,"[256, 192, 640, 480]",0,0,0
ava_obj_0_662622.jpg,"[240, 0, 624, 288]",0,0,0
ava_obj_0_662622.jpg,"[48, 192, 432, 480]",1,3,0
ava_obj_0_662622.jpg,"[192, 144, 576, 432]",0,0,0
ava_obj_0_662622.jpg,"[73, 6, 585, 390]",1,2,0
ava_obj_0_662622.jpg,"[240, 0, 600, 480]",4,3,1
ava_obj_0_662622.jpg,"[96, 0, 456, 480]",1,2,0
ava_obj_0_662622.jpg,"[336, 0, 624, 384]",1,1,0
ava_obj_0_662622.jpg,"[0, 0, 360, 480]",1,5,0
ava_obj_0_662622.jpg,"[176, 6, 521, 466]",1,4,0
ava_obj_0_662622.jpg,"[57, 6, 402, 466]",0,0,0
ava_obj_0_662622.jpg,"[48, 192, 560, 480]",0,0,0
ava_obj_0_662622.jpg,"[128, 0, 640, 288]",1,1,0
ava_obj_0_662622.jpg,"[192, 264, 576, 480]",0,0,0
ava_obj_0_662622.jpg,"[48, 264, 432, 480]",1,3,0
ava_obj_0_662622.jpg,"[240, 0, 624, 216]",0,0,0
ava_obj_0_662622.jpg,"[128, 221, 512, 437]",0,0,0
ava_obj_0_891839.jpg,"[192, 192, 480, 480]",1,1,0
ava_obj_0_891839.jpg,"[96, 144, 480, 528]",1,3,0
ava_obj_0_891839.jpg,"[0, 240, 480, 720]",0,0,0
ava_obj_0_891839.jpg,"[0, 0, 480, 480]",0,0,0
ava_obj_0_891839.jpg,"[144, 240, 432, 528]",1,2,0
ava_obj_0_891839.jpg,"[42, 353, 378, 689]",0,0,0
ava_obj_0_891839.jpg,"[192, 240, 480, 456]",3,1,2
ava_obj_0_891839.jpg,"[96, 192, 480, 480]",1,2,0
ava_obj_0_891839.jpg,"[0, 288, 480, 648]",0,0,0
ava_obj_0_891839.jpg,"[0, 96, 480, 456]",0,0,0
ava_obj_0_891839.jpg,"[78, 389, 366, 605]",0,0,0
ava_obj_0_891839.jpg,"[61, 255, 349, 471]",0,0,0
ava_obj_0_891839.jpg,"[192, 144, 480, 528]",2,1,3
ava_obj_0_891839.jpg,"[0, 48, 480, 688]",4,2,1
ava_obj_0_891839.jpg,"[96, 0, 480, 512]",0,0,0
ava_obj_0_891839.jpg,"[144, 240, 432, 624]",0,0,0
ava_obj_0_891839.jpg,"[66, 235, 354, 619]",0,0,0
ava_obj_0_891839.jpg,"[40, 144, 328, 528]",0,0,0
ava_obj_0_891839.jpg,"[96, 240, 480, 456]",1,2,0
ava_obj_0_891839.jpg,"[192, 288, 480, 450]",1,1,0
ava_obj_0_891839.jpg,"[0, 288, 480, 558]",0,0,0
ava_obj_0_891839.jpg,"[192, 240, 480, 402]",0,0,0
ava_obj_0_891839.jpg,"[0, 144, 480, 414]",0,0,0
ava_obj_0_891839.jpg,"[2, 309, 338, 498]",0,0,0
ava_obj_1_813391.jpg,"[0, 0, 451, 451]",0,0,0
ava_obj_1_813391.jpg,"[0, 181, 270, 451]",2,2,3
ava_obj_1_813391.jpg,"[45, 135, 315, 405]",1,1,0
ava_obj_1_813391.jpg,"[172, 58, 539, 425]",0,0,0
ava_obj_1_813391.jpg,"[223, 5, 590, 372]",0,0,0
ava_obj_1_813391.jpg,"[115, 15, 482, 382]",0,0,0
ava_obj_1_813391.jpg,"[0, 0, 601, 451]",0,0,0
ava_obj_1_813391.jpg,"[0, 135, 360, 405]",4,3,1
ava_obj_1_813391.jpg,"[0, 0, 360, 270]",1,3,0
ava_obj_1_813391.jpg,"[220, 104, 587, 379]",0,0,0
ava_obj_1_813391.jpg,"[82, 69, 511, 390]",0,0,0
ava_obj_1_813391.jpg,"[230, 0, 597, 275]",0,0,0
ava_obj_1_813391.jpg,"[0, 0, 338, 451]",1,2,0
ava_obj_1_813391.jpg,"[45, 181, 247, 451]",1,1,0
ava_obj_1_813391.jpg,"[90, 0, 428, 451]",0,0,0
ava_obj_1_813391.jpg,"[188, 5, 519, 446]",0,0,0
ava_obj_1_813391.jpg,"[275, 6, 606, 447]",0,0,0
ava_obj_1_813391.jpg,"[139, 5, 470, 446]",0,0,0
ava_obj_1_813391.jpg,"[0, 90, 613, 434]",0,0,0
ava_obj_1_813391.jpg,"[0, 0, 490, 275]",3,1,2
ava_obj_1_813391.jpg,"[0, 176, 490, 451]",0,0,0
ava_obj_1_813391.jpg,"[0, 180, 367, 386]",1,2,0
ava_obj_1_813391.jpg,"[130, 22, 497, 228]",0,0,0
ava_obj_1_813391.jpg,"[96, 235, 463, 441]",0,0,0
ava_obj_0_1781.jpg,"[160, 0, 640, 480]",1,2,0
ava_obj_0_1781.jpg,"[336, 0, 624, 288]",2,1,3
ava_obj_0_1781.jpg,"[352, 96, 640, 384]",0,0,0
ava_obj_0_1781.jpg,"[77, 55, 461, 439]",0,0,0
ava_obj_0_1781.jpg,"[15, 7, 399, 391]",0,0,0
ava_obj_0_1781.jpg,"[191, 13, 575, 397]",0,0,0
ava_obj_0_1781.jpg,"[0, 0, 640, 480]",1,2,0
ava_obj_0_1781.jpg,"[256, 48, 640, 336]",3,1,2
ava_obj_0_1781.jpg,"[240, 144, 624, 432]",0,0,0
ava_obj_0_1781.jpg,"[19, 177, 403, 465]",0,0,0
ava_obj_0_1781.jpg,"[44, 75, 428, 363]",0,0,0
ava_obj_0_1781.jpg,"[165, 62, 549, 350]",0,0,0
ava_obj_0_1781.jpg,"[280, 0, 640, 480]",0,0,0
ava_obj_0_1781.jpg,"[425, 48, 640, 336]",1,1,0
ava_obj_0_1781.jpg,"[384, 0, 599, 288]",4,2,1
ava_obj_0_1781.jpg,"[160, 5, 505, 465]",0,0,0
ava_obj_0_1781.jpg,"[57, 14, 402, 474]",0,0,0
ava_obj_0_1781.jpg,"[226, 18, 571, 478]",0,0,0
ava_obj_0_1781.jpg,"[0, 0, 640, 360]",1,1,0
ava_obj_0_1781.jpg,"[0, 96, 640, 456]",0,0,0
ava_obj_0_1781.jpg,"[256, 96, 640, 312]",0,0,0
ava_obj_0_1781.jpg,"[128, 192, 640, 480]",1,2,0
ava_obj_0_1781.jpg,"[240, 144, 624, 360]",0,0,0
ava_obj_0_1781.jpg,"[162, 52, 546, 268]",0,0,0
ava_obj_3_895332.jpg,"[295, 59, 768, 532]",1,1,0
ava_obj_3_895332.jpg,"[59, 59, 532, 532]",2,2,3
ava_obj_3_895332.jpg,"[354, 0, 709, 355]",0,0,0
ava_obj_3_895332.jpg,"[137, 7, 611, 481]",0,0,0
ava_obj_3_895332.jpg,"[219, 113, 693, 587]",0,0,0
ava_obj_3_895332.jpg,"[1, 111, 475, 585]",0,0,0
ava_obj_3_895332.jpg,"[1, 0, 790, 592]",3,1,2
ava_obj_3_895332.jpg,"[295, 59, 768, 414]",0,0,0
ava_obj_3_895332.jpg,"[59, 59, 532, 414]",4,2,1
ava_obj_3_895332.jpg,"[23, 164, 576, 578]",0,0,0
ava_obj_3_895332.jpg,"[206, 191, 680, 546]",0,0,0
ava_obj_3_895332.jpg,"[11, 124, 485, 479]",0,0,0
ava_obj_3_895332.jpg,"[295, 0, 739, 592]",1,1,0
ava_obj_3_895332.jpg,"[0, 0, 355, 473]",0,0,0
ava_obj_3_895332.jpg,"[59, 0, 503, 592]",1,3,0
ava_obj_3_895332.jpg,"[236, 118, 591, 591]",1,2,0
ava_obj_3_895332.jpg,"[59, 0, 325, 355]",0,0,0
ava_obj_3_895332.jpg,"[168, 2, 594, 570]",0,0,0
ava_obj_3_895332.jpg,"[0, 59, 790, 503]",1,1,0
ava_obj_3_895332.jpg,"[295, 59, 769, 325]",0,0,0
ava_obj_3_895332.jpg,"[0, 0, 632, 355]",0,0,0
ava_obj_3_895332.jpg,"[59, 59, 533, 325]",1,2,0
ava_obj_3_895332.jpg,"[316, 0, 790, 266]",0,0,0
ava_obj_3_895332.jpg,"[161, 0, 714, 311]",0,0,0
