name,bbox,score,order_pre,order_final
ava_obj_0_537803.jpg,"[123, 0, 541, 418]",0,0,0
ava_obj_0_537803.jpg,"[41, 82, 375, 416]",1,3,0
ava_obj_0_537803.jpg,"[306, 41, 640, 375]",0,0,0
ava_obj_0_537803.jpg,"[246, 82, 580, 416]",1,1,0
ava_obj_0_537803.jpg,"[246, 123, 496, 373]",1,2,0
ava_obj_0_537803.jpg,"[59, 17, 443, 401]",0,0,0
ava_obj_0_537803.jpg,"[82, 82, 527, 416]",1,3,0
ava_obj_0_537803.jpg,"[164, 123, 498, 373]",1,1,0
ava_obj_0_537803.jpg,"[195, 41, 640, 375]",0,0,0
ava_obj_0_537803.jpg,"[0, 164, 334, 414]",1,2,0
ava_obj_0_537803.jpg,"[114, 4, 498, 292]",0,0,0
ava_obj_0_537803.jpg,"[13, 29, 397, 317]",0,0,0
ava_obj_0_537803.jpg,"[287, 41, 537, 375]",0,0,0
ava_obj_0_537803.jpg,"[246, 82, 496, 416]",1,3,0
ava_obj_0_537803.jpg,"[327, 0, 640, 418]",0,0,0
ava_obj_0_537803.jpg,"[164, 0, 477, 418]",0,0,0
ava_obj_0_537803.jpg,"[0, 82, 250, 416]",1,2,0
ava_obj_0_537803.jpg,"[28, 0, 339, 414]",1,1,0
ava_obj_0_537803.jpg,"[0, 130, 512, 418]",2,3,3
ava_obj_0_537803.jpg,"[0, 164, 384, 380]",4,1,1
ava_obj_0_537803.jpg,"[123, 164, 507, 380]",3,4,2
ava_obj_0_537803.jpg,"[128, 82, 640, 370]",1,2,0
ava_obj_0_537803.jpg,"[256, 164, 640, 380]",1,5,0
ava_obj_0_537803.jpg,"[45, 36, 429, 252]",0,0,0
ava_obj_0_501055.jpg,"[132, 0, 634, 503]",2,2,3
ava_obj_0_501055.jpg,"[0, 0, 502, 503]",3,1,2
ava_obj_0_501055.jpg,"[200, 202, 501, 503]",0,0,0
ava_obj_0_501055.jpg,"[163, 61, 543, 441]",1,3,0
ava_obj_0_501055.jpg,"[217, 111, 597, 491]",0,0,0
ava_obj_0_501055.jpg,"[16, 115, 396, 495]",0,0,0
ava_obj_0_501055.jpg,"[127, 123, 634, 503]",1,2,0
ava_obj_0_501055.jpg,"[0, 0, 634, 475]",4,3,1
ava_obj_0_501055.jpg,"[100, 218, 480, 503]",0,0,0
ava_obj_0_501055.jpg,"[0, 123, 507, 503]",1,1,0
ava_obj_0_501055.jpg,"[200, 218, 580, 503]",0,0,0
ava_obj_0_501055.jpg,"[226, 70, 606, 355]",0,0,0
ava_obj_0_501055.jpg,"[200, 0, 577, 503]",1,2,0
ava_obj_0_501055.jpg,"[0, 0, 377, 503]",0,0,0
ava_obj_0_501055.jpg,"[100, 0, 477, 503]",0,0,0
ava_obj_0_501055.jpg,"[291, 2, 633, 458]",0,0,0
ava_obj_0_501055.jpg,"[170, 17, 512, 473]",1,1,0
ava_obj_0_501055.jpg,"[66, 17, 408, 473]",0,0,0
ava_obj_0_501055.jpg,"[0, 147, 634, 503]",1,1,0
ava_obj_0_501055.jpg,"[100, 100, 607, 385]",0,0,0
ava_obj_0_501055.jpg,"[100, 250, 480, 463]",0,0,0
ava_obj_0_501055.jpg,"[0, 0, 634, 356]",0,0,0
ava_obj_0_501055.jpg,"[166, 79, 546, 292]",0,0,0
