name,bbox,score,order_pre,order_final
ava_obj_0_544322.jpg,"[0, 0, 384, 384]",1,3,0
ava_obj_0_544322.jpg,"[96, 0, 576, 480]",1,5,0
ava_obj_0_544322.jpg,"[48, 0, 336, 288]",1,4,0
ava_obj_0_544322.jpg,"[81, 71, 459, 449]",1,2,0
ava_obj_0_544322.jpg,"[249, 42, 627, 420]",0,0,0
ava_obj_0_544322.jpg,"[161, 8, 539, 386]",1,1,0
ava_obj_0_544322.jpg,"[0, 0, 630, 472]",3,3,2
ava_obj_0_544322.jpg,"[0, 0, 378, 283]",0,0,0
ava_obj_0_544322.jpg,"[0, 96, 378, 379]",2,1,3
ava_obj_0_544322.jpg,"[192, 96, 570, 379]",0,0,0
ava_obj_0_544322.jpg,"[50, 50, 491, 380]",1,2,0
ava_obj_0_544322.jpg,"[124, 147, 502, 430]",0,0,0
ava_obj_0_544322.jpg,"[0, 0, 360, 480]",1,3,0
ava_obj_0_544322.jpg,"[96, 0, 384, 384]",1,2,0
ava_obj_0_544322.jpg,"[192, 0, 552, 480]",0,0,0
ava_obj_0_544322.jpg,"[96, 0, 311, 288]",1,4,0
ava_obj_0_544322.jpg,"[283, 22, 623, 475]",0,0,0
ava_obj_0_544322.jpg,"[104, 20, 444, 473]",1,1,0
ava_obj_0_544322.jpg,"[0, 0, 630, 354]",4,2,1
ava_obj_0_544322.jpg,"[0, 126, 630, 480]",1,1,0
ava_obj_0_544322.jpg,"[126, 96, 630, 379]",1,3,0
ava_obj_0_544322.jpg,"[111, 218, 489, 430]",0,0,0
ava_obj_0_544322.jpg,"[147, 167, 588, 415]",0,0,0
ava_obj_0_544322.jpg,"[193, 51, 571, 263]",0,0,0
ava_obj_0_498555.jpg,"[48, 96, 432, 480]",4,1,1
ava_obj_0_498555.jpg,"[288, 96, 672, 480]",1,3,0
ava_obj_0_498555.jpg,"[96, 0, 576, 480]",0,0,0
ava_obj_0_498555.jpg,"[96, 192, 384, 480]",1,2,0
ava_obj_0_498555.jpg,"[144, 144, 432, 432]",1,4,0
ava_obj_0_498555.jpg,"[274, 5, 706, 437]",1,5,0
ava_obj_0_498555.jpg,"[0, 96, 512, 480]",1,1,0
ava_obj_0_498555.jpg,"[144, 96, 656, 480]",0,0,0
ava_obj_0_498555.jpg,"[48, 144, 432, 432]",0,0,0
ava_obj_0_498555.jpg,"[288, 144, 672, 432]",1,4,0
ava_obj_0_498555.jpg,"[172, 58, 604, 382]",1,2,0
ava_obj_0_498555.jpg,"[92, 2, 524, 326]",1,3,0
ava_obj_0_498555.jpg,"[288, 96, 576, 480]",1,2,0
ava_obj_0_498555.jpg,"[48, 0, 408, 480]",2,1,3
ava_obj_0_498555.jpg,"[144, 96, 432, 480]",0,0,0
ava_obj_0_498555.jpg,"[360, 0, 720, 480]",1,3,0
ava_obj_0_498555.jpg,"[192, 0, 552, 480]",0,0,0
ava_obj_0_498555.jpg,"[283, 4, 632, 469]",0,0,0
ava_obj_0_498555.jpg,"[0, 75, 720, 480]",3,1,2
ava_obj_0_498555.jpg,"[0, 237, 432, 480]",1,2,0
ava_obj_0_498555.jpg,"[0, 48, 576, 372]",0,0,0
ava_obj_0_498555.jpg,"[288, 96, 720, 339]",1,4,0
ava_obj_0_498555.jpg,"[192, 144, 624, 387]",1,5,0
ava_obj_0_498555.jpg,"[136, 186, 568, 429]",1,3,0
ava_obj_0_539889.jpg,"[47, 0, 423, 376]",1,2,0
ava_obj_0_539889.jpg,"[0, 94, 471, 565]",2,4,3
ava_obj_0_539889.jpg,"[0, 282, 282, 564]",1,3,0
ava_obj_0_539889.jpg,"[94, 94, 376, 376]",1,5,0
ava_obj_0_539889.jpg,"[94, 0, 376, 282]",0,0,0
ava_obj_0_539889.jpg,"[89, 307, 418, 636]",1,1,0
ava_obj_0_539889.jpg,"[0, 188, 471, 541]",1,2,0
ava_obj_0_539889.jpg,"[47, 94, 423, 376]",1,4,0
ava_obj_0_539889.jpg,"[47, 0, 423, 282]",0,0,0
ava_obj_0_539889.jpg,"[0, 282, 376, 564]",1,1,0
ava_obj_0_539889.jpg,"[0, 329, 282, 540]",1,5,0
ava_obj_0_539889.jpg,"[7, 222, 336, 468]",1,3,0
ava_obj_0_539889.jpg,"[47, 0, 423, 502]",1,5,0
ava_obj_0_539889.jpg,"[94, 0, 376, 376]",1,4,0
ava_obj_0_539889.jpg,"[0, 138, 376, 640]",3,2,2
ava_obj_0_539889.jpg,"[47, 188, 329, 564]",4,3,1
ava_obj_0_539889.jpg,"[102, 179, 431, 617]",1,1,0
ava_obj_0_539889.jpg,"[29, 53, 311, 429]",0,0,0
ava_obj_0_539889.jpg,"[0, 188, 471, 452]",0,0,0
ava_obj_0_539889.jpg,"[0, 94, 471, 358]",1,4,0
ava_obj_0_539889.jpg,"[0, 282, 471, 546]",1,3,0
ava_obj_0_539889.jpg,"[14, 102, 296, 260]",1,1,0
ava_obj_0_539889.jpg,"[163, 37, 445, 195]",0,0,0
ava_obj_0_539889.jpg,"[100, 310, 382, 468]",1,2,0
ava_obj_0_504993.jpg,"[0, 0, 396, 396]",3,1,2
ava_obj_0_504993.jpg,"[0, 241, 396, 637]",1,2,0
ava_obj_0_504993.jpg,"[156, 78, 393, 315]",0,0,0
ava_obj_0_504993.jpg,"[93, 299, 370, 576]",0,0,0
ava_obj_0_504993.jpg,"[54, 135, 331, 412]",0,0,0
ava_obj_0_504993.jpg,"[79, 47, 316, 284]",0,0,0
ava_obj_0_504993.jpg,"[0, 39, 396, 336]",1,2,0
ava_obj_0_504993.jpg,"[0, 340, 396, 637]",1,1,0
ava_obj_0_504993.jpg,"[0, 117, 396, 414]",0,0,0
ava_obj_0_504993.jpg,"[39, 312, 355, 549]",0,0,0
ava_obj_0_504993.jpg,"[45, 235, 361, 472]",0,0,0
ava_obj_0_504993.jpg,"[29, 287, 306, 494]",0,0,0
ava_obj_0_504993.jpg,"[0, 39, 396, 567]",1,4,0
ava_obj_0_504993.jpg,"[0, 0, 316, 422]",2,5,3
ava_obj_0_504993.jpg,"[80, 0, 396, 422]",1,1,0
ava_obj_0_504993.jpg,"[39, 215, 355, 637]",4,3,1
ava_obj_0_504993.jpg,"[0, 0, 237, 316]",1,2,0
ava_obj_0_504993.jpg,"[150, 211, 387, 527]",0,0,0
ava_obj_0_504993.jpg,"[0, 78, 396, 300]",0,0,0
ava_obj_0_504993.jpg,"[0, 351, 396, 573]",0,0,0
ava_obj_0_504993.jpg,"[0, 156, 396, 378]",1,2,0
ava_obj_0_504993.jpg,"[39, 312, 355, 490]",0,0,0
ava_obj_0_504993.jpg,"[0, 0, 396, 222]",1,1,0
ava_obj_0_504993.jpg,"[98, 16, 335, 149]",0,0,0
ava_obj_0_554129.jpg,"[48, 96, 432, 480]",1,3,0
ava_obj_0_554129.jpg,"[96, 0, 576, 480]",0,0,0
ava_obj_0_554129.jpg,"[96, 144, 384, 432]",1,4,0
ava_obj_0_554129.jpg,"[144, 192, 432, 480]",1,1,0
ava_obj_0_554129.jpg,"[215, 5, 599, 389]",0,0,0
ava_obj_0_554129.jpg,"[72, 4, 456, 388]",1,2,0
ava_obj_0_554129.jpg,"[0, 48, 512, 432]",1,1,0
ava_obj_0_554129.jpg,"[48, 144, 432, 432]",1,4,0
ava_obj_0_554129.jpg,"[144, 96, 528, 384]",2,2,3
ava_obj_0_554129.jpg,"[31, 51, 415, 339]",1,3,0
ava_obj_0_554129.jpg,"[235, 50, 619, 338]",0,0,0
ava_obj_0_554129.jpg,"[111, 22, 495, 310]",1,5,0
ava_obj_0_554129.jpg,"[48, 0, 408, 480]",1,3,0
ava_obj_0_554129.jpg,"[144, 96, 432, 480]",1,1,0
ava_obj_0_554129.jpg,"[144, 96, 359, 384]",1,2,0
ava_obj_0_554129.jpg,"[240, 0, 600, 480]",0,0,0
ava_obj_0_554129.jpg,"[0, 96, 288, 480]",1,5,0
ava_obj_0_554129.jpg,"[159, 0, 504, 460]",1,4,0
ava_obj_0_554129.jpg,"[0, 144, 512, 432]",1,1,0
ava_obj_0_554129.jpg,"[48, 192, 432, 408]",1,3,0
ava_obj_0_554129.jpg,"[0, 240, 384, 456]",3,2,2
ava_obj_0_554129.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_0_554129.jpg,"[96, 144, 480, 360]",4,4,1
ava_obj_0_554129.jpg,"[173, 74, 557, 290]",1,5,0
